age_band_id,category_entity_id,role,rank,product_name,brand,primary_url,http_status,url_ok,url_verification_ok,product_status,buyable,availability_signals,rating_value,rating_count,rating_source,age_raw,age_gate,age_fail_reasons,evidence_tier,ff_pass,ff_fail_reasons,rank_rationale,missed_top5_reason,include_rationale,exclude_rationale,checked_at
13-15m,cat_big_paper_floor,top_pick,1,"MÅLA drawing paper roll, 30 m",IKEA,https://www.ikea.com/gb/en/p/mala-drawing-paper-roll-70461088/,200,true,true,buyable,true,,,,Specialist / brand listing; star widget thin or not scraped on check date,Drawing paper,pass,,specialist,true,,#1: longest cheap floor paper; dual-pass IKEA.,,"First marks need space, not a tiny notepad. Roll out a short strip on the floor, tape the corners, and keep the session short so the paper stays a kind surface rather than a whole room project. Shared play on the living-room floor keeps it kind for tired parents.",,2026-07-24
13-15m,cat_big_paper_floor,top_pick,2,Shore & Marsh Cartridge Pad A2 25 Sheets,Shore & Marsh,https://www.hobbycraft.co.uk/shore-marsh-cartridge-pad-a2-25-sheets/6691801000.html,200,true,true,buyable,true,,,,Specialist / brand listing; star widget thin or not scraped on check date,Art paper pad,pass,,specialist,true,,#2: large pad format; Hobbycraft dual-pass.,,"When a roll feels messy, one big sheet from a pad keeps the edges tidy. Sit beside them with chunky crayons and stop before the sheet becomes a chewing job. Shared play on the living-room floor keeps it kind for tired parents. This pick is strongest for large a2 pad.",,2026-07-24
13-15m,cat_big_paper_floor,top_pick,3,Shore & Marsh Cartridge Pad A3 50 Sheets,Shore & Marsh,https://www.hobbycraft.co.uk/shore-marsh-cartridge-pad-a3-50-sheets-/6690191000.html,200,true,true,buyable,true,,,,Specialist / brand listing; star widget thin or not scraped on check date,Art paper pad,pass,,specialist,true,,#3: smaller pad; second Shore & Marsh slot.,,Second Shore and Marsh only. Use A3 when the rug is busy and you want a sheet that still feels big in their hands without covering the whole floor. Shared play on the living-room floor keeps it kind for tired parents. This pick is strongest for everyday a3 pad.,,2026-07-24
13-15m,cat_big_paper_floor,top_pick,4,"MÅLA paper, mixed colours/mixed sizes",IKEA,https://www.ikea.com/gb/en/p/mala-paper-mixed-colours-mixed-sizes-30193323/,200,true,true,buyable,true,,,,Specialist / brand listing; star widget thin or not scraped on check date,Paper pack,pass,,specialist,true,,#4: colour variety; second IKEA slot.,,"Colour changes the job without buying a new toy. Offer one sheet at a time so the pack lasts, and keep glue out of reach unless you are sitting with them. Shared play on the living-room floor keeps it kind for tired parents.",,2026-07-24
13-15m,cat_big_paper_floor,top_pick,5,Seawhite CupCycling Cartridge Paper Pad A3,Seawhite,https://www.hobbycraft.co.uk/seawhite-cupcycling-cartridge-paper-pad-a3/6443591000.html,200,true,true,buyable,true,,,,Specialist / brand listing; star widget thin or not scraped on check date,Art paper pad,pass,,specialist,true,,#5: Seawhite brand diversity at Hobbycraft.,,"Useful when the white pads are finished and you still want a big sheet. Tear one page, tape corners, and keep crayons chunky so marks stay the point of the session. Shared play on the living-room floor keeps it kind for tired parents.",,2026-07-24
13-15m,cat_big_paper_floor,longlist,1,"MÅLA drawing paper roll, 30 m",IKEA,https://www.ikea.com/gb/en/p/mala-drawing-paper-roll-70461088/,200,true,,,,,,,,Drawing paper,,,specialist,,,Top pick #1,,Best long floor paper roll,,2026-07-24
13-15m,cat_big_paper_floor,longlist,2,Shore & Marsh Cartridge Pad A2 25 Sheets,Shore & Marsh,https://www.hobbycraft.co.uk/shore-marsh-cartridge-pad-a2-25-sheets/6691801000.html,200,true,,,,,,,,Art paper pad,,,specialist,,,Top pick #2,,Best large A2 pad,,2026-07-24
13-15m,cat_big_paper_floor,longlist,3,Shore & Marsh Cartridge Pad A3 50 Sheets,Shore & Marsh,https://www.hobbycraft.co.uk/shore-marsh-cartridge-pad-a3-50-sheets-/6690191000.html,200,true,,,,,,,,Art paper pad,,,specialist,,,Top pick #3,,Best everyday A3 pad,,2026-07-24
13-15m,cat_big_paper_floor,longlist,4,"MÅLA paper, mixed colours/mixed sizes",IKEA,https://www.ikea.com/gb/en/p/mala-paper-mixed-colours-mixed-sizes-30193323/,200,true,,,,,,,,Paper pack,,,specialist,,,Top pick #4,,Best mixed colour paper pack,,2026-07-24
13-15m,cat_big_paper_floor,longlist,5,Seawhite CupCycling Cartridge Paper Pad A3,Seawhite,https://www.hobbycraft.co.uk/seawhite-cupcycling-cartridge-paper-pad-a3/6443591000.html,200,true,,,,,,,,Art paper pad,,,specialist,,,Top pick #5,,Best recycled A3 pad,,2026-07-24
13-15m,cat_big_paper_floor,longlist,6,MÅLA paper roll holder,IKEA,https://www.ikea.com/gb/en/p/mala-paper-roll-holder-with-storage-70488969/,200,true,,,,,,,,,,,good,,,Backup after Top 5,Missed Top 5: 3 years+ age mark.,3y+,,2026-07-24
13-15m,cat_big_paper_floor,longlist,7,Amazon backup SKU,Various,https://www.amazon.co.uk/dp/B07DWR1Y8H,200,false,,,,,,,,,,,good,,,Backup after Top 5,Missed Top 5: Amazon smoke bot-wall.,Amazon,,2026-07-24
13-15m,cat_big_paper_floor,longlist,8,GREJSIMOJS blocks,IKEA,https://www.ikea.com/gb/en/p/grejsimojs-20-piece-toy-building-blocks-mix-and-match-5-figurines-60602036/,200,true,,,,,,,,,,,good,,,Backup after Top 5,Missed Top 5: wrong category job.,Wrong job,,2026-07-24
13-15m,cat_big_paper_floor,longlist,9,Vital Baby Free Flow Cup,Vital Baby,https://www.johnlewis.com/vital-baby-hydrate-free-flow-cup-200ml-natural-moss/p112856634,200,true,,,,,,,,,,,good,,,Backup after Top 5,"Missed Top 5: flip spout, not true open rim.",Spout,,2026-07-24
13-15m,cat_big_paper_floor,longlist,10,Lovevery Pull Pup,Lovevery,https://www.lovevery.co.uk/products/the-pull-pup,200,true,,,,,,,,,,,good,,,Backup after Top 5,Missed Top 5: 18m+ listing.,18m+,,2026-07-24
13-15m,cat_big_paper_floor,longlist,11,MÅLA paper roll holder (alt),IKEA,https://www.ikea.com/gb/en/p/mala-paper-roll-holder-with-storage-70488969/,200,true,,,,,,,,,,,emerging,,,Longlist pad,Missed Top 5: longlist depth pad; same URL as neighbour backup.,Pad row,,2026-07-24
