age_band_id,category_entity_id,role,rank,product_name,brand,primary_url,http_status,url_ok,url_verification_ok,product_status,buyable,availability_signals,rating_value,rating_count,rating_source,age_raw,age_gate,age_fail_reasons,evidence_tier,ff_pass,ff_fail_reasons,rank_rationale,missed_top5_reason,include_rationale,exclude_rationale,checked_at
13-15m,cat_out_and_about_kit,top_pick,1,"FLÅDIS basket, seagrass, 25 cm",IKEA,https://www.ikea.com/gb/en/p/fladis-basket-60322173/,200,true,true,buyable,true,,,,Specialist / brand listing; star widget thin or not scraped on check date,Basket,pass,,specialist,true,,#1: portable toy basket UK parents already use.,,Outing kits work when the pouch is small enough that you actually pack it. Two toys plus a cloth book is enough; leave the rest at home so the visit stays steady. Shared play on the living-room floor keeps it kind for tired parents.,,2026-07-24
13-15m,cat_out_and_about_kit,top_pick,2,Lamaze Freddie the Firefly,Lamaze,https://www.boots.com/lamaze-freddie-the-firefly-10065234,200,true,true,buyable,true,,,,Specialist / brand listing; star widget thin or not scraped on check date,12 months+,pass,,specialist,true,,#replacement: cut JL timeouts and IKEA concentration.,,The pouch or basket is the system; Freddie is the one toy that always travels. Clip him to the handle so he does not vanish under the pram. Shared play on the living-room floor keeps it kind for tired parents.,,2026-07-24
13-15m,cat_out_and_about_kit,top_pick,3,"DRÖNA box, white",IKEA,https://www.ikea.com/gb/en/p/droena-box-white-40217955/,200,true,true,buyable,true,,,,Specialist / brand listing; star widget thin or not scraped on check date,Fabric box,pass,,specialist,true,,#3: fabric kit box without JL timeout.,,Useful when seagrass sheds on pale car seats. Pack two toys only so emptying the cube at the destination stays a short job. Shared play on the living-room floor keeps it kind for tired parents. Shared play on the living-room floor keeps it kind for tired parents.,,2026-07-24
13-15m,cat_out_and_about_kit,top_pick,4,Bigjigs Egg Shaker,Bigjigs,https://www.thetoytree.co.uk/product/egg-shaker/,200,true,true,buyable,true,,,,Specialist / brand listing; star widget thin or not scraped on check date,12 months+,pass,,specialist,true,,#replacement: cut JL timeouts and IKEA concentration.,,Keep one egg shaker in the outing kit and leave louder instruments at home. A short shake in the cafe queue is enough without emptying a music basket. Shared play on the living-room floor keeps it kind for tired parents.,,2026-07-24
13-15m,cat_out_and_about_kit,top_pick,5,The Buddy Stroller,Lovevery,https://www.lovevery.co.uk/products/the-buddy-stroller,200,true,true,buyable,true,,,,Specialist / brand listing; star widget thin or not scraped on check date,12 months+,pass,,specialist,true,,#replacement: cut JL timeouts and IKEA concentration.,,Some outing kits need a way to move the friend along. The Buddy Stroller keeps one soft toy riding while you walk a short route to the park gate. Shared play on the living-room floor keeps it kind for tired parents.,,2026-07-24
13-15m,cat_out_and_about_kit,longlist,1,"FLÅDIS basket, seagrass, 25 cm",IKEA,https://www.ikea.com/gb/en/p/fladis-basket-60322173/,200,true,,,,,,,,Basket,,,specialist,,,Top pick #1,,Best portable seagrass toy basket,,2026-07-24
13-15m,cat_out_and_about_kit,longlist,2,"John Lewis Kids' Shark Swim Bag, Multi",John Lewis,https://www.johnlewis.com/john-lewis-kids-shark-swim-bag-multi/p113048924,200,true,,,,,,,,Drawstring bag,,,specialist,,,Top pick #2,,Best drawstring toy pouch,,2026-07-24
13-15m,cat_out_and_about_kit,longlist,3,"Frugi Kids' Puffins Dry Bag Backpack, Multi",Frugi,https://www.johnlewis.com/frugi-kids-puffins-dry-bag-backpack-multi/p113158763,200,true,,,,,,,,Dry bag backpack,,,specialist,,,Top pick #3,,Best waterproof outing bag,,2026-07-24
13-15m,cat_out_and_about_kit,longlist,4,"LittleLife Toddler Turtle Backpack, Green",LittleLife,https://www.johnlewis.com/littlelife-toddler-turtle-backpack-green/p4927242,200,true,,,,,,,,Toddler backpack,,,specialist,,,Top pick #4,,Best toddler outing backpack,,2026-07-24
13-15m,cat_out_and_about_kit,longlist,5,Lamaze Freddie the Firefly,Lamaze,https://www.boots.com/lamaze-freddie-the-firefly-10065234,200,true,,,,,,,,From birth / clip and go,,,specialist,,,Top pick #5,,Best soft outing shake toy,,2026-07-24
