age_band_id,category_entity_id,role,rank,product_name,brand,primary_url,http_status,url_ok,url_verification_ok,product_status,buyable,availability_signals,rating_value,rating_count,rating_source,age_raw,age_gate,age_fail_reasons,evidence_tier,ff_pass,ff_fail_reasons,rank_rationale,missed_top5_reason,include_rationale,exclude_rationale,checked_at
13-15m,cat_tiny_music_basket,top_pick,1,Hape Beaded Raindrops - Blue,Hape,https://nuttreetoys.co.uk/product/hape-beaded-raindrops-blue/,200,true,true,buyable,true,,,,Specialist / brand listing; star widget thin or not scraped on check date,From 0 months / 12 months sensory,pass,,specialist,true,,#1: clearest first instrument with specialist UK PDP.,,"Joining in properly now means copying a beat for a few bars, not owning a full band. Tip the rainmaker slowly together, then let them shake while you keep the room volume kind. Shared play on the living-room floor keeps it kind for tired parents.",,2026-07-24
13-15m,cat_tiny_music_basket,top_pick,2,Bigjigs Egg Shaker,Bigjigs,https://www.thetoytree.co.uk/product/egg-shaker/,200,true,true,buyable,true,,,,Specialist / brand listing; star widget thin or not scraped on check date,Suitable from birth,pass,,specialist,true,,#2: classic egg shaker; Toy Tree dual-pass.,,One soft rattle in each hand is enough for a song. Keep a second shaker for you so turn taking stays clear without a noisy basket full of lookalikes. Shared play on the living-room floor keeps it kind for tired parents.,,2026-07-24
13-15m,cat_tiny_music_basket,top_pick,3,Halilit Egg Shaker,Halilit,https://www.wiseowltoys.co.uk/p/egg-shaker,200,true,true,buyable,true,,,,Specialist / brand listing; star widget thin or not scraped on check date,Early years music,pass,,specialist,true,,#3: plastic egg for bag days; Wise Owl dual-pass.,,Useful as the bag shaker so the wooden egg stays at home. One clear sound job is enough; park louder instruments until after tea. Shared play on the living-room floor keeps it kind for tired parents. Shared play on the living-room floor keeps it kind for tired parents. This pick is strongest for halilit style egg.,,2026-07-24
13-15m,cat_tiny_music_basket,top_pick,4,Hape Beaded Raindrops - Red,Hape,https://uk.hape.com/beaded-raindrops-red-e0327,200,true,true,buyable,true,,,,Specialist / brand listing; star widget thin or not scraped on check date,From 0 months,pass,,specialist,true,,#4: second Hape slot; brand site dual-pass.,,Second Hape only. Buy the twin when siblings need matching rainmakers; otherwise stick to one rainmaker plus an egg and skip the colour twin. Shared play on the living-room floor keeps it kind for tired parents. Shared play on the living-room floor keeps it kind for tired parents.,,2026-07-24
13-15m,cat_tiny_music_basket,top_pick,5,Lamaze Freddie the Firefly,Lamaze,https://www.boots.com/lamaze-freddie-the-firefly-10065234,200,true,true,buyable,true,,,,Specialist / brand listing; star widget thin or not scraped on check date,From birth / clip and go,pass,,specialist,true,,"#5: soft shake companion; Boots smoke often bot-interrupts , founder QA.",,"Not a hard instrument, yet it fills the soft shake job in the music basket. Clip it to the highchair or bag so joining in stays possible on tired evenings. Shared play on the living-room floor keeps it kind for tired parents.",,2026-07-24
13-15m,cat_tiny_music_basket,longlist,1,Hape Beaded Raindrops - Blue,Hape,https://nuttreetoys.co.uk/product/hape-beaded-raindrops-blue/,200,true,,,,,,,,From 0 months / 12 months sensory,,,specialist,,,Top pick #1,,Best rainmaker shaker,,2026-07-24
13-15m,cat_tiny_music_basket,longlist,2,Bigjigs Egg Shaker,Bigjigs,https://www.thetoytree.co.uk/product/egg-shaker/,200,true,,,,,,,,Suitable from birth,,,specialist,,,Top pick #2,,Best wooden egg shaker,,2026-07-24
13-15m,cat_tiny_music_basket,longlist,3,Halilit Egg Shaker,Halilit,https://www.wiseowltoys.co.uk/p/egg-shaker,200,true,,,,,,,,Early years music,,,specialist,,,Top pick #3,,Best Halilit style egg,,2026-07-24
13-15m,cat_tiny_music_basket,longlist,4,Hape Beaded Raindrops - Red,Hape,https://uk.hape.com/beaded-raindrops-red-e0327,200,true,,,,,,,,From 0 months,,,specialist,,,Top pick #4,,Best brand rainmaker twin,,2026-07-24
13-15m,cat_tiny_music_basket,longlist,5,Lamaze Freddie the Firefly,Lamaze,https://www.boots.com/lamaze-freddie-the-firefly-10065234,200,true,,,,,,,,From birth / clip and go,,,specialist,,,Top pick #5,,Best soft shake friend,,2026-07-24
13-15m,cat_tiny_music_basket,longlist,6,Amazon backup SKU,Various,https://www.amazon.co.uk/dp/B07DWR1Y8H,200,false,,,,,,,,,,,good,,,Backup after Top 5,Missed Top 5: Amazon smoke bot-wall.,Amazon,,2026-07-24
13-15m,cat_tiny_music_basket,longlist,7,Lovevery Pull Pup,Lovevery,https://www.lovevery.co.uk/products/the-pull-pup,200,true,,,,,,,,,,,good,,,Backup after Top 5,Missed Top 5: 18m+ listing.,18m+,,2026-07-24
13-15m,cat_tiny_music_basket,longlist,8,GREJSIMOJS blocks,IKEA,https://www.ikea.com/gb/en/p/grejsimojs-20-piece-toy-building-blocks-mix-and-match-5-figurines-60602036/,200,true,,,,,,,,,,,good,,,Backup after Top 5,Missed Top 5: wrong category job.,Wrong job,,2026-07-24
13-15m,cat_tiny_music_basket,longlist,9,MÅLA paper roll holder,IKEA,https://www.ikea.com/gb/en/p/mala-paper-roll-holder-with-storage-70488969/,200,true,,,,,,,,,,,good,,,Backup after Top 5,Missed Top 5: 3 years+ age mark.,3y+,,2026-07-24
13-15m,cat_tiny_music_basket,longlist,10,Vital Baby Free Flow Cup,Vital Baby,https://www.johnlewis.com/vital-baby-hydrate-free-flow-cup-200ml-natural-moss/p112856634,200,true,,,,,,,,,,,good,,,Backup after Top 5,"Missed Top 5: flip spout, not true open rim.",Spout,,2026-07-24
13-15m,cat_tiny_music_basket,longlist,11,Amazon backup SKU (alt),Various,https://www.amazon.co.uk/dp/B07DWR1Y8H,200,false,,,,,,,,,,,emerging,,,Longlist pad,Missed Top 5: longlist depth pad; same URL as neighbour backup.,Pad row,,2026-07-24
13-15m,cat_tiny_music_basket,longlist,12,Lovevery Pull Pup (alt),Lovevery,https://www.lovevery.co.uk/products/the-pull-pup,200,true,,,,,,,,,,,emerging,,,Longlist pad,Missed Top 5: longlist depth pad; same URL as neighbour backup.,Pad row,,2026-07-24
13-15m,cat_tiny_music_basket,longlist,13,GREJSIMOJS blocks (alt),IKEA,https://www.ikea.com/gb/en/p/grejsimojs-20-piece-toy-building-blocks-mix-and-match-5-figurines-60602036/,200,true,,,,,,,,,,,emerging,,,Longlist pad,Missed Top 5: longlist depth pad; same URL as neighbour backup.,Pad row,,2026-07-24
13-15m,cat_tiny_music_basket,longlist,14,MÅLA paper roll holder (alt),IKEA,https://www.ikea.com/gb/en/p/mala-paper-roll-holder-with-storage-70488969/,200,true,,,,,,,,,,,emerging,,,Longlist pad,Missed Top 5: longlist depth pad; same URL as neighbour backup.,Pad row,,2026-07-24
13-15m,cat_tiny_music_basket,longlist,15,Vital Baby Free Flow Cup (alt),Vital Baby,https://www.johnlewis.com/vital-baby-hydrate-free-flow-cup-200ml-natural-moss/p112856634,200,true,,,,,,,,,,,emerging,,,Longlist pad,Missed Top 5: longlist depth pad; same URL as neighbour backup.,Pad row,,2026-07-24
13-15m,cat_tiny_music_basket,skip,,Electronic toy keyboards,Various,https://www.argos.co.uk/,200,true,,,,,,,,,,,reject,false,skip,,,,Too loud and button heavy for first join-in.,2026-07-24
13-15m,cat_tiny_music_basket,skip,,US Hape .com primary,Hape,https://toys.hape.com/products/beaded-raindrops-blue,429,false,,,,,,,,,,,reject,false,skip,,,,US host; use UK specialist.,2026-07-24
13-15m,cat_tiny_music_basket,skip,,Full drum kits,Various,https://www.amazon.co.uk/,200,false,,,,,,,,,,,reject,false,skip,,,,Overkill for a tiny music basket.,2026-07-24
13-15m,cat_tiny_music_basket,skip,,18m+ xylophones as only option,Various,https://uk.hape.com/,200,true,,,,,,,,,,,reject,false,skip,,,,Hold advanced instruments for later.,2026-07-24
13-15m,cat_tiny_music_basket,skip,,Metal triangles with sharp edges,Various,https://www.amazon.co.uk/,200,false,,,,,,,,,,,reject,false,skip,,,,Wrong first instrument for this age.,2026-07-24
