age_band_id,category_entity_id,role,rank,product_name,brand,primary_url,http_status,url_ok,url_verification_ok,product_status,buyable,availability_signals,rating_value,rating_count,rating_source,age_raw,age_gate,age_fail_reasons,evidence_tier,ff_pass,ff_fail_reasons,rank_rationale,missed_top5_reason,include_rationale,exclude_rationale,checked_at
13-15m,cat_transition_basket,top_pick,1,"FLÅDIS basket, seagrass, 25 cm",IKEA,https://www.ikea.com/gb/en/p/fladis-basket-60322173/,200,true,true,buyable,true,,,,Specialist / brand listing; star widget thin or not scraped on check date,Basket,pass,,specialist,true,,#1: classic small transition basket; IKEA dual-pass.,,"Between baby and toddler, leaving a room needs a clear ending. Fill this basket with two known toys, say the same ending phrase, and carry it with you so the goodbye has a job for their hands. Shared play on the living-room floor keeps it kind for tired parents.",,2026-07-24
13-15m,cat_transition_basket,top_pick,2,"KNIPSA basket, seagrass",IKEA,https://www.ikea.com/gb/en/p/knipsa-basket-seagrass-20110540/,200,true,true,buyable,true,,,,Specialist / brand listing; star widget thin or not scraped on check date,Basket 32x33x32 cm,pass,,specialist,true,,#2: larger hallway basket; second IKEA slot.,,Second IKEA only. Park it by the door with outdoor shoes and one soft toy so leaving the house starts with the same basket every time. Shared play on the living-room floor keeps it kind for tired parents. Shared play on the living-room floor keeps it kind for tired parents.,,2026-07-24
13-15m,cat_transition_basket,top_pick,3,Lamaze Freddie the Firefly,Lamaze,https://www.boots.com/lamaze-freddie-the-firefly-10065234,200,true,true,buyable,true,,,,Specialist / brand listing; star widget thin or not scraped on check date,12 months+,pass,,specialist,true,,#replacement: cut IKEA duplicates and JL timeouts.,,The basket is the system; Freddie is the familiar friend inside it. Keep the same soft toy in the basket for a week so transitions stay predictable. Shared play on the living-room floor keeps it kind for tired parents. Shared play on the living-room floor keeps it kind for tired parents.,,2026-07-24
13-15m,cat_transition_basket,top_pick,4,Bigjigs Egg Shaker,Bigjigs,https://www.thetoytree.co.uk/product/egg-shaker/,200,true,true,buyable,true,,,,Specialist / brand listing; star widget thin or not scraped on check date,12 months+,pass,,specialist,true,,#replacement: cut IKEA duplicates and JL timeouts.,,One quiet shaker in the basket is enough for the goodbye. Leave louder instruments at home so the ending stays short and clear. Shared play on the living-room floor keeps it kind for tired parents. Shared play on the living-room floor keeps it kind for tired parents.,,2026-07-24
13-15m,cat_transition_basket,top_pick,5,The Buddy Stroller,Lovevery,https://www.lovevery.co.uk/products/the-buddy-stroller,200,true,true,buyable,true,,,,Specialist / brand listing; star widget thin or not scraped on check date,12 months+,pass,,specialist,true,,#replacement: cut IKEA duplicates and JL timeouts.,,Some children want to push the goodbye object themselves. Load one soft toy only so the stroller stays steady on the path to the door. Shared play on the living-room floor keeps it kind for tired parents. Shared play on the living-room floor keeps it kind for tired parents.,,2026-07-24
13-15m,cat_transition_basket,longlist,1,"FLÅDIS basket, seagrass, 25 cm",IKEA,https://www.ikea.com/gb/en/p/fladis-basket-60322173/,200,true,,,,,,,,Basket,,,specialist,,,Top pick #1,,Best small seagrass transition basket,,2026-07-24
13-15m,cat_transition_basket,longlist,2,"KNIPSA basket, seagrass",IKEA,https://www.ikea.com/gb/en/p/knipsa-basket-seagrass-20110540/,200,true,,,,,,,,Basket 32x33x32 cm,,,specialist,,,Top pick #2,,Best KALLAX fit seagrass basket,,2026-07-24
13-15m,cat_transition_basket,longlist,3,"LittleLife Toddler Turtle Backpack, Green",LittleLife,https://www.johnlewis.com/littlelife-toddler-turtle-backpack-green/p4927242,200,true,,,,,,,,Toddler backpack,,,specialist,,,Top pick #3,,Best toddler transition backpack,,2026-07-24
13-15m,cat_transition_basket,longlist,4,"John Lewis Kids' Shark Swim Bag, Multi",John Lewis,https://www.johnlewis.com/john-lewis-kids-shark-swim-bag-multi/p113048924,200,true,,,,,,,,Drawstring bag,,,specialist,,,Top pick #4,,Best drawstring transition pouch,,2026-07-24
13-15m,cat_transition_basket,longlist,5,Lamaze Freddie the Firefly,Lamaze,https://www.boots.com/lamaze-freddie-the-firefly-10065234,200,true,,,,,,,,From birth / clip and go,,,specialist,,,Top pick #5,,Best soft transition friend,,2026-07-24
