age_band_id,category_entity_id,role,rank,product_name,brand,primary_url,http_status,url_ok,url_verification_ok,product_status,buyable,availability_signals,rating_value,rating_count,rating_source,age_raw,age_gate,age_fail_reasons,evidence_tier,ff_pass,ff_fail_reasons,rank_rationale,missed_top5_reason,include_rationale,exclude_rationale,checked_at
16-18m,cat_chunky_crayons,top_pick,1,SES Creative My First Colourball,SES Creative,https://toytastic.co.uk/product/ses-creative-my-first-colourball/,200,true,true,buyable,true,,,,Specialist or brand PDP; on-page review aggregate not published,1–4 years,pass,,good,true,,#1 over #2: single all in one grip tool; beads are separate colours on a cord.,,"First marks at sixteen to eighteen months are often whole hand scribbles, not neat pencil holds. The Colourball keeps six colours in one body so nothing rolls under the sofa. Best when you want one tool that invites colour changes without a fistful of separate sticks.",,2026-07-24
16-18m,cat_chunky_crayons,top_pick,2,SES Creative My First Crayon Beads,SES Creative,https://toytastic.co.uk/product/ses-creative-my-first-crayon-beads/,200,true,true,buyable,true,,,,Specialist or brand PDP; on-page review aggregate not published,1–4 years,pass,,good,true,,#2 over #3: cord kept set; Crayola jumbo is classic stick form.,,"When separate crayons vanish in seconds, a cord keeps the set together. Bead shapes still fit whole hand grips while colours stay pickable. Choose when the Colourball already covers one tool days and you want a second SES format for the bag.",,2026-07-24
16-18m,cat_chunky_crayons,top_pick,3,Crayola My First Jumbo Crayons 8 Pack,Crayola,https://www.smythstoys.com/uk/en-gb/toys/arts-and-crafts/crayons-and-pastels/crayola-my-first-jumbo-crayons-8-pack/p/195185,200,true,true,buyable,true,,,,Specialist or brand PDP; on-page review aggregate not published,12 months +,pass,,good,true,,#3 over #4: jumbo stick set; washable twin is mess control.,,Classic jumbo sticks still help once fist balls seem limiting. Crayola My First keeps the sticks thick enough for sixteen to eighteen months without tiny school crayons. Best when SES ball tools already cover grip play and you want familiar stick colours on paper.,,2026-07-24
16-18m,cat_chunky_crayons,top_pick,4,Crayola My First Washable Crayons,Crayola,https://www.smythstoys.com/uk/en-gb/toys/arts-and-crafts/crayons-and-pastels/crayola-my-first-washable-crayons/p/189012,200,true,true,buyable,true,,,,Specialist or brand PDP; on-page review aggregate not published,12 months +,pass,,good,true,,#4 over #5: washable stick job; fingerpaint is different medium.,,Mark making at this age lands on hands as much as paper. Washable My First sticks keep the same jumbo idea with easier clean up. Choose when jumbo non washable already exist and you want a second Crayola set for highchair art days.,,2026-07-24
16-18m,cat_chunky_crayons,top_pick,5,Cerda Bing Wax Crayons 5 Pack,Cerda,https://toytastic.co.uk/product/cerda-bing-wax-crayons/,200,true,true,buyable,true,,,,Specialist or brand PDP; on-page review aggregate not published,Chunky wax crayons for little hands (toddler and preschool listing copy),pass,,good,true,,#5: third brand line for gift variety after SES and Crayola caps.,,Character crayons can pull a reluctant scribbler to the table when plain sticks look dull. Cerda keeps the sticks chunky for little hands while Bing art adds a familiar face. Best near eighteen months when SES and Crayola tools already cover grip basics and you want a fifth brand for gift variety.,,2026-07-24
16-18m,cat_chunky_crayons,longlist,1,SES Creative My First Colourball,SES Creative,https://toytastic.co.uk/product/ses-creative-my-first-colourball/,200,true,,,,,,,,1–4 years,,,good,,,#1 over #2: single all in one grip tool; beads are separate colours on a cord.,,Fist-grip first crayon.,Supervise mouthing.,2026-07-24
16-18m,cat_chunky_crayons,longlist,2,SES Creative My First Crayon Beads,SES Creative,https://toytastic.co.uk/product/ses-creative-my-first-crayon-beads/,200,true,,,,,,,,1–4 years,,,good,,,#2 over #3: cord kept set; Crayola jumbo is classic stick form.,,Cord-kept fist crayons.,Second SES; brand cap full.,2026-07-24
16-18m,cat_chunky_crayons,longlist,3,Crayola My First Jumbo Crayons 8 Pack,Crayola,https://www.smythstoys.com/uk/en-gb/toys/arts-and-crafts/crayons-and-pastels/crayola-my-first-jumbo-crayons-8-pack/p/195185,200,true,,,,,,,,12 months +,,,good,,,#3 over #4: jumbo stick set; washable twin is mess control.,,Jumbo stick crayons.,Smyths primary; confirm stock at purchase.,2026-07-24
16-18m,cat_chunky_crayons,longlist,4,Crayola My First Washable Crayons,Crayola,https://www.smythstoys.com/uk/en-gb/toys/arts-and-crafts/crayons-and-pastels/crayola-my-first-washable-crayons/p/189012,200,true,,,,,,,,12 months +,,,good,,,#4 over #5: washable stick job; fingerpaint is different medium.,,Washable first crayons.,Second Crayola; brand cap full.,2026-07-24
16-18m,cat_chunky_crayons,longlist,5,Cerda Bing Wax Crayons 5 Pack,Cerda,https://toytastic.co.uk/product/cerda-bing-wax-crayons/,200,true,,,,,,,,Chunky wax crayons for little hands (toddler and preschool listing copy),,,good,,,#5: third brand line for gift variety after SES and Crayola caps.,,Character chunky wax.,Age mark soft on PDP; overlaps band at 18m only.,2026-07-24
16-18m,cat_chunky_crayons,longlist,6,SES Creative My First Crayons,SES Creative,https://toytastic.co.uk/product/ses-my-first-crayons/,200,true,,,,,,,,1–4 years,,,good,,,Rank 6: brand cap.,Third SES Creative SKU; brand cap already full.,Third SES stick set.,,2026-07-24
16-18m,cat_chunky_crayons,longlist,7,SES Creative My First Fingerpaint 4 Pack,SES Creative,https://toytastic.co.uk/product/ses-creative-my-first-fingerpaint-4-pack/,200,true,,,,,,,,1–4 years,,,good,,,Rank 7: paint not crayon stick.,Fingerpaint medium; brand cap also full.,Fingerpaint medium.,,2026-07-24
16-18m,cat_chunky_crayons,longlist,8,SES Creative My First Colouring with Water Dinos,SES Creative,https://toytastic.co.uk/product/ses-creative-my-first-colouring-with-water-dinos/,200,true,,,,,,,,1–4 years,,,good,,,Rank 8: water pen.,Water colouring cards; not chunky wax crayons.,Water colouring.,,2026-07-24
16-18m,cat_chunky_crayons,longlist,9,SES Creative My First Crayons with Animal Cards,SES Creative,https://toytastic.co.uk/product/ses-creative-my-first-crayons-animal-cards/,200,true,,,,,,,,1–4 years,,,good,,,Rank 9: kit.,Extra SES kit; brand cap full.,Card kit.,,2026-07-24
16-18m,cat_chunky_crayons,longlist,10,Crayola My First Tripod Grip Crayons,Crayola,https://www.smythstoys.com/uk/en-gb/toys/arts-and-crafts/crayons-and-pastels/crayola-my-first-tripod-grip-crayons/p/203441,200,true,,,,,,,,12 months +,,,good,,,Rank 10: brand cap.,Third Crayola My First SKU; brand cap already full.,Third Crayola.,,2026-07-24
