age_band_id,category_entity_id,role,rank,product_name,brand,primary_url,http_status,url_ok,url_verification_ok,product_status,buyable,availability_signals,rating_value,rating_count,rating_source,age_raw,age_gate,age_fail_reasons,evidence_tier,ff_pass,ff_fail_reasons,rank_rationale,missed_top5_reason,include_rationale,exclude_rationale,checked_at
16-18m,cat_doll_soft_toy_care,top_pick,1,Corolle Miss Floral Sweet Dreams Soft Doll,Corolle,https://www.adventuretoys.co.uk/corolle-miss-floral-sweet-dreams-soft-doll/,200,true,true,buyable,true,,,,Specialist or brand PDP; on-page review aggregate not published,Birth +,pass,,good,true,,#1 over #2: clearest soft care doll; Blandine is rag-doll carry twin.,,"Copying real life at this age often starts with a soft body they can hug, carry and put to bed. Miss Floral keeps the doll light for sofa care games. Best when you want one soft doll that invites tuck in without a full bedroom set yet.",,2026-07-24
16-18m,cat_doll_soft_toy_care,top_pick,2,Corolle Rag Doll Blandine Sweet Dreams,Corolle,https://www.adventuretoys.co.uk/corolle-rag-doll-blandine-sweet-dreams/,200,true,true,buyable,true,,,,Specialist or brand PDP; on-page review aggregate not published,Birth +,pass,,good,true,,#2 over #3: second Corolle soft body; bed props come next.,,Some toddlers prefer a rag flop for dragging from room to room. Blandine keeps Corolle quality while limp limbs make carry simpler on short indoor trips. Choose when Miss Floral already sits on the shelf and you want a different soft care friend.,,2026-07-24
16-18m,cat_doll_soft_toy_care,top_pick,3,Goki Dolls Bed,Goki,https://toytastic.co.uk/product/goki-dolls-bed/,200,true,true,buyable,true,,,,Specialist or brand PDP; on-page review aggregate not published,1 year +,pass,,good,true,,#3 over #4: clearest tuck in prop; cradles add rock.,,Care play deepens when carry has somewhere to end. This Goki bed makes tuck in the point of the game without needing a full dolls house. Best once a soft doll already lives on the sofa and you want one prop that finishes bedtime copy.,,2026-07-24
16-18m,cat_doll_soft_toy_care,top_pick,4,BigJigs Doll Cradle Blue Wooden,Bigjigs,https://www.adventuretoys.co.uk/bigjigs-doll-cradle-blue-wooden/,200,true,true,buyable,true,,,,Specialist or brand PDP; on-page review aggregate not published,12 months +,pass,,good,true,,#4 over #5: wood rock cradle; Tidlo is alternate rock form.,,Rocking a cradle is a clear copy of real settle minutes. Bigjigs wood keeps the motion gentle enough for small hands. Choose when a flat dolls bed already seems done and you want rock and settle as the next care job.,,2026-07-24
16-18m,cat_doll_soft_toy_care,top_pick,5,Tidlo Doll's Rocking Cradle,Tidlo,https://www.adventuretoys.co.uk/tidlo-dolls-rocking-cradle/,200,true,true,buyable,true,,,,Specialist or brand PDP; on-page review aggregate not published,12 months +,pass,,good,true,,#5: alternate wood cradle brand after Bigjigs.,,"If Bigjigs stock is thin, Tidlo still covers rock and settle with sturdy wood. The cradle keeps care play in one spot instead of endless carry. Useful as the fifth pick when soft dolls are sorted and you want a second wood cradle option with a different brand.",,2026-07-24
16-18m,cat_doll_soft_toy_care,longlist,1,Corolle Miss Floral Sweet Dreams Soft Doll,Corolle,https://www.adventuretoys.co.uk/corolle-miss-floral-sweet-dreams-soft-doll/,200,true,,,,,,,,Birth +,,,good,,,#1 over #2: clearest soft care doll; Blandine is rag-doll carry twin.,,Soft doll for care copy play.,Supervise tags.,2026-07-24
16-18m,cat_doll_soft_toy_care,longlist,2,Corolle Rag Doll Blandine Sweet Dreams,Corolle,https://www.adventuretoys.co.uk/corolle-rag-doll-blandine-sweet-dreams/,200,true,,,,,,,,Birth +,,,good,,,#2 over #3: second Corolle soft body; bed props come next.,,Rag doll carry care.,Second Corolle; brand cap full.,2026-07-24
16-18m,cat_doll_soft_toy_care,longlist,3,Goki Dolls Bed,Goki,https://toytastic.co.uk/product/goki-dolls-bed/,200,true,,,,,,,,1 year +,,,good,,,#3 over #4: clearest tuck in prop; cradles add rock.,,Bed prop for care.,Needs a soft doll they already own or buy separately.,2026-07-24
16-18m,cat_doll_soft_toy_care,longlist,4,BigJigs Doll Cradle Blue Wooden,Bigjigs,https://www.adventuretoys.co.uk/bigjigs-doll-cradle-blue-wooden/,200,true,,,,,,,,12 months +,,,good,,,#4 over #5: wood rock cradle; Tidlo is alternate rock form.,,Rocking cradle care.,Needs doll or soft toy.,2026-07-24
16-18m,cat_doll_soft_toy_care,longlist,5,Tidlo Doll's Rocking Cradle,Tidlo,https://www.adventuretoys.co.uk/tidlo-dolls-rocking-cradle/,200,true,,,,,,,,12 months +,,,good,,,#5: alternate wood cradle brand after Bigjigs.,,Alternate rocking cradle.,Near job overlap with Bigjigs cradle.,2026-07-24
