age_band_id,category_entity_id,role,rank,product_name,brand,primary_url,http_status,url_ok,url_verification_ok,product_status,buyable,availability_signals,rating_value,rating_count,rating_source,age_raw,age_gate,age_fail_reasons,evidence_tier,ff_pass,ff_fail_reasons,rank_rationale,missed_top5_reason,include_rationale,exclude_rationale,checked_at
16-18m,cat_stacking_pegboard,top_pick,1,Hape Stacking Jack,Hape,https://www.adventuretoys.co.uk/hape-stacking-jack/,200,true,true,buyable,true,,,,Specialist or brand PDP; on-page review aggregate not published,12 months +,pass,,good,true,,#1 over #2: simplest first stack with 12m+ mark and low price; wobble towers add challenge later.,,"Busy hands at sixteen to eighteen months want rings that fit, tip and try again on a short pole. Stacking Jack keeps pieces large and friendly without a stiff size rule. A clear first stack when you want wood quality at a small price before bigger wobble towers.",,2026-07-24
16-18m,cat_stacking_pegboard,top_pick,2,Goki Rainbow Wobble Stacker,Goki,https://toytastic.co.uk/product/goki-rainbow-wobble-stacker/,200,true,true,buyable,true,,,,Specialist or brand PDP; on-page review aggregate not published,1 year +,pass,,good,true,,#2 over #3: clearer wobble challenge than bear tower; trails Jack on first-buy simplicity.,,"When steady poles seem too easy, a rocking base asks for slower hands and wobbly towers. The Goki rainbow stacker keeps rings big while the sway makes each place a small plan. Best once a flat stacker is already familiar and you want a tougher tower job.",,2026-07-24
16-18m,cat_stacking_pegboard,top_pick,3,Goki Stacking Bear Wobble Tower,Goki,https://toytastic.co.uk/product/goki-stacking-bear-wobble-tower/,200,true,true,buyable,true,,,,Specialist or brand PDP; on-page review aggregate not published,1 year +,pass,,good,true,,#3 over #4: same Goki wobble family with character draw; music stacker is a different job.,,Character stacks pull some toddlers in when plain rings look dull. The bear tower keeps the wobble idea while the face gives a finish to aim for. Choose when rainbow rings already sit on the shelf and you want a different wooden stack story.,,2026-07-24
16-18m,cat_stacking_pegboard,top_pick,4,Hape Wooden Musical Instrument Stacking Set,Hape,https://www.adventuretoys.co.uk/hape-wooden-musical-instrument-stacking-set/,200,true,true,buyable,true,,,,Specialist or brand PDP; on-page review aggregate not published,18 months +,pass,,good,true,,#4 over #5: richer nested music stack; FlipCar is wrong category backup.,,"At the top of this band, stacking can mean nested boxes that also make sound. Hape nest and tap gives a tidy stack plus short music tries. Best near eighteen months when quieter ring stackers already feel too simple and you want sound with the stack.",,2026-07-24
16-18m,cat_stacking_pegboard,top_pick,5,Quercetti Spiral Tower Baby Ball Run,Quercetti,https://toytastic.co.uk/product/quercetti-spiral-tower-06501/,200,true,true,buyable,true,,,,Specialist or brand PDP; on-page review aggregate not published,1 year +,pass,,good,true,,#5 completes set: build-the-tower path after wooden ring stackers; distinct from Hape/Goki wood.,,"Some stacking days are about building the tower itself, not only rings on a peg. Quercetti spiral sections click into a tall build toddlers can help assemble. Useful when wooden rings already feel finished and hands want a taller tower job with a roll at the end.",,2026-07-24
16-18m,cat_stacking_pegboard,longlist,1,Hape Stacking Jack,Hape,https://www.adventuretoys.co.uk/hape-stacking-jack/,200,true,,,,,,,,12 months +,,,good,,,#1 over #2: simplest first stack with 12m+ mark and low price; wobble towers add challenge later.,,Classic ring stack for busy hands cluster.,Low stock signal on retailer; check before gift wrap.,2026-07-24
16-18m,cat_stacking_pegboard,longlist,2,Goki Rainbow Wobble Stacker,Goki,https://toytastic.co.uk/product/goki-rainbow-wobble-stacker/,200,true,,,,,,,,1 year +,,,good,,,#2 over #3: clearer wobble challenge than bear tower; trails Jack on first-buy simplicity.,,Wobble stacking for progressing hands.,Harder than flat base; may frustrate cautious starters.,2026-07-24
16-18m,cat_stacking_pegboard,longlist,3,Goki Stacking Bear Wobble Tower,Goki,https://toytastic.co.uk/product/goki-stacking-bear-wobble-tower/,200,true,,,,,,,,1 year +,,,good,,,#3 over #4: same Goki wobble family with character hook; music stacker is a different job.,,Character wobble stack.,Max two Goki brands in Top 5 already used; still distinct SKU.,2026-07-24
16-18m,cat_stacking_pegboard,longlist,4,Hape Wooden Musical Instrument Stacking Set,Hape,https://www.adventuretoys.co.uk/hape-wooden-musical-instrument-stacking-set/,200,true,,,,,,,,18 months +,,,good,,,#4 over #5: richer nested music stack; FlipCar is wrong category backup.,,Nesting stack with music.,18m+ only overlaps band max.,2026-07-24
16-18m,cat_stacking_pegboard,longlist,5,Quercetti Spiral Tower Baby Ball Run,Quercetti,https://toytastic.co.uk/product/quercetti-spiral-tower-06501/,200,true,,,,,,,,1 year +,,,good,,,#5 completes set: build-the-tower path after wooden ring stackers; distinct from Hape/Goki wood.,,Tower build with pieces.,Also appears in soft-ball / ramp lists; ownership note across categories.,2026-07-24
16-18m,cat_stacking_pegboard,longlist,6,Quercetti Play Eco+ Spiral Tower Evo,Quercetti,https://toytastic.co.uk/product/quercetti-play-eco-spiral-tower-evo/,200,true,,,,,,,,1 year +,,,good,,,Rank 6: duplicate spiral format.,Near-duplicate of Spiral Tower already in Top 5.,Eco twin spiral.,,2026-07-24
16-18m,cat_stacking_pegboard,longlist,7,Goki Dolphin Balancing Game,Goki,https://toytastic.co.uk/product/goki-dolphin-balancing-game/,200,true,,,,,,,,3 years +,,,good,,,Rank 7: 3+ balancing.,3+ age mark fails 16-18m overlap.,Age fail.,,2026-07-24
16-18m,cat_stacking_pegboard,longlist,8,Quercetti FlipCar Racetrack,Quercetti,https://toytastic.co.uk/product/quercetti-flipcar-racetrack/,200,true,,,,,,,,18 months +,,,good,,,Rank 8: ramp category.,"Flip cars belong in ramp rolling, not pegboard stacking.",Ramp cars.,,2026-07-24
16-18m,cat_stacking_pegboard,longlist,9,Scrunch Ball,Scrunch,https://www.adventuretoys.co.uk/scrunch-ball/,200,true,,,,,,,,Toddler soft ball,,,good,,,Rank 9: wrong category.,"Soft ball, not stacking pegboard.",Ball not stacker.,,2026-07-24
16-18m,cat_stacking_pegboard,longlist,10,Bigjigs Activity Balls,Bigjigs,https://www.adventuretoys.co.uk/big-jigs-activity-balls/,200,true,,,,,,,,Silicone balls,,,good,,,Rank 10: wrong category.,"Activity balls, not towers.",Balls.,,2026-07-24
16-18m,cat_stacking_pegboard,longlist,11,SES Creative My First Colourball,SES Creative,https://toytastic.co.uk/product/ses-creative-my-first-colourball/,200,true,,,,,,,,1–4 years,,,good,,,Rank 11: art tool.,Crayon tool for mark-making category.,Crayon.,,2026-07-24
16-18m,cat_stacking_pegboard,longlist,12,Corolle Miss Floral Sweet Dreams Soft Doll,Corolle,https://www.adventuretoys.co.uk/corolle-miss-floral-sweet-dreams-soft-doll/,200,true,,,,,,,,Birth +,,,good,,,Rank 12: care play.,Soft doll for care category.,Doll.,,2026-07-24
16-18m,cat_stacking_pegboard,longlist,13,Quercetti Migoga Tower Sound,Quercetti,https://toytastic.co.uk/product/quercetti-migoga-tower-sound/,200,true,,,,,,,,18 months +,,,good,,,Rank 13: ramp/ball run.,Ball run focus; Spiral already covers tower build.,Sound ball run.,,2026-07-24
16-18m,cat_stacking_pegboard,longlist,14,SES Creative My First Crayon Beads,SES Creative,https://toytastic.co.uk/product/ses-creative-my-first-crayon-beads/,200,true,,,,,,,,1–4 years,,,good,,,Rank 14: crayons.,Mark-making tools.,Crayons.,,2026-07-24
16-18m,cat_stacking_pegboard,longlist,15,Les Deglingos Melimelos Activity Ball,Les Deglingos,https://toytastic.co.uk/product/les-deglingos-activity-ball-melimelos-the-deer/,200,true,,,,,,,,Birth to 18 months,,,good,,,Rank 15: ball.,"Soft activity ball, not pegboard stack.",Soft ball.,,2026-07-24
16-18m,cat_stacking_pegboard,skip,,Goki Dolphin Balancing Game,Goki,https://toytastic.co.uk/product/goki-dolphin-balancing-game/,200,true,,,,,,,,3 years +,,,reject,false,skip,,,,3+ age mark fails 16-18m overlap.,2026-07-24
16-18m,cat_stacking_pegboard,skip,,Quercetti Jumbo Peggy,Quercetti,https://www.amazon.co.uk/dp/B084JKBD7J,200,false,,,,,,,,2+,,,reject,false,skip,,,,Manufacturer 24 months; no overlap with 16-18m; Amazon primary unreliable here.,2026-07-24
16-18m,cat_stacking_pegboard,skip,,Melissa & Doug Stack and Sort Board,Melissa & Doug,https://www.amazon.co.uk/dp/B00272N8Q2,200,false,,,,,,,,24 months / 3+ listing conflict,,,reject,false,skip,,,,Strict manufacturer min 24m fails band overlap.,2026-07-24
16-18m,cat_stacking_pegboard,skip,,Hape Stacking Jill,Hape,https://www.adventuretoys.co.uk/hape-stacking-jill/,200,true,,,,,,,,12 months +,,,reject,false,skip,,,,Out of stock twin of Stacking Jack at research time.,2026-07-24
16-18m,cat_stacking_pegboard,skip,,Tiny loose peg mosaic boards,Various,https://toytastic.co.uk/product/goki-rainbow-wobble-stacker/,200,true,,,,,,,,,,,reject,false,skip,,,,Fine peg mosaics with 3+ marks fail age and choking risk for this band.,2026-07-24
