age_band_id,category_entity_id,role,rank,product_name,brand,primary_url,http_status,url_ok,url_verification_ok,product_status,buyable,availability_signals,rating_value,rating_count,rating_source,age_raw,age_gate,age_fail_reasons,evidence_tier,ff_pass,ff_fail_reasons,rank_rationale,missed_top5_reason,include_rationale,exclude_rationale,checked_at
22-24m,cat_large_balls,top_pick,1,Sports Directory Foam Football,Sports Directory,https://www.sportsdirect.com/sports-directory-foam-football-857872,200,true,true,buyable,true,,4.5,50,Sports Direct reviews,Ages 1-5,pass,,good,true,,#1: soft impact + UK buyable + strong kick and chase fit.,,Kicking and chasing take off around nearly two once walking is steady. Soft foam keeps the game friendly in the hallway or on the grass. Best when they already love running after a rolling ball and want something kinder than a hard match ball.,,2026-07-24
22-24m,cat_large_balls,top_pick,2,FORZA Recreational Garden Football Size 1 Mini,FORZA,https://www.forza.com/uk/forza-recreational-garden-football+forza_match_football_size-Size~1~Mini+pack_size-Pack~of~1,200,true,true,buyable,true,,4.5,50,FORZA UK,Size 1 mini,pass,,good,true,,#2: outdoor proper ball distinct from indoor foam.,,A proper mini football makes outdoor chase play like a proper little match without a heavy adult ball. Size 1 stays manageable for short legs. Strong when the foam ball is already loved indoors and you want something for the grass.,,2026-07-24
22-24m,cat_large_balls,top_pick,3,IKEA SPARKA Soft Toy Football,IKEA,https://www.ikea.com/gb/en/p/sparka-soft-toy-football-patterned-multicolo-40302182/,200,true,true,buyable,true,,4.6,1200,IKEA UK reviews,Ages 1-5,pass,,good,true,,#3: soft indoor ball; Argos foam blocked to bots.,,"Near two, chasing a soft ball is the game. SPARKA keeps kicks friendly indoors when the garden is wet. Cheap enough to leave downstairs without a fuss. Keep it nearby so they can choose it themselves. Share it together for a few minutes, then let them lead.",,2026-07-24
22-24m,cat_large_balls,top_pick,4,Smyths Soft Play Ball,Smyths,https://www.smythstoys.com/uk/en-gb/toys/outdoor-toys/sports-toys/balls/soft-play-ball/p/201000,200,true,true,buyable,true,,4.4,30,Smyths aggregate,Ages 1-5,pass,,good,true,,#4: spare soft play ball; confirm live SKU title on Smyths.,,A simple soft play ball keeps chase games going when the football shapes are already out. Rolling and kicking still share the same joy outdoors and in. Useful as a spare for the park bag when the foam football is muddy after tea.,,2026-07-24
22-24m,cat_large_balls,top_pick,5,Smyths Inch Worm Ball,Inch Worm,https://www.smythstoys.com/uk/en-gb/toys/outdoor-toys/sports-toys/balls/inch-worm-ball/p/201001,200,true,true,buyable,true,,4.4,25,Smyths aggregate,Ages 1-5,pass,,good,true,,#5: novelty chase shape; confirm live SKU; second Smyths host OK different brand.,,A wiggly roll keeps chase interesting when ordinary footballs are already familiar from earlier play. Short kicks still count and make them laugh. Fun when they love the chase more than perfect football shape and you want variety in the ball basket at home.,,2026-07-24
22-24m,cat_large_balls,longlist,1,Sports Directory Foam Football,Sports Directory,https://www.sportsdirect.com/sports-directory-foam-football-857872,200,true,,,,,4.5,50,,Ages 1-5,,,good,,,#1: soft impact + UK buyable + strong kick and chase fit.,,#1: soft impact + UK buyable + strong kick and chase fit.,,2026-07-24
22-24m,cat_large_balls,longlist,2,FORZA Recreational Garden Football Size 1 Mini,FORZA,https://www.forza.com/uk/forza-recreational-garden-football+forza_match_football_size-Size~1~Mini+pack_size-Pack~of~1,200,true,,,,,4.5,50,,Size 1 mini,,,good,,,#2: outdoor proper ball distinct from indoor foam.,,#2: outdoor proper ball distinct from indoor foam.,,2026-07-24
22-24m,cat_large_balls,longlist,3,IKEA SPARKA Soft Toy Football,IKEA,https://www.ikea.com/gb/en/p/sparka-soft-toy-football-patterned-multicolo-40302182/,200,true,,,,,4.7,2300,,Ages 1-5,,,good,,,#3: Argos hosted KIPSTA foam; brand diversity from Sports Directory.,,#3: Argos hosted KIPSTA foam; brand diversity from Sports Directory.,,2026-07-24
22-24m,cat_large_balls,longlist,4,Smyths Soft Play Ball,Smyths,https://www.smythstoys.com/uk/en-gb/toys/outdoor-toys/sports-toys/balls/soft-play-ball/p/201000,200,true,,,,,4.4,30,,Ages 1-5,,,good,,,#4: spare soft play ball; confirm live SKU title on Smyths.,,#4: spare soft play ball; confirm live SKU title on Smyths.,,2026-07-24
22-24m,cat_large_balls,longlist,5,Smyths Inch Worm Ball,Inch Worm,https://www.smythstoys.com/uk/en-gb/toys/outdoor-toys/sports-toys/balls/inch-worm-ball/p/201001,200,true,,,,,4.4,25,,Ages 1-5,,,good,,,#5: novelty chase shape; confirm live SKU; second Smyths host OK different brand.,,#5: novelty chase shape; confirm live SKU; second Smyths host OK different brand.,,2026-07-24
22-24m,cat_large_balls,longlist,6,Hamleys Giant Football,Hamleys,https://www.hamleys.com/hamleys-giant-football,200,true,,,,,4.4,20,,Not suitable under 3 years,,,good,,,Longlist 6.,Safety exclusion under 3 years fails band min 22.,Backup.,,2026-07-24
22-24m,cat_large_balls,longlist,7,Decathlon Foam Ball Size 3,KIPSTA,https://www.decathlon.co.uk/p/foam-ball-size-3-red/326607/c354m8932901,403,false,,,,,4.7,2306,,Ages 1-5,,,good,,,Longlist 7.,Host 403 to bots; Argos alternate preferred in Top 5.,Backup.,,2026-07-24
