age_band_id,category_entity_id,role,rank,product_name,brand,primary_url,http_status,url_ok,url_verification_ok,product_status,buyable,availability_signals,rating_value,rating_count,rating_source,age_raw,age_gate,age_fail_reasons,evidence_tier,ff_pass,ff_fail_reasons,rank_rationale,missed_top5_reason,include_rationale,exclude_rationale,checked_at
25-27m,cat_shape_sorters_puzzles,top_pick,1,UPPSTA shape sorter,IKEA,https://www.ikea.com/gb/en/p/uppsta-shape-sorter-multicolour-90592088/,200,true,true,buyable,true,,4.5,46,IKEA UK reviewCount 46,Recommended for ages from 6 months,pass,,strong,true,,"#1: ages from 6 months, 46 reviews, chunky posting fit.",,Busy hands just past two want to match a shape and try again when it sticks. A clear birdhouse sorter keeps that try visible without tiny fiddly pieces. Best first sorter when they are past pure banging and into posting shapes on the floor.,,2026-07-24
25-27m,cat_shape_sorters_puzzles,top_pick,2,UPPSTA building beakers,IKEA,https://www.ikea.com/gb/en/p/uppsta-building-beakers-multicolour-70513884/,200,true,true,buyable,true,,4.9,380,IKEA UK reviewCount 380,Recommended for ages from 6 months,pass,,strong,true,,#2: related busy hands; second IKEA slot; 380 reviews.,,Shape work is not only posting through holes. Nesting beakers let them sort by size and tip them out for another go on the floor. Second IKEA busy hands set when the sorter is already on the shelf at home.,,2026-07-24
25-27m,cat_shape_sorters_puzzles,top_pick,3,Melissa and Doug Shape Sorting Cube,Melissa & Doug,https://www.smythstoys.com/uk/en-gb/toys/preschool/educational-toys/melissa-and-doug-shape-sorting-cube/p/159210,200,true,true,buyable,true,,,,,Ages 2+,pass,,specialist,true,,#3: Ages 2+ wooden classic; Smyths smoke OK and buyable.,,A wooden cube sorter is the familiar UK shelf staple for matching shapes by hand at this age. Chunky pieces fit just past two better than tiny plastic sets. Good when you want a sturdy wooden cube instead of a birdhouse form.,,2026-07-24
25-27m,cat_shape_sorters_puzzles,top_pick,4,Melissa and Doug Chunky Pets Puzzle,Melissa & Doug,https://www.smythstoys.com/uk/en-gb/toys/preschool/educational-toys/melissa-and-doug-chunky-puzzle-pets/p/186194,200,true,true,buyable,true,,,,,Ages 2+,pass,,specialist,true,,#4: chunky lift out puzzle; second MD brand slot.,,"Shape sorting is one busy hands job; lift out puzzles are the next step for just past two. Chunky pet pieces let them lift, name and reseat without tiny tabs. Second Melissa and Doug slot when the cube is already sorted.",,2026-07-24
25-27m,cat_shape_sorters_puzzles,top_pick,5,Galt Toys Chunky Farm Puzzle,Galt Toys,https://www.smythstoys.com/uk/en-gb/toys/preschool/educational-toys/galt-toys-chunky-farm-puzzle/p/159212,200,true,true,buyable,true,,,,,Ages 2+,pass,,specialist,true,,#5: third brand chunky puzzle; Ages 2+.,,A second chunky farm puzzle brand keeps ownership flexible if Melissa and Doug is already on the shelf. Large pieces fit busy hands just past two. Good gift when you know they already enjoy lift out animal pieces at home.,,2026-07-24
25-27m,cat_shape_sorters_puzzles,longlist,1,UPPSTA shape sorter,IKEA,https://www.ikea.com/gb/en/p/uppsta-shape-sorter-multicolour-90592088/,200,true,,,,,4.5,46,,Recommended for ages from 6 months,,,strong,,,"#1: ages from 6 months, 46 reviews, chunky posting fit.",,Chunky shape posting.,,2026-07-24
25-27m,cat_shape_sorters_puzzles,longlist,2,UPPSTA building beakers,IKEA,https://www.ikea.com/gb/en/p/uppsta-building-beakers-multicolour-70513884/,200,true,,,,,4.9,380,,Recommended for ages from 6 months,,,strong,,,#2: related busy hands; second IKEA slot; 380 reviews.,,Size sort and stack.,,2026-07-24
25-27m,cat_shape_sorters_puzzles,longlist,3,Melissa and Doug Shape Sorting Cube,Melissa & Doug,https://www.smythstoys.com/uk/en-gb/toys/preschool/educational-toys/melissa-and-doug-shape-sorting-cube/p/159210,200,true,,,,,,,,Ages 2+,,,specialist,,,#3: Ages 2+ wooden classic; Smyths smoke OK and buyable.,,Classic wooden sorting cube.,,2026-07-24
25-27m,cat_shape_sorters_puzzles,longlist,4,Melissa and Doug Chunky Pets Puzzle,Melissa & Doug,https://www.smythstoys.com/uk/en-gb/toys/preschool/educational-toys/melissa-and-doug-chunky-puzzle-pets/p/186194,200,true,,,,,,,,Ages 2+,,,specialist,,,#4: chunky lift out puzzle; second MD brand slot.,,Chunky lift out puzzle.,,2026-07-24
25-27m,cat_shape_sorters_puzzles,longlist,5,Galt Toys Chunky Farm Puzzle,Galt Toys,https://www.smythstoys.com/uk/en-gb/toys/preschool/educational-toys/galt-toys-chunky-farm-puzzle/p/159212,200,true,,,,,,,,Ages 2+,,,specialist,,,#5: third brand chunky puzzle; Ages 2+.,,Chunky farm puzzle alternative.,,2026-07-24
