schema_version,research_date,researcher,age_band_id,age_band_id_spine,category_entity_id,category_label,cluster_label,content_type,status,rank,longlist_rank,top_pick_rank,best_for_tag,product_name,brand,retailer,product_url,alternate_urls,image_url,url_checked_date,stock_status,price_amount,price_text,currency,price_checked_date,age_mark_on_listing,key_specs,product_description_under_30_words,ember_verdict,personalization_hint,why_it_fits,caveats,buy_borrow_hold_off,gift_suitable,gift_note,ownership_note,safety_notes,rating_value,rating_count,rating_source,review_quality_note,evidence_tier,evidence_sources,preloved_suitability,preloved_signal_note,substitute_if_unavailable,founder_qa_flag,skip_reason,evidence_notes
ember_picks_research_v2,2026-07-21,cursor,34-36m,age_34_36m,cat_balance_stepping_stones,Balance paths and stepping stones,"Pedalling, jumping, balancing and ball play",product_category,pick,1,1,1,Best for rule-based paths,Gonge River Stones (set of 6),Gonge,Liberty House Toys,https://www.libertyhousetoys.com/gonge-river-stones,https://www.amazon.co.uk/Gonge-1137385-River-Stones/dp/B000ANIVRG | https://www.very.co.uk/liberty-house-gonge-river-stones-set-of-6-stones-nordic/1601058729.prd,,2026-07-21,in_stock,55,£55.00,GBP,2026-07-21,2+,"{""piece_count"":""6 (3 large, 3 small)"",""dimensions"":""Large H85×W370mm; small H45×W260mm"",""materials"":""PP plastic with TPE rubber rim"",""included_items"":""6 stones, game suggestions"",""other"":""Each triangle has three steepness sides; stacks for storage; 100kg load""}",Six stackable triangular stepping stones in two sizes. Each stone has three slope sides so you can dial difficulty up or down when laying a path.,"This is the pick if cushions-and-tape has run its course and you want a proper path with rules. Lay them out: step, pause on yellow, turn, jump to the next. Each stone’s three sides let you progress without buying more kit — different from 31–33m throw-and-aim games. Sturdy on laminate; stacks away. Pricey — borrow or try pre-loved first if budget matters.","likely to follow simple movement rules like step, pause and turn rather than random crashing around","Variable steepness and two sizes create sequenced, rule-based paths — the core 34–36m shift. OT clinics and parent reviews consistently cite reconfigurability for step-pause-turn games.",Premium price; box can look rough for gifting; one set may feel short for long corridors — combine with tape markers rather than buying a second identical set.,buy,true,Strong gift if the family has floor space and already plays active indoor games. Pair with a simple rule card rather than wrapping the delivery box.,Many nurseries own these — ask before duplicating. Popular on pre-loved sites.,"Non-slip rubber base; designed not to overturn. Supervise on hard floors until your child knows their limits — this brief is planned movement, not height daredevil play.",4.7,500,Amazon UK (aggregated product listing),Sustained praise for reconfigurability and floor grip; Liberty House shows 3 verified 5-star UK reviews.,strong,Liberty House Toys product page | Amazon UK reviews | ScienceBasedKids OT review | Nannyjob hands-on review,good,Gonge River Stones regularly appear on Vinted and eBay UK; check rubber rim wear.,National Geographic Stepping Stones 6-pack (budget path starter),check_price,,PriceSpy UK showed £48.99–£59.99 across retailers on check date.
ember_picks_research_v2,2026-07-21,cursor,34-36m,age_34_36m,cat_balance_stepping_stones,Balance paths and stepping stones,"Pedalling, jumping, balancing and ball play",product_category,pick,2,2,2,Best for tight budgets,National Geographic Stepping Stones for Kids (6-pack with spinner),National Geographic,Amazon UK,https://www.amazon.co.uk/NATIONAL-GEOGRAPHIC-Durable-Non-Slip-Stepping/dp/B0C95HPFHM,https://www.goodplayguide.com/reviews/national-geographic-balance-stepping-stones/,,2026-07-21,in_stock,22.99,£22.99,GBP,2026-07-21,3+,"{""piece_count"":""6 stones + colour spinner"",""dimensions"":""Flat stones approx. 30cm diameter, low profile"",""materials"":""Plastic with rubber non-slip base"",""included_items"":""6 stones, spinner, game ideas"",""other"":""Indoor/outdoor; stacks nested""}","Six low-profile non-slip stepping stones in bright colours, plus a spinner for colour-rule games. Nests for storage.","If tape lines on the floor are working but you want proper stones without Gonge money, this does the job. The spinner helps nearly-threes follow rules — only blue, pause, next colour — which fits this band better than 31–33m throw games. Lower profile means less height challenge; fine for planned step-and-turn, not jumping practice.",likely to enjoy simple colour rules and short indoor obstacle courses before moving to higher stones,Budget entry to rule-based path play with built-in spinner for sequenced movement games. Good Play Guide tested with 3+ children on path planning.,Flatter and lighter than Gonge — less height progression. Some parents wish stones were taller. Not the long-term OT-grade option.,buy,true,"Easy wrap, clear play value, good first set before committing to premium kit.",Common duplicate — many families already own a generic stepping-stone set.,Rubber bases grip laminate; low fall height. Check spinner small parts if younger siblings under 3 visit.,4.5,174,Amazon UK,Verified UK reviews praise floor grip and lava-game play; Good Play Guide expert tested.,strong,Amazon UK listing | Good Play Guide expert review | PriceSpy UK,possible,Generic sets common on resale sites; verify rubber base grip.,"Costway 9-piece stepping stones (more pieces, similar price tier)",none,,
ember_picks_research_v2,2026-07-21,cursor,34-36m,age_34_36m,cat_balance_stepping_stones,Balance paths and stepping stones,"Pedalling, jumping, balancing and ball play",product_category,pick,3,3,3,Best for small spaces,Edx Education Step-A-Stumps (set of 6),Edx Education,The Dyslexia Shop,https://www.thedyslexiashop.co.uk/products/step-a-stumps-6-piece-modular-balance-stepping-stones-for-sensory-play,https://www.shopedx.co.uk/products/step-a-stumps,,2026-07-21,in_stock,87.99,£87.99,GBP,2026-07-21,18 months+,"{""piece_count"":""6 (2 small, 2 medium, 2 large)"",""dimensions"":""Approx. 22–29cm diameter; heights 10–13cm"",""materials"":""Polypropylene with ribbed non-slip top, rubber-edged base"",""included_items"":""6 stumps, nylon carry bag"",""other"":""Nest together; indoor/outdoor""}","Six ribbed, nesting stump stepping stones in three sizes, with a carry bag. Textured tops give sensory feedback under bare feet.","When storage is tight but you want more than flat stones, these nest into one stack with a carry bag — useful in a flat with limited toy clutter. Ribbed tops add sensory feedback for children who like to feel the surface before committing a foot. Good for step-and-pause paths; less exciting for big jumps.","likely to pause and look at where feet go before stepping, enjoying textured surfaces",Compact nesting plus three size grades supports progressive path difficulty in small rooms. Specialist education retailer listing with EN71 safety context.,Premium price for a plastic set; UK review volume lower than Gonge or National Geographic. Shopedx lists £105.60 — shop around.,buy,true,Better gift for families who value tidy storage and sensory texture over brand recognition.,Common in nurseries — check before gifting duplicates.,Rubber-edged bases; ribbed tops reduce slip. Supervise first sessions on hard floors.,4.7,812,Amazon.com (Edx Step-a-Trail line — related Edx balance range),Strong US Amazon signal for Edx balance range; UK specialist retailers stock with spec detail but fewer public reviews.,good,The Dyslexia Shop | Shopedx brand listing | Edx Education product spec,possible,Occasional nursery sell-offs; check rubber edge condition.,"National Geographic 6-pack (less sensory, much cheaper)",check_price,,UK price varies £87.99–£105.60 between retailers.
ember_picks_research_v2,2026-07-21,cursor,34-36m,age_34_36m,cat_balance_stepping_stones,Balance paths and stepping stones,"Pedalling, jumping, balancing and ball play",product_category,pick,4,4,4,Best for height practice,Gonge Hilltops (set of 3),Gonge,Liberty House Toys,https://www.libertyhousetoys.com/gonge-hilltops,https://www.sensoryeducation.co.uk/products/gonge-nordic-hill-tops-set-of-3,,2026-07-21,in_stock,74.99,£74.99,GBP,2026-07-21,2+,"{""piece_count"":""3 hilltops"",""dimensions"":""Heights 85mm, 170mm, 260mm"",""materials"":""PP plastic with TPE rubber feet"",""included_items"":""3 hilltops, game suggestions"",""other"":""Designed not to overturn; 100kg load; pairs with River Stones""}",Three stackable hilltop platforms at different fixed heights. Non-slip feet; designed not to tip when stepped on carefully.,"Pick this when the shift is step-up, pause on the tall one, turn, step down — height sequencing rather than flat hopping. Works in the garden or a cleared living-room zone. Combine with River Stones for a mixed path, but this set alone covers height practice without daredevil bounce. Start with hands nearby until confident.",likely to be practising stepping up and down with deliberate pauses rather than running at speed,Three fixed heights teach planned up-down movement — distinct from flat stones and from 31–33m throw games. Liberty House reviewer bought alongside River Stones for a 3rd birthday.,Only three pieces — short path unless combined with cushions or other kit. Takes more floor space than flat stones. Not a substitute for trying tape paths first.,buy,true,Impressive unboxing for active families with garden or playroom space. Best as a step-up gift after flat stones.,Pairs with River Stones — check whether family already owns Gonge before doubling up.,Non-slip rubber feet; anti-overturn design. Supervise height steps until your child can pause and balance without hands.,5,1,Liberty House Toys,Limited UK public reviews; strong brand spec and paired use evidence from River Stones reviews.,good,Liberty House Toys | Sensory Education UK listing,good,Gonge kit holds resale value; inspect rubber feet.,Gonge River Stones using steepest triangle side only (less height range),check_age_fit,,Low UK review count — founder should sanity-check height vs child confidence before gifting.
ember_picks_research_v2,2026-07-21,cursor,34-36m,age_34_36m,cat_balance_stepping_stones,Balance paths and stepping stones,"Pedalling, jumping, balancing and ball play",product_category,pick,5,5,5,Best for straight paths,Edx Education Step-A-Trails (set of 6),Edx Education,Shopedx,https://www.shopedx.co.uk/products/step-a-trails,https://www.thedyslexiashop.co.uk/products/step-a-trails-6-piece-modular-balance-beam-set-for-sensory-play,,2026-07-21,in_stock,96,£96.00,GBP,2026-07-21,18 months+,"{""piece_count"":""6 straight trail sections"",""dimensions"":""48 × 13.6 × 6.4 cm each"",""materials"":""Polypropylene with ribbed non-slip top"",""included_items"":""6 trail sections in 2 colours"",""other"":""Arrange straight or curved paths; indoor/outdoor""}","Six low balance-beam sections that link into straight or curved walking paths. Ribbed tops; six centimetres high — walk the line, not hop.","Category says paths and stones — this is the path half. Lay a walking line down the hall: heel-toe, pause at the end, turn, come back. Lower than stones so it suits cautious nearly-threes who need rule-based walking before jumping. Curve the sections when straight lines get easy.",likely to be practising careful heel-toe walking and stopping on command rather than big jumps,Beam paths train planned step-and-pause movement without jump height — matches the not-daredevil brief. Distinct product type from all stone picks.,Expensive for six plastic beams; less imaginative lava-game appeal for some children. Needs hallway or cleared floor run.,buy,true,Niche gift — best when parents already want active indoor play and have space for a floor path.,Tape on floor may suffice — only buy if child has outgrown tape and wants a raised edge to feel.,Low 6.4cm height limits fall risk. Ensure sections sit flat on hard floors; check siblings do not use as ramps for wheeled toys.,4.7,812,Amazon.com (Edx Step-a-Trail — same product line),Strong international reviews for identical Edx trail SKU; UK Shopedx in stock.,good,Shopedx | The Dyslexia Shop | Amazon.com Edx Step-a-Trail reviews,possible,Nursery surplus occasionally listed.,DIY painter's tape path (hold off buying),check_price,,Dyslexia Shop may price differently — verify before ingestion.
ember_picks_research_v2,2026-07-21,cursor,34-36m,age_34_36m,cat_balance_stepping_stones,Balance paths and stepping stones,"Pedalling, jumping, balancing and ball play",product_category,backup,,6,,Best for spinner games,Toyrific Stepping Stones Balance Game (8-pack with spinner),Toyrific,Toyrific,https://www.toyrific.co.uk/products/stepping-stones-balancing-game,,,2026-07-21,out_of_stock,,£24.99,,,3+,,,,,,Sold out on check date.,buy,true,,,,,,,,good,,,,,,,Made for Mums Award 2025; eight stones plus spinner — strong mid-budget backup.
ember_picks_research_v2,2026-07-21,cursor,34-36m,age_34_36m,cat_balance_stepping_stones,Balance paths and stepping stones,"Pedalling, jumping, balancing and ball play",product_category,backup,,7,,Best for longer paths,National Geographic Stepping Stones 10-pack,National Geographic,Amazon UK,https://www.amazon.co.uk/NATIONAL-GEOGRAPHIC-Stepping-Stones-Durable-Non-Slip/dp/B0C95JJC33,,,2026-07-21,in_stock,,£29.99–£39.99,,,3+,,,,,,Same low profile as 6-pack.,buy,true,,,,4.5,174,,,good,,,,,,,More stones for longer hallway paths without premium spend.
ember_picks_research_v2,2026-07-21,cursor,34-36m,age_34_36m,cat_balance_stepping_stones,Balance paths and stepping stones,"Pedalling, jumping, balancing and ball play",product_category,backup,,8,,Best for gap control,Edx Education Step-A-Stones (rope-connected),Edx Education,Shopedx,https://www.shopedx.co.uk/products/step-a-stones,,,2026-07-21,in_stock,,£75.60,,,18 months+,,,,,,Rope gaps need adult setup each time.,buy,true,,,,,,,,good,,,,,,,Adjustable rope gaps teach step-and-reach distance judgement.
ember_picks_research_v2,2026-07-21,cursor,34-36m,age_34_36m,cat_balance_stepping_stones,Balance paths and stepping stones,"Pedalling, jumping, balancing and ball play",product_category,backup,,9,,Best for more pieces,Costway 9-piece Non-Slip Toddler Stepping Stones,Costway,Costway UK,https://www.costway.co.uk/9-pieces-non-slip-toddler-stepping-stones-for-kids-aged-3.html,,,2026-07-21,in_stock,,£36.95,,,3+,,,,,,Low review count; clearance pricing volatile.,buy,true,,,,5,5,,,good,,,,,,,Nine stackable stones; strong Costway reviews for small-space play.
ember_picks_research_v2,2026-07-21,cursor,34-36m,age_34_36m,cat_balance_stepping_stones,Balance paths and stepping stones,"Pedalling, jumping, balancing and ball play",product_category,backup,,10,,Best for sale hunting,AIYAPLAY Balance Stepping Stones (6-pack),AIYAPLAY,Aosom UK,https://www.aosom.co.uk/item/aiyaplay-balance-stepping-stones-for-kids-with-non-slip-bottom-indoor-outdoor-obstacle-course-for-ages-3-8-years~1SECH27OHNG01.html,,,2026-07-21,out_of_stock,,£12.99 (sale) / £49.99 RRP,,,3+,,,,,,Out of stock; flash-sale pricing unreliable.,hold_off,true,,,,,,,,emerging,,,,,,,Budget six-pack with textured tops; watch price volatility.
