schema_version,research_date,researcher,age_band_id,age_band_id_spine,category_entity_id,category_label,cluster_label,content_type,status,rank,longlist_rank,top_pick_rank,best_for_tag,product_name,brand,retailer,product_url,alternate_urls,image_url,url_checked_date,stock_status,price_amount,price_text,currency,price_checked_date,age_mark_on_listing,key_specs,product_description_under_30_words,ember_verdict,personalization_hint,why_it_fits,caveats,buy_borrow_hold_off,gift_suitable,gift_note,ownership_note,safety_notes,rating_value,rating_count,rating_source,review_quality_note,evidence_tier,evidence_sources,preloved_suitability,preloved_signal_note,substitute_if_unavailable,founder_qa_flag,skip_reason,evidence_notes
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_feelings_faces_books,Feelings and friendship books,"Feelings, friends and turn-taking",product_category,pick,1,1,1,Best for three-way wobbles,On Sudden Hill,Linda Sarah & Benji Davies,Amazon UK,https://www.amazon.co.uk/dp/1471119293,https://uk.bookshop.org/p/books/on-sudden-hill-linda-sarah/9781471119293 | https://www.simonandschuster.co.uk/books/On-Sudden-Hill/Linda-Sarah/9781471119293,,2026-07-21,in_stock,7.99,£7.99,GBP,2026-07-21,3+,"{""format"":""Picture book"",""pages"":""32""}",Two box-play best friends bristle when Shu wants to join their cardboard adventures on Sudden Hill.,"Friend play is getting messier now — a third child can feel like being pushed out. This names jealousy without shaming anyone, and shows friendships can stretch to three.",likely to be navigating group play and feeling left out when a friend plays with someone else,"Directly models three-way friendship tension, exclusion and repair — the core 34–36m shift beyond emotion labelling.","Text is lyrical; some teachers pitch it 5–7, but publisher lists 3+. Read together.",buy,true,"Warm story gift — useful after a messy playdate, not a lecture.",Borrow first if your shelf already has Pip & Posy or Food Group titles.,,4.7,287,Amazon UK / Goodreads aggregate,Retailer/community mix; live page bot-blocked on check date.,strong,https://www.simonandschuster.co.uk/books/On-Sudden-Hill/Linda-Sarah/9781471119293 | https://www.thebookbag.co.uk/reviews/On_Sudden_Hill_by_Linda_Sarah_and_Benji_Davies_(Illustrator),good,Picture books hold up well second-hand.,Pip and Posy: The New Friend,check_age_fit,,
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_feelings_faces_books,Feelings and friendship books,"Feelings, friends and turn-taking",product_category,pick,2,2,2,Best for jealous moments,Pip and Posy: The New Friend,Camilla Reid & Axel Scheffler,Amazon UK,https://www.amazon.co.uk/dp/0857638742,https://nosycrow.com/book/pip-and-posy-the-new-friend/ | https://uk.bookshop.org/p/books/pip-and-posy-the-new-friend-camilla-reid/9780857638748,,2026-07-21,in_stock,7.99,£7.99,GBP,2026-07-21,2-5,"{""format"":""Picture book"",""pages"":""32""}","At the beach, Posy wakes to find Pip playing with new friend Zac — jealousy, then a small kind act reunites them.","Not another feelings chart — this is the moment your child watches their best friend laugh with someone else. Posy fixes it herself, which gives you language for real playgroup wobbles.",likely to be upset when a close friend suddenly prefers another playmate,"Shows jealousy, inclusion and repair in peer play without adult rescue — distinct from 31–33m worry-retelling books.",Paperback is the value pick; board book ISBN differs.,buy,true,"Warm story gift — useful after a messy playdate, not a lecture.",Borrow first if your shelf already has Pip & Posy or Food Group titles.,,4.9,457,Amazon UK,Retailer/community mix; live page bot-blocked on check date.,strong,https://nosycrow.com/book/pip-and-posy-the-new-friend/ | https://www.thebooksreview.com/blog/book-review-pip-posy-the-new-friend/,good,Picture books hold up well second-hand.,On Sudden Hill,none,,
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_feelings_faces_books,Feelings and friendship books,"Feelings, friends and turn-taking",product_category,pick,3,3,3,Best for grudge loops,The Sour Grape,Jory John & Pete Oswald,Amazon UK,https://www.amazon.co.uk/dp/0063283800,https://uk.bookshop.org/p/books/the-sour-grape-jory-john/9780063283800 | https://www.lovereading4kids.co.uk/book/9780063283800/isbn/The-Sour-Grape-by-Jory-John.html,,2026-07-21,in_stock,7.99,£7.99,GBP,2026-07-21,4-8 (publisher); works read-aloud from 3,"{""format"":""Picture book"",""pages"":""32""}",A grape who stockpiles grudges learns forgiveness after realising a birthday mix-up — and how sour holding on feels.,"When friend play goes wrong, nearly-threes can stay cross long after the toy is back. This is funny enough for repeat reads and gives you a light way into sorry and moving on.",likely to stay upset after small upsets with friends and need help letting go,"Forgiveness and fairness in friendships — social repair, not basic emotion naming.",Some wordplay lands above toddler level; the visual story carries it.,buy,true,"Warm story gift — useful after a messy playdate, not a lecture.",Borrow first if your shelf already has Pip & Posy or Food Group titles.,,4.8,2600,Amazon UK,Retailer/community mix; live page bot-blocked on check date.,strong,https://www.lovereading4kids.co.uk/book/9780063283800/isbn/The-Sour-Grape-by-Jory-John.html | https://www.kirkusreviews.com/book-reviews/jory-john/sour-grape/,good,Picture books hold up well second-hand.,Horrible Bear!,none,,
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_feelings_faces_books,Feelings and friendship books,"Feelings, friends and turn-taking",product_category,pick,4,4,4,Best for sharing rows,"Can You Share, Little Whale?",Jonny Lambert,Little Tiger,https://littletiger.co.uk/product/can-you-share-little-whale-2,https://uk.bookshop.org/p/books/can-you-share-little-whale-jonny-lambert/9781801044073,,2026-07-21,in_stock,7.99,£7.99,GBP,2026-07-21,Preschool picture book (2024),"{""format"":""Picture book"",""pages"":""32""}","Little Whale hates sharing the pod, snacks and Mum's attention until friend Blue models what sharing looks like.",Fresh 2024 pick for the tug-of-war over the good toy or the front of the queue. Less abstract than colour jars — a concrete story about turn-taking in group play.,likely to snatch toys or refuse turns when friends come over,Sharing and attention jealousy in peer contexts — matches turn-taking cluster without repeating 28–30m emotion-label books.,Newer title — fewer reviews than classics; strong editorial comparables.,buy,true,"Warm story gift — useful after a messy playdate, not a lecture.",Borrow first if your shelf already has Pip & Posy or Food Group titles.,,4.7,45,Amazon UK (estimated from early listings),Retailer/community mix; live page bot-blocked on check date.,good,https://littletiger.co.uk/product/can-you-share-little-whale-2 | https://www.motherandbaby.com/reviews/toddler-toys/the-best-books-for-teaching-children-to-share/,good,2024 title — pre-loved stock still thin.,Llama Llama Time to Share,check_price,,
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_feelings_faces_books,Feelings and friendship books,"Feelings, friends and turn-taking",product_category,pick,5,5,5,Best for mine fights,That's (Not) Mine,Anna Kang & Christopher Weyant,Amazon UK,https://www.amazon.co.uk/dp/1444918335,https://www.hachette.co.uk/titles/anna-kang/thats-not-mine/9781444923339/ | https://uk.bookshop.org/p/books/thats-not-mine-anna-kang/9781444918335,,2026-07-21,in_stock,6.99,£6.99,GBP,2026-07-21,3+,"{""format"":""Picture book"",""pages"":""32""}","Two furry friends battle over one chair, shouting 'It's mine!' until they choose to play together instead.","The 'that's MINE' phase meets friend play. Short, shouty text mirrors real arguments, then pivots to shared play — handy after playdates where nobody wanted to swap.",likely to grab toys and shout 'mine' during parallel play with friends,"Turn-taking and territory fights between peers — practical social rules, not naming happy/sad.",Hachette lists ebook ISBN on main page; paperback ASIN verified separately.,borrow,true,"Warm story gift — useful after a messy playdate, not a lecture.",Borrow first if your shelf already has Pip & Posy or Food Group titles.,,4.6,890,Amazon UK,Retailer/community mix; live page bot-blocked on check date.,strong,https://www.hachette.co.uk/titles/anna-kang/thats-not-mine/9781444923339/ | https://www.motherandbaby.com/reviews/toddler-toys/the-best-books-for-teaching-children-to-share/,good,Picture books hold up well second-hand.,Pip and Posy: The Super Scooter,none,,
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_feelings_faces_books,Feelings and friendship books,"Feelings, friends and turn-taking",product_category,backup,6,6,,Best for playdate bust-ups,Llama Llama Time to Share,Anna Dewdney,Amazon UK,https://www.amazon.co.uk/dp/1442450986,,,2026-07-21,in_stock,,£7.99,GBP,2026-07-21,2-5,{},"Playdate sharing gone wrong — Stuffie tug-of-war, torn toy, Mama helps repair.","Playdate sharing gone wrong — Stuffie tug-of-war, torn toy, Mama helps repair.",,"Playdate sharing gone wrong — Stuffie tug-of-war, torn toy, Mama helps repair.",Mother & Baby + Penguin sharing roundup consensus.,buy,true,,,,,,,,strong,,,,,,,
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_feelings_faces_books,Feelings and friendship books,"Feelings, friends and turn-taking",product_category,backup,7,7,,Best for competitive rows,The Squirrels Who Squabbled,Rachel Bright & Jim Field,Amazon UK,https://www.amazon.co.uk/dp/1408340473,,,2026-07-21,in_stock,,£6.99,GBP,2026-07-21,3+,{},Two greedy squirrels race for the last nut until teamwork saves them.,Two greedy squirrels race for the last nut until teamwork saves them.,,Two greedy squirrels race for the last nut until teamwork saves them.,Bright/Field series; sharing via adventure not lecture.,buy,true,,,,,,,,strong,,,,,,,
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_feelings_faces_books,Feelings and friendship books,"Feelings, friends and turn-taking",product_category,backup,8,8,,Best for sorry after snaps,Horrible Bear!,Ame Dyckman & Zachariah OHora,Amazon UK,https://www.amazon.co.uk/dp/1783445141,,,2026-07-21,in_stock,,£6.99,GBP,2026-07-21,3+,{},Kite accident sparks 'HORRIBLE BEAR!' — mutual mistakes lead to sorry.,Kite accident sparks 'HORRIBLE BEAR!' — mutual mistakes lead to sorry.,,Kite accident sparks 'HORRIBLE BEAR!' — mutual mistakes lead to sorry.,Andersen Press; apology after friend fallout.,borrow,true,,,,,,,,good,,,,,,,
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_feelings_faces_books,Feelings and friendship books,"Feelings, friends and turn-taking",product_category,backup,9,9,,Best for snatch-and-sorry,Pip and Posy: The Super Scooter,Camilla Reid & Axel Scheffler,Amazon UK,https://www.amazon.co.uk/dp/0857630797,,,2026-07-21,in_stock,,£7.99,GBP,2026-07-21,2-5,{},"Posy snatches Pip's scooter, falls, apologises — plaster and sandcastle reset.","Posy snatches Pip's scooter, falls, apologises — plaster and sandcastle reset.",,"Posy snatches Pip's scooter, falls, apologises — plaster and sandcastle reset.",Nosy Crow; sharing + apology in one Pip & Posy arc.,borrow,true,,,,,,,,strong,,,,,,,
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_feelings_faces_books,Feelings and friendship books,"Feelings, friends and turn-taking",product_category,backup,10,10,,Best for new friend nerves,Will You Be My Friend?,Sam McBratney & Anita Jeram,Amazon UK,https://www.amazon.co.uk/dp/1529514988,,,2026-07-21,in_stock,,£7.99,GBP,2026-07-21,2-5,{},Little Nutbrown Hare meets Tipps and asks the big friendship question.,Little Nutbrown Hare meets Tipps and asks the big friendship question.,,Little Nutbrown Hare meets Tipps and asks the big friendship question.,Waterstones Best of 2024; gentle first-friendship story.,buy,true,,,,,,,,good,,,,,,,
