schema_version,research_date,researcher,age_band_id,age_band_id_spine,category_entity_id,category_label,cluster_label,content_type,status,rank,longlist_rank,top_pick_rank,best_for_tag,product_name,brand,retailer,product_url,alternate_urls,image_url,url_checked_date,stock_status,price_amount,price_text,currency,price_checked_date,age_mark_on_listing,key_specs,product_description_under_30_words,ember_verdict,personalization_hint,why_it_fits,caveats,buy_borrow_hold_off,gift_suitable,gift_note,ownership_note,safety_notes,rating_value,rating_count,rating_source,review_quality_note,evidence_tier,evidence_sources,preloved_suitability,preloved_signal_note,substitute_if_unavailable,founder_qa_flag,skip_reason,evidence_notes
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_jigsaw_puzzles,First jigsaw puzzles,"Puzzles, matching and little plans",product_category,pick,1,1,1,Best for first 12-piece plan,First Farm Friends Jigsaw Puzzles,Orchard Toys,Amazon UK,https://www.amazon.co.uk/Orchard-Toys-292-Friends-Puzzles/dp/B08R6BWGX1,https://www.orchardtoys.com/buy/first-farm-friends-jigsaw-puzzles_497.htm,,2026-07-21,in_stock,7.92,£7.92,GBP,2026-07-21,2+,"{""piece_count"":""2 x 12-piece puzzles"",""dimensions"":""approx 21 x 30 cm each completed"",""materials"":""Chunky wipe-clean cardboard"",""included_items"":""Two farm-animal jigsaws; talk guide on box"",""other"":""Strong colour/background clues on each piece""}",Two chunky 12-piece farm jigsaws in one box. Wipe-clean cardboard pieces with bold background colours so the picture stays visible while they work.,"This is the step up from peg posting: real interlocking pieces, but the pig and cow scenes stay readable while they turn and compare. Strong visual clues mean frustration stays low — good third-birthday gift if peg puzzles are already easy.",likely to be comparing piece shapes and turning them to match colours on the picture,12 pieces hits the strategy brief without jumping to 20+; UK-made Orchard quality; clear picture-first design; strong Amazon and brand-site proof.,"Age mark says 2+ — honest for nearly three, not a fresh 18m buy. Start with one puzzle out; save the second for a win later in the week.",buy,true,Reliable small-box gift under £10; wrap-friendly and familiar on UK nursery shelves.,Skip if you already own Orchard 12-piece farm or jungle sets from a younger sibling — borrow a different theme first.,Not suitable under 3 years per small-parts warning on some Orchard 12-piece lines — supervise if mouthing is still common.,4.7,421,Amazon UK,Parents praise chunky pieces and wipe-clean board; some note 12 pieces is ambitious before 30m — right band for 34–36m.,strong,Amazon UK B08R6BWGX1 | orchardtoys.com product page | Orchard on-site reviews 5.0/52,good,Common on Vinted; check all 24 pieces present — Orchard sells replacement pieces.,Ravensburger Farm Animals 2x12 (longlist rank 7),none,,Mumsnet names Orchard progressive jigsaws among trusted toddler puzzle brands.
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_jigsaw_puzzles,First jigsaw puzzles,"Puzzles, matching and little plans",product_category,pick,2,2,2,Best for digger fans,Big Wheels Jigsaw Puzzle,Orchard Toys,Orchard Toys,https://www.orchardtoys.com/buy/big-wheels-jigsaw-puzzle_63.htm,https://www.howleys.co.uk/orchard-toys-big-wheels-puzzles/,,2026-07-21,in_stock,6.5,£6.50,GBP,2026-07-21,3+,"{""piece_count"":""4 puzzles: 4-piece and 8-piece mix; 6 extra vehicle play pieces"",""dimensions"":""each puzzle approx 16 x 12 cm"",""materials"":""Chunky wipe-clean cardboard"",""included_items"":""Construction vehicle jigsaws plus character/cone play pieces"",""other"":""Progressive difficulty within one box""}",Four construction-vehicle jigsaws in one box — mix of four-piece and eight-piece puzzles — plus six extra vehicle play pieces.,"Age-honest 3+ mark and a built-in ladder: four-piece diggers first, eight-piece cement mixers when they want more trial-and-error. Vehicle interest keeps them at the table long enough to practise turning pieces.",likely to be naming vehicles and lining up finished puzzles beside toy diggers,Progressive 4→8 pieces inside the brief; honest 3+ age mark; distinct from farm/animal sets; strong Orchard durability reputation.,Eight-piece puzzles may need adult calm on first go — keep the four-piece ones out first. Extra play pieces are small; bag them if you still have a mouther.,buy,true,"Strong for vehicle-mad nearly-threes; compact box, under £7 direct from Orchard.",Different enough from farm/animal first jigsaws to own alongside — unless you already have Orchard transport first-puzzle sets.,Not suitable under 3 years — small parts on play pieces.,5,52,Orchard Toys on-site reviews,On-site sample small but consistently positive; Amazon listing also available under Orchard Big Wheels.,good,orchardtoys.com | howleys.co.uk schema listing | Orchard on-site reviews,good,Check all four puzzles and six play pieces — cardboard wears well.,Bigjigs Big Movers 6-piece set (longlist rank 10),check_price,,Amazon price varies; Orchard direct £6.50 checked 2026-07-21.
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_jigsaw_puzzles,First jigsaw puzzles,"Puzzles, matching and little plans",product_category,pick,3,3,3,Best for growing the set,4 Puzzles in a Box — Farm,Galt,Galt Toys,https://www.galttoys.com/products/4-puzzles-in-a-box-farm,https://www.amazon.co.uk/dp/B0074HZZRU,,2026-07-21,in_stock,6.99,£6.99,GBP,2026-07-21,3+,"{""piece_count"":""4, 6, 8 and 12 pieces (four separate puzzles)"",""dimensions"":""15 x 21.5 cm each completed"",""materials"":""Cardboard"",""included_items"":""Four farm-themed progressive jigsaws in one box"",""other"":""SKU 1003913 — not the 18m 2–5 piece Galt first-puzzle line""}",Four farm jigsaws in one box stepping from four pieces up to twelve. Age-marked 3+ with clear animal scenes on each board.,"One box covers weeks of progression — four pieces to build confidence, twelve when they are ready to plan corners and edges. The 3+ mark is honest for nearly three; this is not the baby 18m Galt two-piece line repackaged.",likely to be asking for the next puzzle in the box after finishing an easier one,Progressive 4→12 in one purchase; honest 3+ age mark; budget-friendly; distinct from single-theme Orchard 12-piece pairs.,Cardboard is thinner than Ravensburger — store flat. Amazon ASIN availability fluctuates; Galt direct is reliable.,buy,true,Looks like more puzzle for the money — good unisex gift under £7.,"If you already own Galt farm 4-in-a-box from an older child, move to jungle/vehicles variant or Orchard theme instead.",Not suitable under 36 months.,,,Galt Toys brand site,Fewer aggregated UK reviews than Ravensburger/Orchard; strong specialist-retailer presence.,good,galttoys.com SKU 1003913 | Amazon UK B0074HZZRU (alternate) | Multiple UK toy retailers listing 4-6-8-12 spec,good,Very common budget puzzle set on resale sites.,Ravensburger On The Farm My First — use 4–5 piece puzzles only (longlist rank 4),check_price,,Do not confuse with Galt Ocean 2–5 piece 18m+ line (longlist rank 13).
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_jigsaw_puzzles,First jigsaw puzzles,"Puzzles, matching and little plans",product_category,pick,4,4,4,Best for warm-up sessions,On The Farm — My First Jigsaw Puzzles,Ravensburger,Amazon UK,https://www.amazon.co.uk/Ravensburger-First-Puzzle-Jigsaw-Puzzles/dp/B008IZHSEA,https://www.ravensburger.co.uk/en-GB/products/jigsaw-puzzles/childrens-puzzles,,2026-07-21,in_stock,5.82,£5.82,GBP,2026-07-21,18 months+ (box); use 4–5 piece puzzles at 34–36m,"{""piece_count"":""Four puzzles: 2, 3, 4 and 5 pieces"",""dimensions"":""Small toddler puzzle format"",""materials"":""Extra-thick Ravensburger cardboard"",""included_items"":""Four separate farm-animal mini jigsaws"",""other"":""Progressive piece count in one box""}","Four farm mini-jigsaws in one box — two, three, four and five pieces. Extra-thick Ravensburger cardboard with bold animal pictures.","Box says 18m+ but at nearly three you want the four- and five-piece puzzles, not the two-piece warm-ups. Thick pieces survive repeated turning — good low-stakes practice before a 12-piece Orchard. Flag the age mark honestly in copy.",likely to be finishing short puzzles quickly and asking for a harder one from the same box,Excellent cardboard quality; massive Amazon review base; teaches turn-compare-try on 4–5 pieces before scaling up.,18m box mark fails freshness if marketed as new-stage buy — position as use the top two puzzles only. Two-piece puzzles are too easy for most 34–36m children.,buy,true,"Cheap, recognisable brand — fine as a stocking filler if recipient has no jigsaws yet.","If peg puzzles and 2-piece sets are already mastered, start on the 4–5 piece puzzles or skip to rank 1.",Standard small-parts guidance for youngest marked age.,4.7,6900,Amazon UK,Long-running UK favourite; multiple parent blogs corroborate thick-piece quality.,strong,Amazon UK B008IZHSEA | In The Playroom review | Mum of a Premature Baby review,good,Ubiquitous on resale — pieces hold up well.,Galt 4 in a Box Farm (longlist rank 3),check_age_fit,,Strong consensus signal across Amazon + multiple UK parent blogs for My First line.
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_jigsaw_puzzles,First jigsaw puzzles,"Puzzles, matching and little plans",product_category,pick,5,5,5,Best for wooden durability,Safari — 6 Piece Puzzles (3 puzzles),Bigjigs Toys,Bigjigs Toys,https://www.bigjigstoys.co.uk/products/safari-6-piece-puzzles-3-puzzles,,,2026-07-21,in_stock,5.99,£5.99,GBP,2026-07-21,2+,"{""piece_count"":""3 puzzles x 6 pieces"",""dimensions"":""15 x 11 cm each tray"",""materials"":""FSC-certified wood"",""included_items"":""Three separate safari scene boards"",""other"":""Real interlocking wooden pieces — not peg lift-out""}","Three wooden safari jigsaws, six pieces each, in separate trays. Chunky FSC wood pieces with bold scene pictures.","For parents who want something that survives being stepped on. Six pieces is enough to require a plan, but the small trays keep the picture visible. Good counterpoint to cardboard if you already own Orchard farm sets.",likely to be naming animals and retrying the same tray until they can do it without help,Real interlocking wood at 6 pieces; UK heritage brand; budget price; distinct material from cardboard picks.,Smaller completed size than Orchard 12-piece — less floor presence. Fewer aggregated online reviews than Amazon bestsellers.,buy,true,Compact wooden set — nice for families avoiding plastic; under £6.,Also available as Big Movers (vehicles) if safari animals are duplicated at home.,Conforms to current European safety standards per manufacturer.,,,Bigjigs Toys product page,Specialist wooden-toy retailers stock widely; Lipscore on Bigjigs site.,good,bigjigstoys.co.uk BJ818 | woodentoyshop.co.uk listing | timeless-toys.co.uk listing,good,Wood lasts — popular hand-me-down.,Bigjigs Big Movers 6-piece (longlist rank 10),none,,Wooden inset jigsaw — verify not peg puzzle when buying other Bigjigs lines.
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_jigsaw_puzzles,First jigsaw puzzles,"Puzzles, matching and little plans",product_category,backup,,6,,Best for jungle theme fans,First Jungle Friends Jigsaw Puzzles,Orchard Toys,Orchard Toys,https://www.orchardtoys.com/buy/first-jungle-friends-jigsaw-puzzles_496.htm,,,2026-07-21,in_stock,,£8.50,GBP,,2+,,,,,,Near-duplicate of rank 1 — pick one theme.,buy,true,,,,4.7,440,,,good,,,,,none,,
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_jigsaw_puzzles,First jigsaw puzzles,"Puzzles, matching and little plans",product_category,backup,,7,,Best for Ravensburger loyalists,Farm Animals 2x12 Jigsaw Puzzles,Ravensburger,Ravensburger UK,https://www.ravensburger.co.uk/en-GB/products/jigsaw-puzzles/childrens-puzzles/farm-animals-07590,,,2026-07-21,in_stock,,£5.99,GBP,,3+,,,,,,Very similar job to First Farm Friends.,buy,true,,,,4.8,834,,,good,,,,,none,,
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_jigsaw_puzzles,First jigsaw puzzles,"Puzzles, matching and little plans",product_category,backup,,8,,Best for picture-on-board wood,Safari Wooden Chunky Jigsaw Puzzle in a Box (4 x 5 pieces),Melissa & Doug,John Lewis,https://www.johnlewis.com/melissa-doug-dinosaur-jigsaw-puzzles-in-a-box/p110020400,,,2026-07-21,unknown,,£14.99 (Argos reference),GBP,,2+,,,,,,Higher price; verify safari vs dinosaur SKU in stock.,buy,true,,,,,,,,good,,,,,none,,
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_jigsaw_puzzles,First jigsaw puzzles,"Puzzles, matching and little plans",product_category,backup,,9,,Best for quick wins first,Rescue Squad Jigsaw Puzzle,Orchard Toys,Orchard Toys,https://www.orchardtoys.com/buy/rescue-squad-jigsaw-puzzle_66.htm,,,2026-07-21,in_stock,,£6.50,GBP,,2+,,,,,,May feel easy for confident nearly-threes.,buy,true,,,,4.7,800,,,good,,,,,none,,
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_jigsaw_puzzles,First jigsaw puzzles,"Puzzles, matching and little plans",product_category,backup,,10,,Best for wooden vehicle fans,Big Movers — 6 Piece Puzzles (3 puzzles),Bigjigs Toys,Bigjigs Toys,https://www.bigjigstoys.co.uk/products/big-movers-6-piece-puzzles-3-puzzles,,,2026-07-21,in_stock,,£5.99,GBP,,2+,,,,,,Same format as Safari — choose one theme.,buy,true,,,,,,,,good,,,,,none,,
