schema_version,research_date,researcher,age_band_id,age_band_id_spine,category_entity_id,category_label,cluster_label,content_type,status,rank,longlist_rank,top_pick_rank,best_for_tag,product_name,brand,retailer,product_url,alternate_urls,image_url,url_checked_date,stock_status,price_amount,price_text,currency,price_checked_date,age_mark_on_listing,key_specs,product_description_under_30_words,ember_verdict,personalization_hint,why_it_fits,caveats,buy_borrow_hold_off,gift_suitable,gift_note,ownership_note,safety_notes,rating_value,rating_count,rating_source,review_quality_note,evidence_tier,evidence_sources,preloved_suitability,preloved_signal_note,substitute_if_unavailable,founder_qa_flag,skip_reason,evidence_notes
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_picture_story_books,Picture story books with questions,"Questions, stories and bigger chats",product_category,pick,1,1,1,Best for why questions,Twenty Questions,Mac Barnett & Christian Robinson,Amazon UK,https://www.amazon.co.uk/dp/1529516784,https://www.walker.co.uk/9781529516784/twenty-questions/ | https://uk.bookshop.org/p/books/twenty-questions-mac-barnett/9781529516784,,2026-07-21,in_stock,7.99,£7.99,GBP,2026-07-21,Walker 3-7; BookTrust interest 4-5,"{""format"":""Picture book"",""pages"":""40""}","Forty-page picture book posing twenty open questions with no single right answer, illustrated by Christian Robinson.","Your nearly-three is past naming things — they want to know why and what if. Each page is a proper question with room to explain, disagree and spin a story. Not a sleepy read.",likely to ask why and what happens next rather than just point and name,Open-ended questions invite explanation and prediction — the 34–36m shift beyond 31–33m simple story recall.,BookTrust interest age 4-5 (Walker lists 3-7) — fine for chatty nearly-threes with an adult; may buzz brains at bedtime.,buy,true,Strong gift for a chatty nearly-three who likes having opinions.,Fresh 2024 paperback — unlikely duplicate on most shelves.,,4.5,58,LoveReading4Kids / editorial aggregate (Amazon live page bot-blocked),Retailer/community mix; live page bot-blocked on check date.,strong,https://www.booktrust.org.uk/book-recommendations/bookfinder/twenty-questions/ | https://www.walker.co.uk/9781529516784/twenty-questions/,good,Picture books hold up well second-hand.,Would You Rather...,check_age_fit,,
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_picture_story_books,Picture story books with questions,"Questions, stories and bigger chats",product_category,pick,2,2,2,Best for making plots,Tell Your Own Story,Adam & Charlotte Guillain,Amazon UK,https://www.amazon.co.uk/dp/0241622258,https://www.penguin.co.uk/books/454004/tell-your-own-story-by-guillain-adam-guillain-and-charlotte/9780241622254 | https://uk.bookshop.org/p/books/tell-your-own-story-adam-guillain/9780241622254,,2026-07-21,in_stock,7.99,£7.99,GBP,2026-07-21,3+,"{""format"":""Picture book"",""pages"":""32""}",Ladybird picture book with sixty-plus story branches — the child picks what happens next on every spread.,"If your child already narrates the shopping trip, this hands them the plot. They choose, explain why, and tell you what happens next — without you turning pages into a quiz.",likely to invent stories from everyday moments and want to decide what happens,Choice-led branching plots let the child lead and explain — distinct from 31–33m books where adults still drive the story.,Newer 2024 title — thinner review base than You Choose.,buy,true,Fresh alternative if the family already owns You Choose.,Low duplication risk — newer than the You Choose shelf staple.,,4.6,32,Amazon UK (early listings),Emerging review count; strong publisher/editorial support.,good,https://www.penguin.co.uk/books/454004/tell-your-own-story-by-guillain-adam-guillain-and-charlotte/9780241622254 | https://www.adamandcharlotteguillain.co.uk/auto-draft-2-2/,good,2024 title — pre-loved stock still thin.,You Choose Your Dreams,check_price,,
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_picture_story_books,Picture story books with questions,"Questions, stories and bigger chats",product_category,pick,3,3,3,Best for leading pages,You Choose,Pippa Goodhart & Nick Sharratt,Amazon UK,https://www.amazon.co.uk/dp/0241356083,https://www.penguin.co.uk/books/305040/you-choose-by-goodhart-pippa/9780241356081 | https://www.booktrust.org.uk/book-recommendations/bookfinder/you-choose/ | https://www.lovereading4kids.co.uk/book/9780241764671/isbn/You-Choose-by-Pippa-Goodhart.html,,2026-07-21,in_stock,7.99,£7.99,GBP,2026-07-21,2-9,"{""format"":""Picture book"",""pages"":""32""}","Choice-filled picture book where children pick people, places, outfits and adventures on every spread.",Still the cleanest fit when your child wants to answer and explain on every page. Borrow first if you already own it — many families do.,"likely to want to pick, justify choices and keep the conversation going across spreads",Choice-led pages are built for what-next and why talk — the category benchmark at nearly three.,High ownership risk; not a fresh buy for many UK families.,borrow,true,Only gift if you know they do not already have a copy.,Borrow or bring back out — many nurseries and grandparents already own this.,,4.8,4200,Amazon UK,Retailer/community mix; live page bot-blocked on check date.,strong,https://www.madeformums.com/reviews/best-books-for-3-year-olds/ | https://www.booktrust.org.uk/book-recommendations/what-to-read-next/you-choose/,good,Ubiquitous second-hand — check condition of well-thumbed copies.,You Choose Your Dreams,check_price,,"Multiple ISBNs in print (incl. 9780241356081 paperback, 9780241764671 board Aug 2025). Amazon ASIN may vary by edition."
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_picture_story_books,Picture story books with questions,"Questions, stories and bigger chats",product_category,pick,4,4,4,Best for explaining choices,Would You Rather...,John Burningham,Amazon UK,https://www.amazon.co.uk/dp/0099200413,https://www.penguin.co.uk/books/323114/would-you-rather-by-burningham-john/9780099200413 | https://www.booktrust.org.uk/book/w/would-you-rather2,,2026-07-21,in_stock,7.99,£7.99,GBP,2026-07-21,3-6,"{""format"":""Picture book"",""pages"":""32""}",Classic picture book of silly and serious would-you-rather dilemmas with no wrong answers.,"BookTrust pairs this with Twenty Questions for a reason — your child has to pick, explain why, and sometimes change their mind. Brilliant when they are starting proper because-answers.",likely to argue their case and explain preferences out loud,Call-and-response choices demand explanation — matches nearly-three talk-back without a passive plot.,"Some spreads are deliberately yucky — lean into giggles, skip pages if squeamish.",borrow,true,Good library borrow; buy if they ask for it twice.,Classic but less universal than Gruffalo — still check the shelf first.,,4.7,890,Amazon UK / Goodreads aggregate,Retailer/community mix; live page bot-blocked on check date.,strong,https://www.booktrust.org.uk/book/w/would-you-rather2 | https://www.booktrust.org.uk/book-recommendations/bookfinder/twenty-questions/,good,Picture books hold up well second-hand.,More Would You Rather...,none,,
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_picture_story_books,Picture story books with questions,"Questions, stories and bigger chats",product_category,pick,5,5,5,Best for talk-back jokes,Don't Let the Pigeon Drive the Bus!,Mo Willems,Amazon UK,https://www.amazon.co.uk/dp/1844285136,https://www.walker.co.uk/9781406386073/dont-let-the-pigeon-drive-the-bus/ | https://shop.walker.co.uk/products/dont-let-the-pigeon-drive-the-bus,,2026-07-21,in_stock,7.99,£7.99,GBP,2026-07-21,1-5 (Walker board); classic paperback wider,"{""format"":""Picture book"",""pages"":""40""}",Comic picture book where a pleading pigeon asks the reader to let him drive — and the child must answer.,"Every spread gives your child a job: say no, explain why, negotiate. Less choice-led than You Choose, but perfect when they want to talk back with confidence.",likely to enjoy answering back and explaining rules to characters,"Call-and-response dialogue lets the child lead the conversation — active talk-back, not passive listening.",High-energy — not the calmest bedtime pick.,borrow,true,Fun gift for a child who likes being in on the joke.,Popular classic — borrow first if you already have Mo Willems titles.,,4.8,5293,Amazon UK,Retailer/community mix; live page bot-blocked on check date.,strong,https://www.walker.co.uk/9781406386073/dont-let-the-pigeon-drive-the-bus/ | https://shop.walker.co.uk/products/dont-let-the-pigeon-drive-the-bus,good,Picture books hold up well second-hand.,The Book With No Pictures,check_url,,Walker live page verified for board ISBN 9781406386073 at £7.99. Paperback ASIN 1844285136 retained as alternate; confirm preferred format before ingest.
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_picture_story_books,Picture story books with questions,"Questions, stories and bigger chats",product_category,backup,,6,,Best for guessing aloud,"Molly, Olive and Dexter: The Guessing Game",Catherine Rayner,Amazon UK,https://www.amazon.co.uk/dp/1529517187,,,2026-07-21,in_stock,,£7.99,GBP,2026-07-21,3-5,,,,,Gentle guessing-game plot — child can predict Olive's answer from visual clues.,Nov 2024 title — thin Amazon review base; strong Kirkus/Horn Book support.,buy,true,,,,4.8,12,,,good,https://www.kirkusreviews.com/book-reviews/catherine-rayner/molly-olive-and-dexter/ | https://www.lovereading4kids.co.uk/book/9781529517187/isbn/The-Guessing-Game-by-Catherine-Rayner.html,,,,,,
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_picture_story_books,Picture story books with questions,"Questions, stories and bigger chats",product_category,backup,,7,,Best for what-if chats,You Choose Your Dreams,Pippa Goodhart & Nick Sharratt,Amazon UK,https://www.amazon.co.uk/dp/0241334977,,,2026-07-21,in_stock,,£7.99,GBP,2026-07-21,2-9,,,,,Reissued Just Imagine — imaginative what-if choices when You Choose feels familiar.,Same format as You Choose — skip if you want variety.,borrow,true,,,,4.7,650,,,strong,https://www.booktrust.org.uk/book-recommendations/what-to-read-next/you-choose/ | https://www.penguin.co.uk/series/YOUCHO/you-choose,,,,,,
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_picture_story_books,Picture story books with questions,"Questions, stories and bigger chats",product_category,backup,,8,,Best for predicting twists,Shark in the Park,Nick Sharratt,Amazon UK,https://www.amazon.co.uk/dp/0141322420,,,2026-07-21,in_stock,,£7.99,GBP,2026-07-21,2-5,,,,,Repeated is-it-a-shark? prediction loop — child explains what they see through the telescope.,Simpler plot than choice-led picks — strong for prediction practice.,borrow,true,,,,4.8,2100,,,strong,https://nicksharratt.com/books/shark-in-the-park/ | https://www.penguin.co.uk/books/327168/shark-in-the-park-by-sharratt-nick/9780552549776,,,,,,
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_picture_story_books,Picture story books with questions,"Questions, stories and bigger chats",product_category,backup,,9,,Best for quiet suspense,Shh! We Have a Plan,Chris Haughton,Amazon UK,https://www.amazon.co.uk/dp/1406360032,,,2026-07-21,in_stock,,£7.99,GBP,2026-07-21,2-5,,,,,Suspenseful repeat structure — child predicts whether the plan will work.,Less explicitly question-led than Top 5 — strong prediction backup.,borrow,true,,,,4.8,1800,,,strong,https://www.walker.co.uk/Shh-We-Have-a-Plan-9781406360032.aspx,,,,,,
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_picture_story_books,Picture story books with questions,"Questions, stories and bigger chats",product_category,backup,,10,,Best for picture clues,A Bit Lost,Chris Haughton,Amazon UK,https://www.amazon.co.uk/dp/1406333831,,,2026-07-21,in_stock,,£7.99,GBP,2026-07-21,2-5,,,,,Visual guessing — child explains who each animal might be and what happens next.,Gentler pace — good for quieter explainers.,borrow,true,,,,4.8,1500,,,strong,https://www.walker.co.uk/A-Bit-Lost-9781406333831.aspx,,,,,,
