schema_version,research_date,researcher,age_band_id,age_band_id_spine,category_entity_id,category_label,cluster_label,content_type,status,rank,longlist_rank,top_pick_rank,best_for_tag,product_name,brand,retailer,product_url,alternate_urls,image_url,url_checked_date,stock_status,price_amount,price_text,currency,price_checked_date,age_mark_on_listing,key_specs,product_description_under_30_words,ember_verdict,personalization_hint,why_it_fits,caveats,buy_borrow_hold_off,gift_suitable,gift_note,ownership_note,safety_notes,rating_value,rating_count,rating_source,review_quality_note,evidence_tier,evidence_sources,preloved_suitability,preloved_signal_note,substitute_if_unavailable,founder_qa_flag,skip_reason,evidence_notes
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_small_world_figures,Small-world people and vehicles,"Pretend play with people, places and feelings",product_category,pick,1,1,,Best for bus-route stories,Happyland London Bus Playset,Early Learning Centre,The Entertainer,https://www.thetoyshop.com/shop-by-age/2-3-years/Happyland-London-Bus-Playset/p/549251,https://www.elc.co.uk/shop-by-age/2-3-years/Happyland-London-Bus-Playset/p/549251,,2026-07-21,low_stock,23.99,£23.99,GBP,2026-07-21,2–5 years,"{""piece_count"":""1 bus, 3 figures, 1 bus stop"",""dimensions"":""19.5 x 12.5 x 21 cm"",""materials"":""Chunky plastic figures and bus"",""included_items"":""London bus with sounds, three passengers, bus stop sign"",""other"":""Requires 2 x AA batteries (included); top deck removes for loading""}",Chunky Happyland double-decker bus with three passenger figures and a bus-stop sign. Push-button sounds; top deck lifts off so children load people before driving the route.,"At nearly three, Lily is less interested in holding a doll and more in running a trip: people board, the bus moves, someone gets off. This is the simplest whole-journey starter in the UK Happyland tier — no kitchen duplication, just passengers, a stop and a vehicle. Strong gift if you want a recognisable London scene without a huge box.","likely to be lining up figures, opening doors and narrating where each passenger is going","Matches the brief’s whole-scene shift with people plus vehicle plus place prop, in the Happyland tier named in what_to_look_for.",Listing showed reduced price but intermittent out-of-stock at Entertainer/ELC on check date; combine with any Happyland pieces already at home rather than replacing them.,buy,true,"Easy wrap-size gift that reads as a proper toy, not a filler piece — especially for families without transport-themed small-world yet.",Adds a transport theme; does not replace a play kitchen or doll-care set already owned.,Remove packaging before play. Small parts within age mark; supervise battery compartment.,,,Retailer page — no aggregate rating visible on check date; Netmums community praise for Happyland durability,Strong community durability signal; retailer star rating not captured on 2026-07-21.,good,The Entertainer product listing | ELC product listing | Netmums Happyland community threads,good,Happyland vehicles common on eBay/Vinted; check sounds and battery compartment.,LEGO DUPLO The Bus Ride 10988,check_stock,,Consensus: multiple Netmums threads independently praise Happyland for imaginative vehicle play and durability.
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_small_world_figures,Small-world people and vehicles,"Pretend play with people, places and feelings",product_category,pick,2,2,,Best for rescue help,LEGO DUPLO Ambulance & Driver,LEGO,John Lewis,https://www.johnlewis.com/lego-duplo-ambulance-driver-toddler-learning-toys-10447/p112772613,https://www.lego.com/en-gb/product/ambulance-hospital-10447,,2026-07-21,in_stock,17.99,£17.99,GBP,2026-07-21,2+ years,"{""piece_count"":""19"",""dimensions"":""Ambulance approx. 10 x 14 x 7 cm"",""materials"":""DUPLO bricks and figures"",""included_items"":""Buildable ambulance, driver figure, patient figure, traffic light and small house build; emotion play wheel"",""other"":""Opening roof and reclined bed inside ambulance""}","Nineteen-piece DUPLO set with a drivable ambulance, driver and patient figures, a traffic light and small house. Roof opens to lay the patient on a reclined bed inside.","This is the help-and-return story in brick form: someone is unwell, they get in, the ambulance goes, they are looked after. Different from doll bathing at 31–33m and from kitchen copying — it is a full mini emergency arc in a small box. DUPLO-sturdy and easy to combine with any road or block landscape already on the floor.","likely to be acting out someone needing help, putting figures in vehicles and repeating go-and-come-back sequences","Delivers people, vehicle and place props for a complete scenario with feelings baked in (patient/driver), at DUPLO scale for nearly-three hands.",No lights or siren — some parents expect sound like other DUPLO emergency sets; emotion wheel is paper/card — keep dry.,buy,true,Reads as thoughtful rather than loud — good for grandparents who want a compact LEGO gift with a clear play idea.,Adds an emergency/rescue theme without needing a larger hospital or fire station base.,Age 2+; standard DUPLO size suitable for stated age band.,5,,John Lewis product reviews,John Lewis shows 5.0 average on check date; review count not displayed. M&S listing shows 13 reviews at 4.4 with mixed sound-feature expectations.,good,John Lewis listing | LEGO.com/en-gb product page | M&S customer reviews,good,DUPLO sets hold up well second-hand; verify all figures and bed brick present.,Happyland Lights and Sounds Ambulance,check_claim,,Brick price trackers corroborate wide UK availability around RRP £17.99.
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_small_world_figures,Small-world people and vehicles,"Pretend play with people, places and feelings",product_category,pick,3,3,,Best for work-site trips,LEGO DUPLO Town 3-in-1 Construction Vehicles,LEGO,John Lewis,https://www.johnlewis.com/lego-duplo-town-10475-construction-vehicles-3-in-1-learning-toy/p114651075,https://www.lego.com/en-gb/product/3-in-1-construction-vehicles-10475,,2026-07-21,in_stock,13.99,£13.99,GBP,2026-07-21,2+ years,"{""piece_count"":""22"",""dimensions"":""Excavator build approx. 11 x 22 x 7 cm"",""materials"":""DUPLO bricks and figures"",""included_items"":""Two construction worker figures; bricks rebuild into six vehicle configurations (pairs of loader, dumper, digger, tow trucks, scissor lift)"",""other"":""Push-along vehicles; no batteries""}","Twenty-two DUPLO bricks and two builder figures rebuild into six construction vehicles such as a loader, dumper and digger. Push-along wheels; no batteries.","Workers arrive, load up, drive off, swap vehicles — a whole shift in miniature. The rebuild hook keeps nearly-three children returning to the same box instead of needing another huge set. Sturdy DUPLO, widely stocked, and deliberately not a play kitchen or doll prop.","likely to be driving vehicles in lines, loading bricks and repeating there-and-back journeys with sound effects",People plus multiple vehicles plus open-ended destination play; compact DUPLO tier named in brief.,Rebuild options need adult patience at first; not a fixed building/base — child supplies the destination.,buy,true,Strong budget-to-mid gift with clear boy/girl-neutral appeal for vehicle-lovers.,Adds construction crew and vehicles without duplicating kitchen or farm bases.,Age 2+ DUPLO standard.,4.9,,John Lewis product reviews,John Lewis 4.9 average on check date; Target US listing shows 4.85 from 26 reviews as secondary corroboration.,strong,John Lewis listing | LEGO.com/en-gb | Brick Sleuth UK price tracker,good,Common pre-loved DUPLO set; check both worker figures.,Happyland Lights and Sounds Farm Tractor,none,,Multi-retailer UK availability with strong retailer rating.
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_small_world_figures,Small-world people and vehicles,"Pretend play with people, places and feelings",product_category,pick,4,4,,Best for carry-along visits,PLAYMOBIL JUNIOR My Take Along Noah's Ark,Playmobil,Argos,https://www.argos.co.uk/product/3265426,https://www.playmobil.com/en-gb/junior:-my-take-along-noahs-ark/71681.html,,2026-07-21,in_stock,18,£18.00,GBP,2026-07-21,1.5+ / listing also states 3+ warning on box,"{""piece_count"":""Ark with ramp, Noah figure, multiple animals"",""dimensions"":""Approx. 22.5 x 32.5 x 20 cm"",""materials"":""Large rounded Playmobil 1.2.3/Junior plastics"",""included_items"":""Take-along ark with handle, ramp, Noah and animal figures"",""other"":""Stores pieces inside; floats per brand (dry play recommended)""}","Playmobil Junior carry-case ark with handle, ramp, Noah figure and chunky animal figures. Pieces store inside for travel to grandparents or nursery.","Whole-scene play that packs away — animals board, the ark moves, they arrive somewhere new. Playmobil 1.2.3 scale is made for nearly-three hands and survives real travel. Different buying factor from bus or ambulance: portability for visits, not a new room-sized world.","likely to be carrying a closed box between rooms and acting out boarding, sailing and arriving stories",Open-ended people-and-place scenario in Playmobil 1.2.3 tier; supports journey-and-return play away from home.,"Clips stiff for small hands; if used wet, drain and dry thoroughly to avoid mould in hollow animal legs.",buy,true,Excellent grandparent or travel gift — the handle makes the purpose obvious on the shelf.,Adds a portable scene; complements rather than replaces Happyland or DUPLO road pieces.,Large parts; follow dry-play guidance if avoiding water.,4.875,16,Argos customer reviews,Argos 4.875/5 from 16 reviews; 94% recommend.,strong,Argos listing | Playmobil.com/en-gb | Netmums Playmobil 1.2.3 product trial,good,Playmobil 1.2.3 holds up for resale; verify all animals and latch.,Playmobil 1.2.3 My Take Along Farm,check_age_fit,,Age mark mixed on listing (1.5+ product line vs 3+ warning); suitable for brief band but flag for copy.
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_small_world_figures,Small-world people and vehicles,"Pretend play with people, places and feelings",product_category,pick,5,5,,Best for loading journeys,Happyland Lights and Sounds Farm Tractor Playset,Early Learning Centre,Early Learning Centre,https://www.elc.co.uk/shop-by-age/2-3-years/Happyland-Lights-and-Sounds-Farm-Tractor-Playset/p/540437,https://www.thetoyshop.com/shop-by-age/2-3-years/Happyland-Lights-and-Sounds-Farm-Tractor-Playset/p/540437,,2026-07-21,in_stock,30,£30.00,GBP,2026-07-21,2–5 years,"{""piece_count"":""Tractor, trailer, farmer, cow"",""dimensions"":""16 x 32.5 x 15 cm"",""materials"":""Chunky Happyland plastic"",""included_items"":""Lights-and-sounds tractor with trailer, ramp, farmer figure and cow"",""other"":""Requires 2 x AA batteries (included)""}","Happyland tractor and trailer with lowering ramp, farmer and cow figures. Chimney button triggers lights, sounds and phrases for loading and driving to the fields.","Load the cow, hitch the trailer, drive somewhere, unload — a full there-and-back farm run without buying a whole farmyard base. Sits above single-action kitchen stirring: it is about moving someone somewhere. Pairs with any existing animals or blocks as the destination.","likely to be loading figures into vehicles, making engine noises and repeating the same route across the floor",People plus vehicle plus prop with a clear go-somewhere narrative; sturdy Happyland tier for nearly-three scenario play.,Higher price than compact DUPLO picks; sounds may grate — batteries can be removed once the story hook lands.,buy,true,Works well when the family already has farm books or animal figures but no farm vehicle yet.,Adds farm transport — skip if you already own a Happyland farm base with tractor; otherwise fills a gap.,Remove packaging; supervise battery compartment.,,,ELC listing — no aggregate rating on check date,Netmums Happyland durability praise; no star count captured on ELC page.,good,ELC product listing | The Entertainer listing | Netmums Happyland threads,good,Check trailer hitch and sound function on pre-loved units.,LEGO DUPLO 3-in-1 Construction Vehicles,check_price,,"Cross-band guard: farm transport journey, not static farm/kitchen duplication."
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_small_world_figures,Small-world people and vehicles,"Pretend play with people, places and feelings",product_category,backup,,6,,Best for tight budgets,Happyland Toy Shop Van,Early Learning Centre,Early Learning Centre,https://www.elc.co.uk/shop-by-age/1-2-years/Happyland-Toy-Shop-Van/p/553059,,,2026-07-21,in_stock,,£5.00,GBP,,18 months–4 years,,,,,,,buy,true,,,,,,,,good,,,,,,,
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_small_world_figures,Small-world people and vehicles,"Pretend play with people, places and feelings",product_category,backup,,7,,Best for nursery runs,LEGO DUPLO The Bus Ride,LEGO,Early Learning Centre,https://www.elc.co.uk/construction-toys/building-bricks/LEGO-DUPLO-The-Bus-Ride-Playset-10988/p/564734,,,2026-07-21,in_stock,,£14.40,GBP,,2–5 years,,,,,,,buy,true,,,,,,,,good,,,,,,,
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_small_world_figures,Small-world people and vehicles,"Pretend play with people, places and feelings",product_category,backup,,8,,Best for siren lovers,Happyland Lights and Sounds Ambulance,Early Learning Centre,Early Learning Centre,https://www.elc.co.uk/shop-by-age/2-3-years/Happyland-Lights-and-Sounds-Ambulance/p/540439,,,2026-07-21,in_stock,,Price not captured,GBP,,2–5 years,,,,,,,buy,true,,,,,,,,good,,,,,,,
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_small_world_figures,Small-world people and vehicles,"Pretend play with people, places and feelings",product_category,backup,,9,,Best for farm visits,Playmobil 1.2.3 My Take Along Farm,Playmobil,The Toy Room,https://www.thetoyroom.co.uk/products/playmobil-farm-with-sorting,,,2026-07-21,out_of_stock,,£39.99,GBP,,18 months+,,,,,,,buy,true,,,,,,,,good,,,,,,,
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_small_world_figures,Small-world people and vehicles,"Pretend play with people, places and feelings",product_category,backup,,10,,Best for wooden buses,Toy London Bus (Lottie),Jaques of London,Jaques of London,https://www.jaqueslondon.co.uk/products/london-bus,,,2026-07-21,in_stock,,£36.55,GBP,,1+ years (brand); 3+ on some stockists,,,,,,,buy,true,,,,,,,,good,,,,,,,
