schema_version,research_date,researcher,age_band_id,age_band_id_spine,category_entity_id,category_label,cluster_label,content_type,status,rank,longlist_rank,top_pick_rank,best_for_tag,product_name,brand,retailer,product_url,alternate_urls,image_url,url_checked_date,stock_status,price_amount,price_text,currency,price_checked_date,age_mark_on_listing,key_specs,product_description_under_30_words,ember_verdict,personalization_hint,why_it_fits,caveats,buy_borrow_hold_off,gift_suitable,gift_note,ownership_note,safety_notes,rating_value,rating_count,rating_source,review_quality_note,evidence_tier,evidence_sources,preloved_suitability,preloved_signal_note,substitute_if_unavailable,founder_qa_flag,skip_reason,evidence_notes
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_threading_beads,Threading beads and chunky lacing,"Threading, snipping, drawing and dressing hands",product_category,pick,1,1,1,Best for copying patterns,Beads and Pattern Cards Activity Set,Learning Resources,WordUnited,https://wordunited.com/product/learning-resources-beads-pattern-card-threding-lacing/,https://www.learningresources.com/item-beads-pattern-cards-set | https://www.primaryict.co.uk/pr8280/beads-pattern-card-set-set-of-130-pieces-ler0139,,2026-07-21,low_stock,28.99,£28.99,GBP,2026-07-21,3 years+,"{""piece_count"":""108 hardwood beads, 20 pattern cards, 2 laces"",""dimensions"":""Beads 2–2.5 cm; cards 11 x 29 cm"",""materials"":""Hardwood beads, plastic-tipped laces"",""included_items"":""108 beads, 20 double-sided activity cards, 2 x 92 cm laces, teaching notes"",""other"":""LER0139""}","108 colourful hardwood beads in spheres, cubes and cylinders, with 20 pattern cards and two long tipped laces for supervised threading and sequence copying.","At nearly three, hands want a job, not just posting. The pattern cards turn lacing into copy-the-sequence play — the shift from grab-and-post to neater control. Beads are chunky hardwood, not jewellery size, but still 3+ small parts: sit together, keep cords short.",likely to be copying simple colour or shape sequences and wanting a finished row to show you,Only mainstream pick that directly supports copy-shapes threading at this stage; language-free cards suit independent table play.,Beads are the smaller end of chunky (about 2 cm). Long laces need adult supervision. Stock varies at UK specialists.,buy,true,"Strong gift if parents want guided pattern play, not just loose beads.",Skip if you already own a plain bead crate — add pattern cards separately only if you will use them.,3+ only. Small parts and long cords — supervise threading; store laces out of reach when not in use.,,,Specialist retailer listing; brand spec verified,Widely stocked in UK nurseries and OT suppliers; fewer mass-market Amazon reviews than Melissa & Doug.,good,WordUnited product page | Learning Resources brand page | Primary ICT spec sheet,good,Common in nursery clear-outs; check bead count and card condition.,TTS Giant Threading Beads and Pattern Cards,none,,Bead size and 3+ warning confirmed on UK educational retailer pages.
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_threading_beads,Threading beads and chunky lacing,"Threading, snipping, drawing and dressing hands",product_category,pick,2,2,2,Best for most families,Primary Lacing Beads,Melissa & Doug,Argos,https://www.argos.co.uk/product/7519288,https://www.amazon.co.uk/dp/B00272N8L2 | https://www.johnlewis.com/melissa-doug-lacing-beads-in-a-box/p1783073,,2026-07-21,in_stock,12.99,£12.99,GBP,2026-07-21,3 years+,"{""piece_count"":""30 wooden beads, 2 laces, storage case"",""dimensions"":""Pack approx. H34 x W29 x D9.5 cm"",""materials"":""Wood, cord laces"",""included_items"":""30 hand-painted beads in five shapes, two laces, wooden case"",""other"":""SKU 7519288""}","Thirty chunky hand-painted wooden beads in five shapes, two long laces and a wooden storage case. Mainstream 3+ threading set for home play.","The reliable baseline if you want one bead set and no faff. Beads are properly graspable — a step up from posting toys, without jumping to tiny craft beads. Borrow first if a crate already lives at grandparent's; buy new if this is your first supervised lacing kit.","likely to be making colour lines, simple necklaces and wanting you to watch the finished string","Widest UK availability, strong review proof, and bead size matches chunky 3+ brief.",Paint can chip with heavy chewing; storage case is flimsier than the beads.,buy,true,"Easy wrap, recognised brand — safe default gift.",Very common duplicate; check toy box before buying.,Not suitable under 3. Choking hazard — supervise and keep away from younger siblings.,4.7,20799,Amazon UK,"Huge UK review base; themes praise grip size, flag occasional paint wear.",strong,Argos listing | Amazon UK reviews | John Lewis variant listing,good,Abundant on Vinted/eBay; sanitise and check for chipped paint.,Jaques of London Let's Play Threading Beads,none,,Age 3+ and choking warning on Argos and Amazon.
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_threading_beads,Threading beads and chunky lacing,"Threading, snipping, drawing and dressing hands",product_category,pick,3,3,3,Best for sibling play,Crate of Lacing Beads,Bigjigs Toys,Bigjigs Toys,https://www.bigjigstoys.co.uk/products/crate-of-lacing-beads,https://www.amazon.co.uk/dp/B07F2RSD7S,,2026-07-21,in_stock,18.99,£18.99,GBP,2026-07-21,3 years+,"{""piece_count"":""90 beads, 6 tipped laces"",""dimensions"":""Crate W13 x H12 x L13 cm"",""materials"":""FSC-certified wood, child-safe paints"",""included_items"":""90 multicolour beads, 6 aglet-tipped laces, wooden crate"",""other"":""BJ662""}",Ninety colourful wooden beads with six tipped laces in a wooden storage crate. High piece count for pattern-making and shared table play.,"More beads, more repetition — useful when a nearly-three wants to build longer strings or a sibling joins in. Tipped laces reduce the fiddly end that derails focus. Wooden crate keeps pieces contained after supervised sessions.",likely to be threading longer colour runs and returning to the activity across the week,Best value piece-count for sustained lacing without tiny jewellery beads.,Beads are slightly smaller than Melissa & Doug primary beads; still 3+ supervised.,buy,true,Feels generous because of the crate and volume — good for shared households.,Overkill if you only need a small travel set.,3+ small parts. Six laces mean extra cord supervision — shorten or remove when not playing.,4.4,864,Amazon UK,Solid UK volume; parents note tipped laces and storage crate.,strong,Bigjigs brand page | Amazon UK reviews | Trolley.co.uk price compare,good,Wooden sets hold up well pre-loved.,Bigjigs Jar of Lacing Beads,none,,3+ and European safety standards stated on brand page.
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_threading_beads,Threading beads and chunky lacing,"Threading, snipping, drawing and dressing hands",product_category,pick,4,4,4,Best for gifting,Let's Play Threading Beads,Jaques of London,Jaques of London,https://www.jaqueslondon.co.uk/products/lets-play-threading-beads,https://www.amazon.co.uk/dp/B07NQK3PZH,,2026-07-21,in_stock,14.6,£14.60,GBP,2026-07-21,3 years+,"{""piece_count"":""30 wooden beads, laces, sliding-lid box"",""dimensions"":""Box approx. 17 x 7.6 x 9.2 cm packaged"",""materials"":""Solid wood, water-based paints"",""included_items"":""Assorted shape beads, threading strings, wooden storage box"",""other"":""30 beads, 6 colours""}",Thirty smooth wooden beads in soft colours with sturdy laces and a sliding-lid wooden box. Gift-ready UK wooden threading set for ages 3+.,"If the brief is a present that still earns its place, this beats a plastic jewellery tin. Chunky beads suit neater threading practice; the box makes it easy to bring back out on the kitchen table. Check bead holes on arrival — a few UK reviews mention rough interiors.","likely to be sorting by colour first, then threading short runs with pride in the finished string",Gift presentation plus genuinely usable chunky beads; matches 34–36m control shift.,Occasional rough internal holes; worth a quick sand if threading sticks.,buy,true,"Ribboned Jaques packaging reads as intentional gift, not filler.",Functionally similar to Melissa & Doug — don't double up unless gifting.,3+ small parts. Supervise; keep away from babies in the room.,4.6,645,Amazon UK,UK reviews praise presentation and bead size; note occasional rough holes.,good,Jaques product page | Amazon UK reviews,possible,Less common than Melissa & Doug but box helps resale.,Melissa & Doug Primary Lacing Beads,none,,3+ warning on brand and Amazon listings.
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_threading_beads,Threading beads and chunky lacing,"Threading, snipping, drawing and dressing hands",product_category,pick,5,5,5,Best for travel lacing,First Lacing Pictures,Galt,Galt Toys,https://www.galttoys.com/products/first-lacing-pictures,https://www.austins-uk.com/games-puzzles-pre-school/galt-first-lacing-pictures-1004588/,,2026-07-21,in_stock,7.99,£7.99,GBP,2026-07-21,3 years+,"{""piece_count"":""6 board pictures, 8 chunky laces"",""dimensions"":""Pictures approx. 20 x 20 cm"",""materials"":""Sturdy board, chunky plastic laces"",""included_items"":""6 animal lacing boards, 8 coloured laces, play guide"",""other"":""BH-100""}",Six sturdy animal board pictures with pre-cut holes and eight chunky coloured laces. Flat 3+ lacing activity for table or travel.,"Not every child wants loose beads first. These boards give the same neat-hand challenge — follow holes, pull the lace through — without a carpet full of rollers. Ideal alongside a bead set, or on its own for café/table play.",likely to be finishing a whole picture and wanting to show the laced animal,Chunky lacing with zero tiny beads; supports neater control and supervised 3+ play.,Laces are consumable — they tangle and wear; not a necklace-making set.,buy,true,Budget-friendly add-on gift or stocking filler that still fits the brief.,Different format from bead crates — complements rather than duplicates.,Not suitable under 36 months. Supervise laces; keep away from younger siblings.,,,Galt brand page,Long-running Galt SKU; fewer aggregated ratings than bead sets.,good,Galt Toys UK product page | Austins UK retailer listing,possible,Boards survive; check lace condition.,Melissa & Doug Lace & Trace Pets,none,,3 years+ and under-36-months warning on Galt page.
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_threading_beads,Threading beads and chunky lacing,"Threading, snipping, drawing and dressing hands",product_category,backup,,6,,Best for counting practice,Lacing Beads in a Box,Melissa & Doug,John Lewis,https://www.johnlewis.com/melissa-doug-lacing-beads-in-a-box/p1783073,,,2026-07-21,in_stock,,£13.49,GBP,2026-07-21,3 years+,,,,,Numbered 1–10 beads add counting to threading; same chunky format as Primary set.,Near-duplicate of Primary set if you do not need numerals.,buy,true,,,,4.8,33,,,strong,,,,,none,,
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_threading_beads,Threading beads and chunky lacing,"Threading, snipping, drawing and dressing hands",product_category,backup,,7,,Best for stack-and-lace,Rainbow Lacing Shapes,Hape,Hape UK,https://uk.hape.com/rainbow-lacing-shapes-e1019,,,2026-07-21,in_stock,,£24.99,GBP,2026-07-21,3 years+,,,,,32 wooden blocks lace or stack — shape sorting plus threading.,Premium price; long cord warning on pack.,buy,true,,,,4.5,103,,,good,,,,,none,,
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_threading_beads,Threading beads and chunky lacing,"Threading, snipping, drawing and dressing hands",product_category,backup,,8,,Best for tight budgets,Fun Buttons Threading Set,Galt,WordUnited,https://wordunited.com/product/galt-toys-fun-buttons-threading-lacing-buttons/,,,2026-07-21,out_of_stock,,£5.99,GBP,2026-07-21,3 years+,,,,,40 chunky plastic buttons with multiple hole patterns — threading plus sorting.,Plastic not wood; single lace in box.,buy,true,,,,,,,,good,,,,,none,,
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_threading_beads,Threading beads and chunky lacing,"Threading, snipping, drawing and dressing hands",product_category,backup,,9,,Best for eco buyers,Lacing Beads,PlanToys,Amazon UK,https://www.amazon.co.uk/dp/B0001VUNVE,,,2026-07-21,in_stock,,£19.99,GBP,2026-07-21,3 years+,,,,,Eco rubberwood set with 30 beads and two laces; sustainable alternative.,Fewer UK high-street stockists than Melissa & Doug.,buy,true,,,,4.2,318,,,good,,,,,none,,
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_threading_beads,Threading beads and chunky lacing,"Threading, snipping, drawing and dressing hands",product_category,backup,,10,,Best for animal lovers,Lace & Trace Pets,Melissa & Doug,Learning Space UK,https://learningspaceuk.co.uk/products/lace-and-trace-activity-set-pets-helps-to-develop-dexterity-and-co-ordination,,,2026-07-21,out_of_stock,,£9.99,GBP,2026-07-21,3 years+,,,,,Five double-sided wooden animal boards with colour-matched laces.,Board lacing not loose beads; stock patchy at UK retailers.,buy,true,,,,,,,,good,,,,,none,,
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_threading_beads,Threading beads and chunky lacing,"Threading, snipping, drawing and dressing hands",product_category,backup,,11,,Best for jumbo beads,Giant Threading Beads and Pattern Cards,TTS,TTS Group,https://www.tts-group.co.uk/giant-threading-beads-and-pattern-cards/1021469.html,,,2026-07-21,in_stock,,£42.99,GBP,2026-07-21,3–7 years,,,,,"68 jumbo beads, 10 laces and 16 pattern cards — nursery-scale pattern copying.",Nursery price and bulk; overkill for most homes.,borrow,false,,,,,,,,good,,,,,none,,
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_threading_beads,Threading beads and chunky lacing,"Threading, snipping, drawing and dressing hands",product_category,backup,,12,,Best for compact kits,Spring Lacing & Threading Blocks,Hape,WordUnited,https://wordunited.com/product/hape-lacing-threading-spring-cubes/,,,2026-07-21,in_stock,,£7.49,GBP,2026-07-21,3 years+,,,,,12 pastel wooden cubes on one string — compact travel threading.,Small set; limited pattern challenge.,buy,true,,,,,,,,emerging,,,,,none,,
