schema_version,research_date,researcher,age_band_id,age_band_id_spine,category_entity_id,category_label,cluster_label,content_type,status,rank,longlist_rank,top_pick_rank,best_for_tag,product_name,brand,retailer,product_url,alternate_urls,image_url,url_checked_date,stock_status,price_amount,price_text,currency,price_checked_date,age_mark_on_listing,key_specs,product_description_under_30_words,ember_verdict,personalization_hint,why_it_fits,caveats,buy_borrow_hold_off,gift_suitable,gift_note,ownership_note,safety_notes,rating_value,rating_count,rating_source,review_quality_note,evidence_tier,evidence_sources,preloved_suitability,preloved_signal_note,substitute_if_unavailable,founder_qa_flag,skip_reason,evidence_notes
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_visual_routine_cards,Visual routine cards and timers,"Real jobs, routines and self-care",product_category,pick,1,1,1,Best for whole-day routines,Visual Timetable for Children,Create Visual Aids,Create Visual Aids,https://www.createvisualaids.co.uk/products/visual-timetable-for-children,https://www.amazon.co.uk/Create-Visual-Aids-communication-transition/dp/B093YJ5RL6,,2026-07-21,in_stock,15.95,£15.95,GBP,2026-07-21,All ages; designed for children,"{""piece_count"":""35 picture cards, 2 A4 backing boards"",""dimensions"":""Cards approx. 6 x 5.5 cm; boards A4 length"",""materials"":""Water-resistant plastic cards, foamex boards, VELCRO Brand fasteners"",""included_items"":""35 home routine symbols, 2 display boards, hook-and-loop attached"",""other"":""Shows up to 10 cards at once""}",Thirty-five durable home-routine picture cards with two A4 backing boards and Velcro fasteners. Displays up to ten steps of the day at once.,"If photos on the fridge have not stuck, this is the grown-up version — same idea, less DIY faff. At nearly three, independence wants a visible plan: shoes, teeth, coat, bag. You are not policing a perfect day; you are giving them something to point at when words bounce off. Buy only if real photos did not land.",likely to be wanting to do the jobs themselves and getting stuck at the same transition every morning,Only mainstream UK set that covers a full home day with rearrangeable cards — matches whole-routine brief without school-only symbols.,"Generic symbols, not your child's room — photos may still beat this. Ten-card display limit on two boards.",buy,false,Parent-buy utility; not a gift unless parents asked for it.,Try phone photos of your real routine first — skip if that already works.,Cards are small — supervise around younger siblings; store unused symbols out of reach.,4.7,743,Amazon UK,Strong Amazon volume for Create Visual Aids SKU; brand site shows fewer aggregated reviews.,strong,Create Visual Aids product page | Amazon UK reviews,possible,Cards hold up; check Velcro and missing symbols in pre-loved sets.,Create Visual Aids Now and Next Board plus 35 symbols,none,,Only mainstream UK set that covers a full home day with rearrangeable cards — matches whole-routine brief without school-only symbols.
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_visual_routine_cards,Visual routine cards and timers,"Real jobs, routines and self-care",product_category,pick,2,2,2,Best for leaving on time,Out The Door Chart,Create Visual Aids,Create Visual Aids,https://www.createvisualaids.co.uk/products/out-the-door-chart,https://www.createvisualaids.co.uk/products/out-the-door-visuals-pdf-version,,2026-07-21,in_stock,12,£12.00,GBP,2026-07-21,All ages,"{""piece_count"":""12 out-the-door visuals, 2 green backing boards"",""dimensions"":""Visuals 5.5 x 4.5 cm"",""materials"":""Plastic visuals, foamex boards, VELCRO Brand fasteners"",""included_items"":""Lunchbox, water, bag, coat, shoes, trainers, PE kit and other leave-the-house symbols"",""other"":""Designed for door-side checking""}","Door-side chart with twelve removable leave-the-house picture cards on two green boards. Child checks bag, coat and shoes without you repeating the list.","The front-door moment is where nearly-three independence meets your lateness. This narrows the job to one strip: what goes out with us. Not a whole-day timetable — that is the point. Hang it where they actually leave, not on a bedroom wall they ignore.",likely to be dawdling at the door or forgetting the same item every time you leave,"Focused leave-the-house strip beats a full timetable when the pain is coats, bags and shoes at the threshold.","Only one brand-site review at research date — evidence is specialist, not mass-market.",buy,false,Parent-buy only — too specific for unsolicited gifting.,A photo strip by the door may be enough; buy if repetition is wearing you down.,Small cards — keep away from babies; supervise first weeks until the habit lands.,,1,Create Visual Aids brand reviews,Single brand-site review; product spec verified on retailer page.,emerging,Create Visual Aids product page,possible,Compact set; easy to sanitise and reuse.,Create Visual Aids Out The Door Visuals symbol set plus existing board,check_claim,,"Focused leave-the-house strip beats a full timetable when the pain is coats, bags and shoes at the threshold."
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_visual_routine_cards,Visual routine cards and timers,"Real jobs, routines and self-care",product_category,pick,3,3,3,Best for timed teeth jobs,Desktop Visual Timer - Black Silicone Case,Sensory Direct,Sensory Direct,https://www.sensorydirect.com/desktop-visual-timer-black-silicone-case,https://www.sensorydirect.com/digital-visual-timer,,2026-07-21,in_stock,13.94,£13.94 inc VAT (£11.62 ex VAT),GBP,2026-07-21,3+,"{""piece_count"":""1 desktop timer"",""dimensions"":""Compact desk timer with silicone case"",""materials"":""Plastic timer, silicone protective case"",""included_items"":""60-minute visual countdown timer"",""other"":""Silent operation option""}",Sixty-minute desktop visual countdown timer with black silicone case. Red disk shrinks so a nearly-three can see how long teeth or getting dressed should take.,"Cards show what; a timer shows how long. Useful when brushing teeth or getting dressed turns into a stand-off — two minutes visible beats you counting down. Pair with photos or cards, not instead of them. Re-check price at checkout; ex-VAT listing confuses quick scans.",likely to be stretching one step and needing a visible end point before moving on,Adds time visibility to routine cards — the missing piece when a child understands the job but not how long it lasts.,£5.95 delivery under £45 on Sensory Direct. Ex-VAT price shown prominently on site.,buy,false,Utility buy for parents mid-routine battles.,Phone timer works first — buy if you want a always-on bathroom or kitchen clock.,Keep off high shelves child might climb to reach.,,,Sensory Direct listing,Specialist SEN retailer; fewer consumer reviews than Amazon timer clones.,good,Sensory Direct product page | Sensory Direct visual aids category,good,Timers common on eBay; check battery and case condition.,Time Timer MOD Home Edition,check_price,,Adds time visibility to routine cards — the missing piece when a child understands the job but not how long it lasts.
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_visual_routine_cards,Visual routine cards and timers,"Real jobs, routines and self-care",product_category,pick,4,4,4,Best for tricky transitions,Now and Next Board plus 35 symbols for home,Create Visual Aids,Create Visual Aids,https://www.createvisualaids.co.uk/products/now-and-next-board-plus-symbols-for-home,https://www.createvisualaids.co.uk/products/now-next-then-board,,2026-07-21,in_stock,17.95,£17.95,GBP,2026-07-21,All ages,"{""piece_count"":""35 home symbols, 1 Now and Next board"",""dimensions"":""Board foamex; symbols durable plastic"",""materials"":""Water-resistant plastic symbols, VELCRO Brand fasteners"",""included_items"":""Two-step board plus home routine symbol set"",""other"":""Shows only next two activities""}","Now and Next board with thirty-five home picture symbols. Shows the current task and what comes straight after — built for transition meltdowns, not full-day planning.","When the whole day feels like too much, shrink the horizon. Now: shoes. Next: park. That is often enough at nearly three. Use this for the sticky hand-offs — tablet off, coat on, leaving the house — not as your only routine system.",likely to be stalling when one fun thing ends and the next boring step begins,Two-step format matches transition pain better than a ten-step wall chart for many toddlers.,Overlaps symbol set with full timetable — do not buy both unless you need both formats.,buy,false,Parent-buy transition tool.,Two printed photos and blu-tack can trial Now/Next before spending.,Small symbols — supervise around younger siblings.,,,Create Visual Aids listing,Standard Create Visual Aids SKU; spec verified on brand page.,good,Create Visual Aids product page,possible,Board and symbols survive well second-hand.,Create Visual Aids Now and Next Board plus Pick and Mix symbols,none,,Two-step format matches transition pain better than a ten-step wall chart for many toddlers.
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_visual_routine_cards,Visual routine cards and timers,"Real jobs, routines and self-care",product_category,pick,5,5,5,Best for morning battles,Routine Planners,Little Goose,Little Goose,https://littlegoose.co.uk/products/routine-planner-for-kids,https://littlesensoryhome.com/products/routine-planners-for-kids,,2026-07-21,in_stock,19.95,£19.95,GBP,2026-07-21,2+,"{""piece_count"":""2 A4 planners, 35 task cards, velcro dots, storage bag"",""dimensions"":""Planner A4; task cards 3.7 x 3.7 cm"",""materials"":""Matt-laminated card, cotton storage bag"",""included_items"":""Separate morning and evening planners with illustrated flap cards"",""other"":""Adult setup required — cut flaps and attach velcro""}",Morning and evening A4 routine planners with thirty-five illustrated velcro task cards. Child closes each flap when done — progress they can see without reading.,"Prettier than clinic boards — useful if mornings and bedtimes are the only war zones. The flap-close mechanic gives a nearly-three a finished-job feeling your fridge photos might lack. Adult prep night one: cut, velcro, customise. Not for whole-day planning.",likely to be needing a visible win when a step is done before moving to the next morning task,Morning/evening split with tactile flap closure suits independence pride at this age better than abstract symbol strips alone.,Setup faff on arrival. Premium price versus Create Visual Aids bundles. Small review base.,buy,false,Parent-buy; pretty packaging but still a routine utility.,Skip if Create Visual Aids morning/bedtime boards return to stock at lower price.,Velcro dots are small — attach firmly; supervise setup.,4.95,19,Little Goose / stockist reviews,"Small but strong review average; parents praise morning calm, note setup time.",good,Little Goose product page | Little Sensory Home listing,possible,Laminated planners wear well; check velcro and missing cards.,Create Visual Aids Morning and Bedtime Routine Chart Bundle,none,,Morning/evening split with tactile flap closure suits independence pride at this age better than abstract symbol strips alone.
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_visual_routine_cards,Visual routine cards and timers,"Real jobs, routines and self-care",product_category,backup,,6,,Best for AM/PM only,Morning and Bedtime Routine Chart Bundle,Create Visual Aids,Create Visual Aids,https://www.createvisualaids.co.uk/products/morning-and-bedtime-routine-chart-bundle,,,2026-07-21,out_of_stock,,£12.00,GBP,2026-07-21,All ages,,,,,Cheaper morning/evening-only split from same brand — ideal substitute when in stock.,Sold out at research — watch for restock before ingestion.,buy,false,,,,,,,,good,,,,,,,Cheaper morning/evening-only split from same brand — ideal substitute when in stock.
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_visual_routine_cards,Visual routine cards and timers,"Real jobs, routines and self-care",product_category,backup,,7,,Best for Prime delivery,Visual Timetable for Children at Home (Amazon listing),Create Visual Aids,Amazon UK,https://www.amazon.co.uk/Create-Visual-Aids-communication-transition/dp/B093YJ5RL6,,,2026-07-21,in_stock,,£15.95 approx.,GBP,2026-07-21,All ages,,,,,Same SKU as pick 1 — backup channel if brand site shipping is slow.,Duplicate of pick 1 — choose one retailer only.,buy,false,,,,4.7,743,,,strong,,,,,,,Same SKU as pick 1 — backup channel if brand site shipping is slow.
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_visual_routine_cards,Visual routine cards and timers,"Real jobs, routines and self-care",product_category,backup,,8,,Best for ASD mornings,Visual Morning Routine,Autism Supplies and Developments,Amazon UK,https://www.amazon.co.uk/Supplies-Developments-Plastic-Morning-Routine/dp/B084WCV94X,,,2026-07-21,in_stock,,£24.99 approx.,GBP,2026-07-21,36 months+,,,,,PCS-compatible morning strip with twelve symbols — strong SEN niche backup.,Clinical symbol style; overkill if generic home cards work.,buy,false,,,,4.5,1200,,,good,,,,,,,PCS-compatible morning strip with twelve symbols — strong SEN niche backup.
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_visual_routine_cards,Visual routine cards and timers,"Real jobs, routines and self-care",product_category,backup,,9,,Best for digital countdown,Digital Visual Timer,Sensory Direct,Sensory Direct,https://www.sensorydirect.com/digital-visual-timer,,,2026-07-21,in_stock,,£15.95 inc VAT,GBP,2026-07-21,3+,,,,,Digital countdown alternative when analogue disk timers frustrate.,Higher price than desktop analogue timer.,buy,false,,,,,,,,good,,,,,,,Digital countdown alternative when analogue disk timers frustrate.
ember_picks_research_v2,2026-07-21,cursor,34-36m,34-36m,cat_visual_routine_cards,Visual routine cards and timers,"Real jobs, routines and self-care",product_category,backup,,10,,Best for brand timer,Time Timer MOD Home Edition,Time Timer,Amazon UK,https://www.amazon.co.uk/dp/B08K9GFDMP,,,2026-07-21,in_stock,,£28.00 approx.,GBP,2026-07-21,3+,,,,,Premium brand visual timer with modular case — backup for pick 3.,Premium price; AA battery not included.,buy,false,,,,4.6,3500,,,strong,,,,,,,Premium brand visual timer with modular case — backup for pick 3.
