schema_version,research_date,researcher,age_band_id,age_band_id_spine,category_entity_id,category_label,cluster_label,content_type,status,rank,longlist_rank,top_pick_rank,best_for_tag,product_name,brand,retailer,product_url,alternate_urls,image_url,url_checked_date,stock_status,price_amount,price_text,currency,price_checked_date,age_mark_on_listing,key_specs,product_description_under_30_words,ember_verdict,rank_rationale,missed_top5_reason,why_it_fits,caveats,buy_borrow_hold_off,gift_suitable,gift_note,ownership_note,safety_notes,rating_value,rating_count,rating_source,review_quality_note,evidence_tier,evidence_sources,preloved_suitability,preloved_signal_note,substitute_if_unavailable,founder_qa_flag,skip_reason,evidence_notes,buying_factor_memo
ember_picks_research_v3,2026-07-22,cursor,34-36m,age_34_36m,cat_balance_stepping_stones,Balance paths and stepping stones,"Pedalling, jumping, balancing and ball play",product_category,pick,1,1,1,Best for rule-based paths,Gonge River Stones (set of 6),Gonge,Liberty House Toys,https://www.libertyhousetoys.com/gonge-river-stones,https://www.amazon.co.uk/Gonge-1137385-River-Stones/dp/B000ANIVRG | https://www.very.co.uk/liberty-house-gonge-river-stones-set-of-6-stones-nordic/1601058729.prd,,2026-07-22,in_stock,55,£55.00,GBP,2026-07-22,Ages 2-99 years (Liberty House Toys product page),"{""piece_count"":""6 (3 large, 3 small)"",""dimensions"":""Large H85×W370mm; small H45×W260mm"",""materials"":""PP plastic with TPE rubber rim"",""included_items"":""6 stones, game suggestions"",""other"":""Three steepness sides per triangle; stacks; 100 kg load""}",Six stackable triangular stepping stones in two sizes. Each stone has three slope sides so you can dial difficulty when laying a path.,"When cushions-and-tape has run its course, this is the proper path kit. Lay step–pause–turn rules on laminate without daredevil height. Each stone’s three sides progress difficulty without buying more. Pricey — borrow from nursery or try pre-loved before committing.","#1 over #2: three steepness settings and two stone sizes create richer rule-based paths than flat budget stones, which fits the nearly-three sequenced-movement brief better.",,"Variable steepness and two sizes create sequenced, rule-based paths — the core 34–36m shift versus earlier throw-and-aim games.",Premium price; one set may feel short for long corridors — extend with tape markers rather than duplicating the same set.,buy,true,Strong gift if the family has floor space and already plays active indoor games. Pair with a simple rule card.,Many nurseries own these — ask before duplicating. Common on pre-loved sites.,"Non-slip rubber base. Supervise on hard floors until your child knows their limits — planned movement, not height daredevil play.",4.7,523,Amazon UK aggregated listing for Gonge 1137385 (same SKU),Sustained praise for reconfigurability and floor grip; Liberty House shows verified UK owner reviews on check date.,strong,https://www.libertyhousetoys.com/gonge-river-stones | https://www.amazon.co.uk/Gonge-1137385-River-Stones/dp/B000ANIVRG,good,Gonge River Stones regularly appear on Vinted and eBay UK; check rubber rim wear.,Tippi Sensory Stepping Stones 5-pack (budget path starter),check_price,,Primary Liberty House URL smoke-checked HTTP 200 on 2026-07-22. Age from live listing Ages 2–99. Ratings from Amazon UK same-SKU aggregate because Liberty House public count is thin (3 verified reviews).,"Five factors set order for nearly-three path play. First, rule-based path fit: reconfigurable stones or beam sections that support step–pause–turn games beat single wobble boards or daredevil bounce kit. Second, age overlap with 34–36m: only listings with Ages 2+/18m+/2–99 overlap — pure 3+ marks fail FF because band min is 34 months. Third, floor grip and storage: non-slip bases and stackable sets matter on UK laminate in flats. Fourth, distinct parent situations: premium progressive paths, budget starter, compact nesting, height sequencing, and low beam walking — not five similar stone packs. Fifth, evidence honesty: Gonge uses Amazon UK review depth on the same SKU; Edx and Tippi use specialist exemption where UK widgets are thin or bot-blocked rather than inventing counts."
ember_picks_research_v3,2026-07-22,cursor,34-36m,age_34_36m,cat_balance_stepping_stones,Balance paths and stepping stones,"Pedalling, jumping, balancing and ball play",product_category,pick,2,2,2,Best for tight budgets,Tippi Sensory Stepping Stones (5-pack),Tippi,Amazon UK,https://www.amazon.co.uk/Tippi-Sensory-Stepping-Stones-Kids/dp/B0FCSQ9WKX,,,2026-07-22,in_stock,15.99,£15.99,GBP,2026-07-22,Balance toys for children age 18 months + (Amazon UK listing title/spec),"{""piece_count"":""5 stackable stones"",""dimensions"":""Approx. 23 cm diameter; low profile"",""materials"":""Plastic with textured top and rubber base"",""included_items"":""5 stepping stones"",""other"":""Indoor/outdoor; textured sensory surfaces""}",Five stackable stepping stones with textured tops and rubber bases. Low profile for indoor lava-game paths on a budget.,"If tape lines work but you want proper stones without Gonge money, this is the sensible starter. Textured tops give sensory feedback for cautious steppers. Lower and flatter than premium kit — fine for step-and-turn rules, less for big jumps. Replaces National Geographic here because pure 3+ marks fail FF for 34-month-olds in this band.","#2 over #3: much lower spend than Edx stumps while still clearing the 34–36m age gate with 18m+, making it the honest budget path before premium or specialist kit.",,18 months+ mark overlaps 34–36m; five pieces enough for a hallway path with pause points at nearly three.,Amazon UK review widget bot-blocked to agents — founder should sanity-check recent ratings on click. Less height progression than Gonge.,buy,true,Easy-wrap budget gift for families testing whether path play sticks.,Generic stepping-stone shape — many families already own a similar set.,Rubber bases for laminate; low fall height. Supervise first sessions.,,,Amazon UK product page bot-blocked to automated fetch on 2026-07-22,Specialist exemption — budget tier with verified 18m+ age mark; human should confirm live review count on product page.,specialist,https://www.amazon.co.uk/Tippi-Sensory-Stepping-Stones-Kids/dp/B0FCSQ9WKX,possible,Lightweight sets common second-hand; check rubber base grip.,National Geographic 6-pack (longlist backup — 3+ age caveat),confirm_reviews_on_human_click,,"Chosen over National Geographic 6-pack because NG live mark is Ages 3+ only, which FF rejects when band min is 34 months. Primary URL returns HTTP 200 to smoke check; review count not scraped honestly.","Five factors set order for nearly-three path play. First, rule-based path fit: reconfigurable stones or beam sections that support step–pause–turn games beat single wobble boards or daredevil bounce kit. Second, age overlap with 34–36m: only listings with Ages 2+/18m+/2–99 overlap — pure 3+ marks fail FF because band min is 34 months. Third, floor grip and storage: non-slip bases and stackable sets matter on UK laminate in flats. Fourth, distinct parent situations: premium progressive paths, budget starter, compact nesting, height sequencing, and low beam walking — not five similar stone packs. Fifth, evidence honesty: Gonge uses Amazon UK review depth on the same SKU; Edx and Tippi use specialist exemption where UK widgets are thin or bot-blocked rather than inventing counts."
ember_picks_research_v3,2026-07-22,cursor,34-36m,age_34_36m,cat_balance_stepping_stones,Balance paths and stepping stones,"Pedalling, jumping, balancing and ball play",product_category,pick,3,3,3,Best for small spaces,Edx Education Step-A-Stumps (set of 6),Edx Education,The Dyslexia Shop,https://www.thedyslexiashop.co.uk/products/step-a-stumps-6-piece-modular-balance-stepping-stones-for-sensory-play,https://www.shopedx.co.uk/products/step-a-stumps,,2026-07-22,in_stock,87.99,£87.99,GBP,2026-07-22,From 18 months upwards (The Dyslexia Shop listing copy),"{""piece_count"":""6 (2 small, 2 medium, 2 large)"",""dimensions"":""Approx. 22–29 cm diameter; heights 10–13 cm"",""materials"":""Polypropylene with ribbed top, rubber-edged base"",""included_items"":""6 stumps, nylon carry bag"",""other"":""Nest together; indoor/outdoor""}","Six ribbed, nesting stump stepping stones in three sizes, with a carry bag. Textured tops give sensory feedback under bare feet.","When storage is tight but you want more than flat stones, these nest into one stack with a carry bag. Ribbed tops suit children who pause to feel the surface before stepping. Good for step-and-pause paths; less exciting for big jumps.",#3 over #4: nesting carry-bag storage and ribbed sensory tops solve small-flat clutter better than three tall hilltops that eat floor space.,,Compact nesting plus three size grades supports progressive path difficulty in small rooms without cluttering the flat.,Premium price for plastic; Shopedx lists £105.60 — shop around before buying.,buy,true,Better gift for families who value tidy storage and sensory texture over brand recognition.,Common in nurseries — check before gifting duplicates.,Rubber-edged bases; ribbed tops reduce slip. Supervise first sessions on hard floors.,,,No public review widget on Dyslexia Shop / Shopedx product pages,Specialist exemption — Edx balance range stocked across UK education specialists with EN71 context; international Edx line well reviewed but not inventing UK counts.,specialist,https://www.thedyslexiashop.co.uk/products/step-a-stumps-6-piece-modular-balance-stepping-stones-for-sensory-play | https://www.shopedx.co.uk/products/step-a-stumps,possible,Occasional nursery sell-offs; check rubber edge condition.,Tippi Sensory Stepping Stones 5-pack,check_price,,Age 18 months+ captured from live Dyslexia Shop copy on 2026-07-22. Specialist education channel listing; UK review widget absent — exemption declared with written reason per trust gates.,"Five factors set order for nearly-three path play. First, rule-based path fit: reconfigurable stones or beam sections that support step–pause–turn games beat single wobble boards or daredevil bounce kit. Second, age overlap with 34–36m: only listings with Ages 2+/18m+/2–99 overlap — pure 3+ marks fail FF because band min is 34 months. Third, floor grip and storage: non-slip bases and stackable sets matter on UK laminate in flats. Fourth, distinct parent situations: premium progressive paths, budget starter, compact nesting, height sequencing, and low beam walking — not five similar stone packs. Fifth, evidence honesty: Gonge uses Amazon UK review depth on the same SKU; Edx and Tippi use specialist exemption where UK widgets are thin or bot-blocked rather than inventing counts."
ember_picks_research_v3,2026-07-22,cursor,34-36m,age_34_36m,cat_balance_stepping_stones,Balance paths and stepping stones,"Pedalling, jumping, balancing and ball play",product_category,pick,4,4,4,Best for height practice,Gonge Hilltops (set of 3),Gonge,Liberty House Toys,https://www.libertyhousetoys.com/gonge-hilltops,https://www.gonge.com/products/hilltops-nordic,,2026-07-22,in_stock,74.99,£74.99,GBP,2026-07-22,Ages 2+ years (Liberty House Toys),"{""piece_count"":""3 hilltops"",""dimensions"":""Heights 85mm, 170mm, 260mm"",""materials"":""PP plastic with TPE rubber feet"",""included_items"":""3 hilltops, game suggestions"",""other"":""Anti-overturn design; 100 kg load; pairs with River Stones""}",Three stackable hilltop platforms at different fixed heights. Non-slip feet; designed not to tip when stepped on carefully.,"Pick when the shift is step-up, pause on the tall one, turn, step down — height sequencing rather than flat hopping. Combine with River Stones for a mixed path. Hands nearby until confident; this brief is planned movement, not bouncing thrills.","#4 over #5: fixed height progression adds step-up/step-down sequencing that low beam sections cannot, while staying inside the not-daredevil brief.",,Three fixed heights teach planned up-down movement — distinct from flat stones and from 31–33m throw games.,Only three pieces — short path unless combined with cushions or River Stones. Liberty House public review count is thin.,buy,true,Impressive for active families with cleared floor space. Best after flat stones.,Pairs with River Stones — check whether family already owns Gonge before doubling up.,Non-slip rubber feet; anti-overturn design. Supervise height steps until your child can pause without hands.,,,Liberty House Toys shows 1 verified review on check date,Specialist exemption — Gonge OT/clinic standard; paired-use evidence from River Stones owner reviews and brand spec.,specialist,https://www.libertyhousetoys.com/gonge-hilltops | https://www.gonge.com/products/hilltops-nordic,good,Gonge kit holds resale value; inspect rubber feet.,Gonge River Stones using steepest triangle side only,check_age_fit,,Ages 2+ from live Liberty House listing parsed to min_months 24 on 2026-07-22. Review count below 15 on primary — specialist exemption with Gonge brand + paired River Stones parent evidence instead of inventing Amazon counts for a different listing.,"Five factors set order for nearly-three path play. First, rule-based path fit: reconfigurable stones or beam sections that support step–pause–turn games beat single wobble boards or daredevil bounce kit. Second, age overlap with 34–36m: only listings with Ages 2+/18m+/2–99 overlap — pure 3+ marks fail FF because band min is 34 months. Third, floor grip and storage: non-slip bases and stackable sets matter on UK laminate in flats. Fourth, distinct parent situations: premium progressive paths, budget starter, compact nesting, height sequencing, and low beam walking — not five similar stone packs. Fifth, evidence honesty: Gonge uses Amazon UK review depth on the same SKU; Edx and Tippi use specialist exemption where UK widgets are thin or bot-blocked rather than inventing counts."
ember_picks_research_v3,2026-07-22,cursor,34-36m,age_34_36m,cat_balance_stepping_stones,Balance paths and stepping stones,"Pedalling, jumping, balancing and ball play",product_category,pick,5,5,5,Best for straight paths,Edx Education Step-A-Trails (set of 6),Edx Education,Shopedx,https://www.shopedx.co.uk/products/step-a-trails,https://www.thedyslexiashop.co.uk/products/step-a-trails-6-piece-modular-balance-beam-set-for-sensory-play,,2026-07-22,in_stock,96,£96.00,GBP,2026-07-22,Age: 18 months+ (Shopedx product page),"{""piece_count"":""6 straight trail sections"",""dimensions"":""48 × 13.6 × 6.4 cm each"",""materials"":""Polypropylene with ribbed non-slip top"",""included_items"":""6 trail sections in 2 colours"",""other"":""Straight or curved paths; indoor/outdoor""}","Six low balance-beam sections that link into straight or curved walking paths. Ribbed tops; six centimetres high — walk the line, not hop.","This is the path half of the category. Lay a walking line down the hall: heel-toe, pause at the end, turn, come back. Lower than stones so it suits cautious nearly-threes who need rule-based walking before jumping.",#5: lowest jump height and a different motor pattern (heel-toe beam walk) so it rounds out the Top 5 without duplicating stone hopping picks.,,Beam paths train planned step-and-pause movement without jump height — distinct product type from all stone picks.,Expensive for six plastic beams; needs a cleared hallway run.,buy,true,Niche gift — best when parents want active indoor play and have space for a floor path.,Tape on floor may suffice — only buy if child has outgrown tape and wants a raised edge.,Low 6.4 cm height limits fall risk. Ensure sections sit flat on hard floors.,,,Shopedx page has no public review widget; NAPPA award editorial for Step-a-Trail line,Specialist exemption — NAPPA-recognised Edx line stocked by UK education retailers; not inventing Amazon.com counts on check date.,specialist,https://www.shopedx.co.uk/products/step-a-trails | https://www.nappaawards.com/product/step-a-trails/,possible,Nursery surplus occasionally listed.,DIY painter's tape path (hold off buying),check_price,,Age 18 months+ from live Shopedx EDX63083 listing on 2026-07-22. NAPPA editorial corroborates Edx Step-a-Trail line quality; UK retailer primary used for URL/rating honesty.,"Five factors set order for nearly-three path play. First, rule-based path fit: reconfigurable stones or beam sections that support step–pause–turn games beat single wobble boards or daredevil bounce kit. Second, age overlap with 34–36m: only listings with Ages 2+/18m+/2–99 overlap — pure 3+ marks fail FF because band min is 34 months. Third, floor grip and storage: non-slip bases and stackable sets matter on UK laminate in flats. Fourth, distinct parent situations: premium progressive paths, budget starter, compact nesting, height sequencing, and low beam walking — not five similar stone packs. Fifth, evidence honesty: Gonge uses Amazon UK review depth on the same SKU; Edx and Tippi use specialist exemption where UK widgets are thin or bot-blocked rather than inventing counts."
ember_picks_research_v3,2026-07-22,cursor,34-36m,age_34_36m,cat_balance_stepping_stones,Balance paths and stepping stones,"Pedalling, jumping, balancing and ball play",product_category,backup,,6,,Best for spinner games,National Geographic Stepping Stones 6-pack with spinner,National Geographic,Amazon UK,https://www.amazon.co.uk/NATIONAL-GEOGRAPHIC-Durable-Non-Slip-Stepping/dp/B0C95HPFHM,,,2026-07-22,in_stock,,£22.99,GBP,2026-07-22,Ages 3+ years,,,,#6: popular budget line with good review depth on Amazon UK.,"Live mark is Ages 3+ only, which FF rejects for 34–36m because band min is 34 months — kept as backup once child is firmly 36m+.",Strong Amazon review volume and spinner for colour rules.,3+ age mark — not Top 5 for this band.,buy,true,,,,4.6,1437,,,strong,,,,,,,,"Five factors set order for nearly-three path play. First, rule-based path fit: reconfigurable stones or beam sections that support step–pause–turn games beat single wobble boards or daredevil bounce kit. Second, age overlap with 34–36m: only listings with Ages 2+/18m+/2–99 overlap — pure 3+ marks fail FF because band min is 34 months. Third, floor grip and storage: non-slip bases and stackable sets matter on UK laminate in flats. Fourth, distinct parent situations: premium progressive paths, budget starter, compact nesting, height sequencing, and low beam walking — not five similar stone packs. Fifth, evidence honesty: Gonge uses Amazon UK review depth on the same SKU; Edx and Tippi use specialist exemption where UK widgets are thin or bot-blocked rather than inventing counts."
ember_picks_research_v3,2026-07-22,cursor,34-36m,age_34_36m,cat_balance_stepping_stones,Balance paths and stepping stones,"Pedalling, jumping, balancing and ball play",product_category,backup,,7,,Best for longer paths,National Geographic Stepping Stones 10-pack,National Geographic,Amazon UK,https://www.amazon.co.uk/NATIONAL-GEOGRAPHIC-Stepping-Stones-Durable-Non-Slip/dp/B0C95JJC33,,,2026-07-22,in_stock,,£29.99,GBP,2026-07-22,Ages 3+ years,,,,#7: same line as 6-pack with more pieces for longer paths.,Same 3+ age-gate conflict as the 6-pack; useful backup when child is 36m+ and you need more pieces.,More stones for longer hallway paths.,3+ mark; low profile like 6-pack.,buy,true,,,,4.6,1569,,,good,,,,,,,,"Five factors set order for nearly-three path play. First, rule-based path fit: reconfigurable stones or beam sections that support step–pause–turn games beat single wobble boards or daredevil bounce kit. Second, age overlap with 34–36m: only listings with Ages 2+/18m+/2–99 overlap — pure 3+ marks fail FF because band min is 34 months. Third, floor grip and storage: non-slip bases and stackable sets matter on UK laminate in flats. Fourth, distinct parent situations: premium progressive paths, budget starter, compact nesting, height sequencing, and low beam walking — not five similar stone packs. Fifth, evidence honesty: Gonge uses Amazon UK review depth on the same SKU; Edx and Tippi use specialist exemption where UK widgets are thin or bot-blocked rather than inventing counts."
ember_picks_research_v3,2026-07-22,cursor,34-36m,age_34_36m,cat_balance_stepping_stones,Balance paths and stepping stones,"Pedalling, jumping, balancing and ball play",product_category,backup,,8,,Best for award-backed play,Toyrific Stepping Stones Balance Game (8-pack),Toyrific,Toyrific,https://www.toyrific.co.uk/products/stepping-stones-balancing-game,,,2026-07-22,out_of_stock,,£24.99,GBP,2026-07-22,Recommended Age 3+,,,,#8: award-backed mid-budget option when in stock.,Sold out on primary retailer on check date and 3+ mark fails 34–36m FF age overlap — monitor stock before substituting.,MadeForMums Award 2025; eight stones plus spinner.,Sold out on check date.,hold_off,true,,,,,,,,good,,,,,,,,"Five factors set order for nearly-three path play. First, rule-based path fit: reconfigurable stones or beam sections that support step–pause–turn games beat single wobble boards or daredevil bounce kit. Second, age overlap with 34–36m: only listings with Ages 2+/18m+/2–99 overlap — pure 3+ marks fail FF because band min is 34 months. Third, floor grip and storage: non-slip bases and stackable sets matter on UK laminate in flats. Fourth, distinct parent situations: premium progressive paths, budget starter, compact nesting, height sequencing, and low beam walking — not five similar stone packs. Fifth, evidence honesty: Gonge uses Amazon UK review depth on the same SKU; Edx and Tippi use specialist exemption where UK widgets are thin or bot-blocked rather than inventing counts."
ember_picks_research_v3,2026-07-22,cursor,34-36m,age_34_36m,cat_balance_stepping_stones,Balance paths and stepping stones,"Pedalling, jumping, balancing and ball play",product_category,backup,,9,,Best for gap control,Edx Education Step-A-Stones (rope-connected),Edx Education,Shopedx,https://www.shopedx.co.uk/products/step-a-stones,,,2026-07-22,in_stock,,£75.60,GBP,2026-07-22,18 months+,,,,#9: rope gaps add distance judgement versus fixed stumps.,Rope setup friction each play session loses to nesting stumps for tired parents — kept as technique backup.,Adjustable rope gaps teach step-and-reach distance judgement.,Rope gaps need adult setup each time.,buy,true,,,,,,,,good,,,,,,,,"Five factors set order for nearly-three path play. First, rule-based path fit: reconfigurable stones or beam sections that support step–pause–turn games beat single wobble boards or daredevil bounce kit. Second, age overlap with 34–36m: only listings with Ages 2+/18m+/2–99 overlap — pure 3+ marks fail FF because band min is 34 months. Third, floor grip and storage: non-slip bases and stackable sets matter on UK laminate in flats. Fourth, distinct parent situations: premium progressive paths, budget starter, compact nesting, height sequencing, and low beam walking — not five similar stone packs. Fifth, evidence honesty: Gonge uses Amazon UK review depth on the same SKU; Edx and Tippi use specialist exemption where UK widgets are thin or bot-blocked rather than inventing counts."
ember_picks_research_v3,2026-07-22,cursor,34-36m,age_34_36m,cat_balance_stepping_stones,Balance paths and stepping stones,"Pedalling, jumping, balancing and ball play",product_category,backup,,10,,Best for more pieces,Costway 9-piece Non-Slip Toddler Stepping Stones,Costway,Costway UK,https://www.costway.co.uk/9-pieces-non-slip-toddler-stepping-stones-for-kids-aged-3.html,,,2026-07-22,in_stock,,£36.95,GBP,2026-07-22,Suitable Age: 3+,,,,#10: more pieces per pound than six-packs when 3+ age is acceptable.,3+ qualification age fails FF for youngest in 34–36m band; only five public reviews on Costway — below rating gate for Top 5.,Nine stackable stones; strong Costway owner reviews.,3+ mark; low review count.,buy,true,,,,5,5,,,emerging,,,,,,,,"Five factors set order for nearly-three path play. First, rule-based path fit: reconfigurable stones or beam sections that support step–pause–turn games beat single wobble boards or daredevil bounce kit. Second, age overlap with 34–36m: only listings with Ages 2+/18m+/2–99 overlap — pure 3+ marks fail FF because band min is 34 months. Third, floor grip and storage: non-slip bases and stackable sets matter on UK laminate in flats. Fourth, distinct parent situations: premium progressive paths, budget starter, compact nesting, height sequencing, and low beam walking — not five similar stone packs. Fifth, evidence honesty: Gonge uses Amazon UK review depth on the same SKU; Edx and Tippi use specialist exemption where UK widgets are thin or bot-blocked rather than inventing counts."
