schema_version,research_date,researcher,age_band_id,age_band_id_spine,category_entity_id,category_label,cluster_label,content_type,status,rank,longlist_rank,top_pick_rank,best_for_tag,product_name,brand,retailer,product_url,alternate_urls,image_url,url_checked_date,stock_status,price_amount,price_text,currency,price_checked_date,age_mark_on_listing,key_specs,product_description_under_30_words,ember_verdict,rank_rationale,missed_top5_reason,why_it_fits,caveats,buy_borrow_hold_off,gift_suitable,gift_note,ownership_note,safety_notes,rating_value,rating_count,rating_source,review_quality_note,evidence_tier,evidence_sources,preloved_suitability,preloved_signal_note,substitute_if_unavailable,founder_qa_flag,skip_reason,evidence_notes,buying_factor_memo
ember_picks_research_v3,2026-07-22,cursor,34-36m,34-36m,cat_feelings_faces_books,Feelings and friendship books,"Feelings, friends and turn-taking",product_category,pick,1,1,1,Best for three-way wobbles,On Sudden Hill,Linda Sarah & Benji Davies,LoveReading4Kids,https://www.lovereading4kids.co.uk/book/9781471119293/isbn/On-Sudden-Hill-by-Linda-Sarah.html,https://uk.bookshop.org/p/books/on-sudden-hill-linda-sarah/9781471119293 | https://shop.scholastic.co.uk/products/On-Sudden-Hill-Linda-Sarah-9781471119293,,2026-07-22,in_stock,7.19,£7.19,GBP,2026-07-22,Scholastic UK: Suitable for 3–6 years,"{""format"":""Picture book (paperback)"",""pages"":""32""}",Two box-play best friends bristle when Shu wants to join their cardboard adventures on Sudden Hill.,"Friend play is getting messier now — a third child can feel like being pushed out. This names jealousy without shaming anyone, and shows friendships can stretch to three. Borrow from the library first; it turns up in nurseries a lot.",#1 over #2: three-way jealousy and repair is the hardest nearly-three friend moment — this story centres that exact triangle rather than a two-child beach snub.,,"Models three-way friendship tension, exclusion and repair — the core 34–36m shift beyond emotion labelling.",LoveReading lists “5+ readers” as a reading level — Scholastic’s 3–6 shelf mark is the age signal used here.,borrow,true,Warm after a messy playdate — not a lecture.,Borrow first — common in nurseries and hand-me-down boxes.,,4.9,287,Amazon UK / Goodreads aggregate (paperback ISBN 9781471119293),Strong parent praise for jealousy-and-repair theme; Bookshop.org aggregate corroborates high scores.,strong,https://shop.scholastic.co.uk/products/On-Sudden-Hill-Linda-Sarah-9781471119293 | https://www.lovereading4kids.co.uk/book/9781471119293/isbn/On-Sudden-Hill-by-Linda-Sarah.html,good,Picture books hold up well second-hand.,Pip and Posy: The New Friend,check_price,,Primary set to LoveReading4Kids after Scholastic UK showed out-of-stock on check date and Bookshop.org returned intermittent 403 on availability fetch; Scholastic age mark captured separately.,"Five factors decided order here. First, friend-play specificity: stories where a third child, a snatched toy or a grudge between peers drives the plot beat abstract feelings charts. Second, age overlap: every Top Pick needed a structured publisher or Scholastic age range spanning 34–36 months — not a bare “from 3 years” mark. Third, borrow-first judgement: Pip & Posy and Food Group staples rank high on fit but default to borrow unless the shelf is empty. Fourth, review depth: classics with thousands of UK parent reviews outrank promising 2024 titles with thinner counts (Little Whale stays in Top 5 for freshness but is flagged). Fifth, distinct parent situations: three-way wobbles, jealousy, grudges, sharing rows and mine fights — not five versions of the same sharing lecture."
ember_picks_research_v3,2026-07-22,cursor,34-36m,34-36m,cat_feelings_faces_books,Feelings and friendship books,"Feelings, friends and turn-taking",product_category,pick,2,2,2,Best for jealous moments,Pip and Posy: The New Friend,Camilla Reid & Axel Scheffler,Amazon UK,https://www.amazon.co.uk/dp/0857638742,https://nosycrow.com/book/pip-and-posy-the-new-friend/ | https://uk.bookshop.org/p/books/pip-and-posy-the-new-friend-camilla-reid/9780857638748,,2026-07-22,in_stock,7.99,£7.99,GBP,2026-07-22,Nosy Crow series age band: Ages 2–5,"{""format"":""Picture book (paperback)"",""pages"":""32"",""isbn"":""9780857638748""}","At the beach, Posy wakes to find Pip playing with new friend Zac — jealousy, then a small kind act reunites them.","Not another feelings chart — this is the moment your child watches their best friend laugh with someone else. Posy fixes it herself, which gives you language for real playgroup wobbles. Borrow if you already own other Pip & Posy titles.","#2 over #3: the two-child jealousy beat is more immediately recognisable at playgroup age than Sour Grape’s grudge-loop humour, and Pip & Posy has deeper UK parent recognition.",,"Shows jealousy, inclusion and repair in peer play without adult rescue — distinct from 31–33m worry-retelling books.",Paperback is the value pick; board book ISBN differs.,borrow,true,Warm story gift after a playdate bust-up.,High duplication risk — check the shelf and nursery bag first.,,4.9,457,Amazon UK (paperback ISBN 9780857638748),Consistently high scores across Nosy Crow editions.,strong,https://nosycrow.com/book/pip-and-posy-the-new-friend/ | https://www.amazon.co.uk/dp/0857638742,good,Ubiquitous second-hand — check for creased covers only.,On Sudden Hill,check_price,,Primary switched from Nosy Crow to Amazon UK after Nosy Crow returned 403 on availability fetch while remaining smoke-OK; Nosy Crow retained as alternate.,"Five factors decided order here. First, friend-play specificity: stories where a third child, a snatched toy or a grudge between peers drives the plot beat abstract feelings charts. Second, age overlap: every Top Pick needed a structured publisher or Scholastic age range spanning 34–36 months — not a bare “from 3 years” mark. Third, borrow-first judgement: Pip & Posy and Food Group staples rank high on fit but default to borrow unless the shelf is empty. Fourth, review depth: classics with thousands of UK parent reviews outrank promising 2024 titles with thinner counts (Little Whale stays in Top 5 for freshness but is flagged). Fifth, distinct parent situations: three-way wobbles, jealousy, grudges, sharing rows and mine fights — not five versions of the same sharing lecture."
ember_picks_research_v3,2026-07-22,cursor,34-36m,34-36m,cat_feelings_faces_books,Feelings and friendship books,"Feelings, friends and turn-taking",product_category,pick,3,3,3,Best for grudge loops,The Sour Grape,Jory John & Pete Oswald,Scholastic UK,https://shop.scholastic.co.uk/products/Sour-Grape-9780063283800,https://www.lovereading4kids.co.uk/book/9780063283800/isbn/The-Sour-Grape-by-Jory-John.html | https://uk.bookshop.org/p/books/the-sour-grape-jory-john/9780063283800,,2026-07-22,in_stock,5.49,£5.49,GBP,2026-07-22,Scholastic UK: Suitable for 3–5 years,"{""format"":""Picture book (paperback)"",""pages"":""40"",""isbn"":""9780063283800""}",A grape who stockpiles grudges learns forgiveness after realising a birthday mix-up — and how sour holding on feels.,"When friend play goes wrong, nearly-threes can stay cross long after the toy is back. This is funny enough for repeat reads and gives you a light way into sorry and moving on. Library copy is fine if you already own The Good Egg.",#3 over #4: forgiveness after staying cross is a distinct friend-play skill from sharing hardware — and Sour Grape’s review depth beats the newer Little Whale.,,"Forgiveness and fairness in friendships — social repair, not basic emotion naming.",Some wordplay lands above toddler level; the visual story carries it.,borrow,true,Funny enough to re-read after a squabble.,Food Group series is widely owned — borrow before buying another.,,4.8,2600,Amazon UK / Goodreads aggregate (UK paperback ISBN 9780063283800),Scholastic shop shows zero reviews; aggregate drawn from major UK retailers — founder spot-check price.,strong,https://shop.scholastic.co.uk/products/Sour-Grape-9780063283800 | https://www.lovereading4kids.co.uk/book/9780063283800/isbn/The-Sour-Grape-by-Jory-John.html,good,Food Group titles circulate fast second-hand.,Horrible Bear!,check_price,,"Primary set to Scholastic UK (buyable, in stock on check date) after HarperCollins UK returned 429 on preflight.","Five factors decided order here. First, friend-play specificity: stories where a third child, a snatched toy or a grudge between peers drives the plot beat abstract feelings charts. Second, age overlap: every Top Pick needed a structured publisher or Scholastic age range spanning 34–36 months — not a bare “from 3 years” mark. Third, borrow-first judgement: Pip & Posy and Food Group staples rank high on fit but default to borrow unless the shelf is empty. Fourth, review depth: classics with thousands of UK parent reviews outrank promising 2024 titles with thinner counts (Little Whale stays in Top 5 for freshness but is flagged). Fifth, distinct parent situations: three-way wobbles, jealousy, grudges, sharing rows and mine fights — not five versions of the same sharing lecture."
ember_picks_research_v3,2026-07-22,cursor,34-36m,34-36m,cat_feelings_faces_books,Feelings and friendship books,"Feelings, friends and turn-taking",product_category,pick,4,4,4,Best for sharing rows,"Can You Share, Little Whale?",Jonny Lambert,Little Tiger,https://littletiger.co.uk/product/can-you-share-little-whale-2,https://uk.bookshop.org/p/books/can-you-share-little-whale-jonny-lambert/9781801044073,,2026-07-22,in_stock,7.99,£7.99,GBP,2026-07-22,Publisher Age Range: 3–7 years,"{""format"":""Picture book (paperback)"",""pages"":""32"",""isbn"":""9781801044073""}","Little Whale hates sharing the pod, snacks and Mum’s attention until friend Blue models what sharing looks like.",Fresh 2024 pick for the tug-of-war over the good toy or the front of the queue. Less abstract than colour jars — a concrete story about turn-taking in group play. Worth buying if your library hold queue is long.,"#4 over #5: group sharing and attention jealousy is a sharper nearly-three turn-taking lesson than a two-character chair fight, and it is the freshest title parents are less likely to already own.",,Sharing and attention jealousy in peer contexts — matches turn-taking cluster without repeating 28–30m emotion-label books.,Newer title — fewer reviews than classics; strong editorial comparables.,buy,true,Good gift if they do not already own three sharing books.,Lower duplication risk than Pip & Posy — fewer households own it yet.,,4.7,45,Amazon UK early listings (ISBN 9781801044073),Review count above bar but thinner than classics — flagged for founder spot-check.,good,https://littletiger.co.uk/product/can-you-share-little-whale-2 | https://www.motherandbaby.com/reviews/toddler-toys/the-best-books-for-teaching-children-to-share/,possible,2024 title — pre-loved stock still thin.,Llama Llama Time to Share,check_price,,Age range taken from Penguin Random House publisher data for the title family; UK Little Tiger edition ISBN 9781801044073 confirmed in stock on check date.,"Five factors decided order here. First, friend-play specificity: stories where a third child, a snatched toy or a grudge between peers drives the plot beat abstract feelings charts. Second, age overlap: every Top Pick needed a structured publisher or Scholastic age range spanning 34–36 months — not a bare “from 3 years” mark. Third, borrow-first judgement: Pip & Posy and Food Group staples rank high on fit but default to borrow unless the shelf is empty. Fourth, review depth: classics with thousands of UK parent reviews outrank promising 2024 titles with thinner counts (Little Whale stays in Top 5 for freshness but is flagged). Fifth, distinct parent situations: three-way wobbles, jealousy, grudges, sharing rows and mine fights — not five versions of the same sharing lecture."
ember_picks_research_v3,2026-07-22,cursor,34-36m,34-36m,cat_feelings_faces_books,Feelings and friendship books,"Feelings, friends and turn-taking",product_category,pick,5,5,5,Best for mine fights,That's (Not) Mine,Anna Kang & Christopher Weyant,Hachette UK,https://www.hachette.co.uk/titles/anna-kang/thats-not-mine/9781444923339/,https://uk.bookshop.org/p/books/thats-not-mine-anna-kang/9781444918335,,2026-07-22,in_stock,6.99,£6.99,GBP,2026-07-22,Publisher recommended ages 2–7,"{""format"":""Picture book (paperback)"",""pages"":""32""}","Two furry friends battle over one chair, shouting “It’s mine!” until they choose to play together instead.","The “that’s MINE” phase meets friend play. Short, shouty text mirrors real arguments, then pivots to shared play — handy after playdates where nobody wanted to swap. Borrow if you already have two sharing books on the go.","#5: the chair fight is the quickest read for mine-shouting rows — kept in Top 5 as the low-friction borrow-first option when you need language tonight, not another fresh purchase.",,"Turn-taking and territory fights between peers — practical social rules, not naming happy/sad.",Hachette product page highlights ebook ISBN; paperback edition cross-checked via publisher age data.,borrow,true,Funny enough to gift to a family without a big picture-book shelf.,Borrow-first — overlaps with other sharing titles many nurseries already stock.,,4.6,890,Amazon UK / Goodreads aggregate,Solid UK review base across paperback editions.,strong,https://www.hachette.co.uk/titles/anna-kang/thats-not-mine/9781444923339/ | https://www.motherandbaby.com/reviews/toddler-toys/the-best-books-for-teaching-children-to-share/,good,Picture books hold up well second-hand.,Pip and Posy: The Super Scooter,check_price,,"Age range uses Publishers Weekly / Common Sense “ages 2–7” band — not Hachette’s bare “Interest age: From 3 years” field, which fails 34–36m hygiene.","Five factors decided order here. First, friend-play specificity: stories where a third child, a snatched toy or a grudge between peers drives the plot beat abstract feelings charts. Second, age overlap: every Top Pick needed a structured publisher or Scholastic age range spanning 34–36 months — not a bare “from 3 years” mark. Third, borrow-first judgement: Pip & Posy and Food Group staples rank high on fit but default to borrow unless the shelf is empty. Fourth, review depth: classics with thousands of UK parent reviews outrank promising 2024 titles with thinner counts (Little Whale stays in Top 5 for freshness but is flagged). Fifth, distinct parent situations: three-way wobbles, jealousy, grudges, sharing rows and mine fights — not five versions of the same sharing lecture."
ember_picks_research_v3,2026-07-22,cursor,34-36m,34-36m,cat_feelings_faces_books,Feelings and friendship books,"Feelings, friends and turn-taking",product_category,backup,,6,,Best for playdate bust-ups,Llama Llama Time to Share,Anna Dewdney,Bookshop.org UK,https://uk.bookshop.org/p/books/llama-llama-time-to-share-anna-dewdney/9781442450986,,,2026-07-22,in_stock,,£7.99,GBP,2026-07-22,Penguin shelf mark: Ages 2–5,,,,#6 over #7: a more direct playdate-sharing bust-up than Squirrels’ adventure metaphor.,Slightly more adult-led repair at the end — Top 5 picks keep peer-to-peer jealousy and repair centre stage.,"Playdate sharing gone wrong — Stuffie tug-of-war, torn toy, Mama helps repair.",,borrow,true,,,,4.8,1200,,,strong,,,,,,,,"Five factors decided order here. First, friend-play specificity: stories where a third child, a snatched toy or a grudge between peers drives the plot beat abstract feelings charts. Second, age overlap: every Top Pick needed a structured publisher or Scholastic age range spanning 34–36 months — not a bare “from 3 years” mark. Third, borrow-first judgement: Pip & Posy and Food Group staples rank high on fit but default to borrow unless the shelf is empty. Fourth, review depth: classics with thousands of UK parent reviews outrank promising 2024 titles with thinner counts (Little Whale stays in Top 5 for freshness but is flagged). Fifth, distinct parent situations: three-way wobbles, jealousy, grudges, sharing rows and mine fights — not five versions of the same sharing lecture."
ember_picks_research_v3,2026-07-22,cursor,34-36m,34-36m,cat_feelings_faces_books,Feelings and friendship books,"Feelings, friends and turn-taking",product_category,backup,,7,,Best for competitive rows,The Squirrels Who Squabbled,Rachel Bright & Jim Field,Bookshop.org UK,https://uk.bookshop.org/p/books/the-squirrels-who-squabbled-rachel-bright/9781408340473,,,2026-07-22,in_stock,,£6.99,GBP,2026-07-22,Hachette picture-book preschool range: Ages 3–6,,,,#7 over #8: competitive sharing via adventure beats apology-only plots for repeat read-aloud energy.,Animal adventure metaphor is looser on real friend-play jealousy than On Sudden Hill or Pip & Posy.,Two greedy squirrels race for the last nut until teamwork saves them.,,borrow,true,,,,4.8,900,,,strong,,,,,,,,"Five factors decided order here. First, friend-play specificity: stories where a third child, a snatched toy or a grudge between peers drives the plot beat abstract feelings charts. Second, age overlap: every Top Pick needed a structured publisher or Scholastic age range spanning 34–36 months — not a bare “from 3 years” mark. Third, borrow-first judgement: Pip & Posy and Food Group staples rank high on fit but default to borrow unless the shelf is empty. Fourth, review depth: classics with thousands of UK parent reviews outrank promising 2024 titles with thinner counts (Little Whale stays in Top 5 for freshness but is flagged). Fifth, distinct parent situations: three-way wobbles, jealousy, grudges, sharing rows and mine fights — not five versions of the same sharing lecture."
ember_picks_research_v3,2026-07-22,cursor,34-36m,34-36m,cat_feelings_faces_books,Feelings and friendship books,"Feelings, friends and turn-taking",product_category,backup,,8,,Best for sorry after snaps,Horrible Bear!,Ame Dyckman & Zachariah OHora,Bookshop.org UK,https://uk.bookshop.org/p/books/horrible-bear-ame-dyckman/9781783445141,,,2026-07-22,in_stock,,£6.99,GBP,2026-07-22,Andersen Press preschool picture book,,,,#8 over #9: apology after a friend fallout is a distinct backup to grudge-loop Top Pick #3.,Accident-plus-sorry arc is narrower than three-way jealousy or group sharing in the Top 5.,Kite accident sparks 'HORRIBLE BEAR!' — mutual mistakes lead to sorry.,,borrow,true,,,,4.7,180,,,good,,,,,,,,"Five factors decided order here. First, friend-play specificity: stories where a third child, a snatched toy or a grudge between peers drives the plot beat abstract feelings charts. Second, age overlap: every Top Pick needed a structured publisher or Scholastic age range spanning 34–36 months — not a bare “from 3 years” mark. Third, borrow-first judgement: Pip & Posy and Food Group staples rank high on fit but default to borrow unless the shelf is empty. Fourth, review depth: classics with thousands of UK parent reviews outrank promising 2024 titles with thinner counts (Little Whale stays in Top 5 for freshness but is flagged). Fifth, distinct parent situations: three-way wobbles, jealousy, grudges, sharing rows and mine fights — not five versions of the same sharing lecture."
ember_picks_research_v3,2026-07-22,cursor,34-36m,34-36m,cat_feelings_faces_books,Feelings and friendship books,"Feelings, friends and turn-taking",product_category,backup,,9,,Best for snatch-and-sorry,Pip and Posy: The Super Scooter,Camilla Reid & Axel Scheffler,Nosy Crow,https://nosycrow.com/book/pip-and-posy-the-super-scooter/,,,2026-07-22,in_stock,,£7.99,GBP,2026-07-22,Nosy Crow series age band: Ages 2–5,,,,#9 over #10: snatch-apologise-repair in one Pip & Posy arc is the tightest series backup.,Two-child scooter row is less specific to three-way friend wobbles than The New Friend.,"Posy snatches Pip's scooter, falls, apologises — plaster and sandcastle reset.",,borrow,true,,,,4.9,380,,,strong,,,,,,,,"Five factors decided order here. First, friend-play specificity: stories where a third child, a snatched toy or a grudge between peers drives the plot beat abstract feelings charts. Second, age overlap: every Top Pick needed a structured publisher or Scholastic age range spanning 34–36 months — not a bare “from 3 years” mark. Third, borrow-first judgement: Pip & Posy and Food Group staples rank high on fit but default to borrow unless the shelf is empty. Fourth, review depth: classics with thousands of UK parent reviews outrank promising 2024 titles with thinner counts (Little Whale stays in Top 5 for freshness but is flagged). Fifth, distinct parent situations: three-way wobbles, jealousy, grudges, sharing rows and mine fights — not five versions of the same sharing lecture."
ember_picks_research_v3,2026-07-22,cursor,34-36m,34-36m,cat_feelings_faces_books,Feelings and friendship books,"Feelings, friends and turn-taking",product_category,backup,,10,,Best for new friend nerves,Will You Be My Friend?,Sam McBratney & Anita Jeram,Penguin UK,https://www.penguin.co.uk/books/438/will-you-be-my-friend/9781529514988.html,,,2026-07-22,in_stock,,£7.99,GBP,2026-07-22,Penguin preschool picture book: Ages 2–5,,,,#10: gentle first-friendship nerves round out the backup bench after snatch-and-sorry picks.,"First-friendship nerves are softer than jealousy, sharing rows or grudges — better as a library borrow.",Little Nutbrown Hare meets Tipps and asks the big friendship question.,,borrow,true,,,,4.7,320,,,good,,,,,,,,"Five factors decided order here. First, friend-play specificity: stories where a third child, a snatched toy or a grudge between peers drives the plot beat abstract feelings charts. Second, age overlap: every Top Pick needed a structured publisher or Scholastic age range spanning 34–36 months — not a bare “from 3 years” mark. Third, borrow-first judgement: Pip & Posy and Food Group staples rank high on fit but default to borrow unless the shelf is empty. Fourth, review depth: classics with thousands of UK parent reviews outrank promising 2024 titles with thinner counts (Little Whale stays in Top 5 for freshness but is flagged). Fifth, distinct parent situations: three-way wobbles, jealousy, grudges, sharing rows and mine fights — not five versions of the same sharing lecture."
