schema_version,research_date,researcher,age_band_id,age_band_id_spine,category_entity_id,category_label,cluster_label,content_type,status,rank,longlist_rank,top_pick_rank,best_for_tag,product_name,brand,retailer,product_url,alternate_urls,image_url,url_checked_date,stock_status,price_amount,price_text,currency,price_checked_date,age_mark_on_listing,key_specs,product_description_under_30_words,ember_verdict,rank_rationale,missed_top5_reason,why_it_fits,caveats,buy_borrow_hold_off,gift_suitable,gift_note,ownership_note,safety_notes,rating_value,rating_count,rating_source,review_quality_note,evidence_tier,evidence_sources,preloved_suitability,preloved_signal_note,substitute_if_unavailable,founder_qa_flag,skip_reason,evidence_notes,buying_factor_memo
ember_picks_research_v3,2026-07-22,cursor,34-36m,34-36m,cat_picture_story_books,Picture story books with questions,"Questions, stories and bigger chats",product_category,pick,1,1,1,Best for open choices,You Choose,Pippa Goodhart & Nick Sharratt,Penguin UK,https://www.penguin.co.uk/books/305040/you-choose-by-goodhart-pippa/9780141379319,https://www.booktrust.org.uk/book-recommendations/bookfinder/you-choose/,,2026-07-22,in_stock,7.99,£7.99,GBP,2026-07-22,BookTrust interest age 3-7 years,format: Picture book (paperback) | pages: 32 | materials: Paper,"Picture book where the child picks a face, a house, an outfit and a pet on every spread, then explains the choice.","This is still the cleanest fit when your nearly-three wants to pick and explain on every page. If a nursery or grandparent copy is already doing the rounds, borrow it first — buy only once you know it isn't already on the shelf.",#1 over #2: You Choose asks the child to pick and explain on every spread — a more open-ended prompt than Pigeon's single repeated question — so it edges ahead on educational fit despite carrying higher ownership risk.,,Choice-led pages are built for what-next and why talk — the category benchmark for nearly-three talk-back.,Very widely owned across UK families — check the shelf and nursery book box before buying new.,borrow,true,Only gift if you know they do not already have a copy — ask first.,Borrow or bring back out — many nurseries and grandparents already own this.,,4.8,4300,Amazon UK (aggregate across current paperback and board editions),Very high review volume; consistent 4.7-4.8 across UK retailers.,strong,https://www.booktrust.org.uk/book-recommendations/bookfinder/you-choose/ | https://www.penguin.co.uk/books/305040/you-choose-by-goodhart-pippa/9780141379319,good,Ubiquitous second-hand — check condition of well-thumbed copies.,"You Choose Your Dreams (same choice-led format, different theme)",check_price,,Penguin edition ISBN 9780141379319 confirmed live 2026-07-22 (HTTP 200). Prior research pass used a different ISBN and an unverifiable Amazon URL that 404'd at FF check — this pass uses the publisher's own live page as primary.,"Five factors decided order in this category. First, talk-back strength: books that hand the child an explicit choice or question beat books the child only listens to. Second, age overlap: every Top Pick needed a publisher or retailer age mark that genuinely spans 34-36 months, not a bare interest age that starts at 5. Third, ownership risk: You Choose, Pigeon and the Chris Haughton board books are UK household staples, so they rank as borrow-first even when they win on educational fit. Fourth, review depth: board-book editions of newer Chris Haughton titles have thinner UK review counts than the mega-sellers, which is disclosed honestly rather than inflated. Fifth, format and freshness: board editions (Pigeon, Oh No George, Shh We Have a Plan) survive nearly-three handling better than paperback picture books, and Shark in the Park was kept in Top 5 as the lowest-effort entry point when the other four feel too talky for a tired bedtime."
ember_picks_research_v3,2026-07-22,cursor,34-36m,34-36m,cat_picture_story_books,Picture story books with questions,"Questions, stories and bigger chats",product_category,pick,2,2,2,Best for saying no,Don't Let the Pigeon Drive the Bus! (board book),Mo Willems,Amazon UK,https://www.amazon.co.uk/dp/1406386073,https://www.waterstones.com/book/dont-let-the-pigeon-drive-the-bus/mo-willems/9781406386073 | https://www.walker.co.uk/9781406386073/dont-let-the-pigeon-drive-the-bus/,,2026-07-22,in_stock,6.99,£6.99,GBP,2026-07-22,Walker board edition: Ages 1-5,format: Board book | pages: 40 | materials: Board pages | other: Walker Books board edition; original paperback also in print,"Comic board book where a pleading pigeon repeatedly asks the reader to let him drive the bus, and the child must answer.","Every spread gives your child a job: say no, explain why, and hold their ground when the pigeon argues back. It's less choice-led than You Choose, but brilliant when they want to talk back with confidence rather than just pick an option.","#2 over #3: Pigeon's comic call-and-response (say no, explain why) is a stronger nightly talk-back trigger than Oh No George's gentler what-next question, and it has deeper UK review history.",,Call-and-response dialogue lets the child lead the conversation — active talk-back rather than passive listening.,High-energy read — not the calmest bedtime pick if your child is already wound up.,borrow,true,Fun gift for a child who likes being in on the joke — check they don't already own the paperback.,Popular classic — borrow first if the family already has other Mo Willems titles.,,4.8,3200,Amazon UK / Goodreads aggregate,Very high review volume across UK and US editions; consistently 4.7-4.9.,strong,https://www.waterstones.com/book/dont-let-the-pigeon-drive-the-bus/mo-willems/9781406386073 | https://www.walker.co.uk/9781406386073/dont-let-the-pigeon-drive-the-bus/,good,Board editions hold up well to nearly-three handling second-hand.,"Oh No, George! (board)",check_price,,"Primary switched from Waterstones to Amazon UK after Waterstones' bot-protection returned intermittent 403/429 responses on repeat automated checks; Amazon UK page confirmed genuine (matching title, no captcha) and live-checked 200 on 2026-07-22. Waterstones' own listing shows a generic 'Interest age: From 5 years' field that does not match this board edition — Walker's board-book age mark (Ages 1-5) is used instead, as it reflects the format actually being sold.",
ember_picks_research_v3,2026-07-22,cursor,34-36m,34-36m,cat_picture_story_books,Picture story books with questions,"Questions, stories and bigger chats",product_category,pick,3,3,3,Best for guessing what's next,"Oh No, George! (board book)",Chris Haughton,Amazon UK,https://www.amazon.co.uk/dp/140635791X,https://www.waterstones.com/book/oh-no-george/chris-haughton/9781406357912 | https://uk.bookshop.org/p/books/oh-no-george-a-hilarious-read-aloud-classic-about-a-dog-trying-his-best-to-be-good-the-perfect-gift-for-tickling-funny-bones-chris-haughton/f94edd4d32692e2b?ean=9781406357912 | https://www.booktrust.org.uk/book-recommendations/bookfinder/oh-no-george/,,2026-07-22,in_stock,6.99,£6.99,GBP,2026-07-22,Walker board edition: Ages 1-5,format: Board book | pages: 32 | materials: Board pages,George the dog wants to be good but keeps giving in to temptation — the reader is asked what he should do and what happens next.,"George keeps asking your child what he should do next, and whether he'll get it wrong again — a proper prediction loop, not a one-off question. Good for a child who likes calling out the answer before you turn the page.","#3 over #4: George's repeated what-will-he-do-next beat keeps talk-back going page after page, edging out Shh's quieter suspense which leans more on prediction than explanation.",,"The repeated will-he-won't-he beat keeps talk-back going page after page — prediction plus explanation, not passive narration.",Board edition review count is thinner than the mega-sellers in this list — still comfortably above the review bar.,borrow,true,Nice gift alongside another Haughton title if the family collects the set.,Less universally owned than You Choose or Pigeon — lower duplication risk.,,4.6,210,Amazon UK / Goodreads aggregate,Solid UK review base for a board edition; hardback/paperback editions add further corroboration.,good,https://www.waterstones.com/book/oh-no-george/chris-haughton/9781406357912 | https://uk.bookshop.org/p/books/oh-no-george-a-hilarious-read-aloud-classic-about-a-dog-trying-his-best-to-be-good-the-perfect-gift-for-tickling-funny-bones-chris-haughton/f94edd4d32692e2b?ean=9781406357912,good,Board editions hold up well second-hand.,Shh! We Have a Plan (board),check_price,,"Primary switched from Waterstones to Amazon UK after Waterstones' bot-protection returned intermittent 403/429 responses on repeat automated checks; Amazon UK page confirmed genuine (matching title, no captcha) and live-checked 200 on 2026-07-22. Bookshop.org alternate also confirmed matching ISBN 9781406357912 (ean parameter). Waterstones 'Interest age' field not used for the same reason as the Pigeon board edition — Walker's board-book age mark used instead.",
ember_picks_research_v3,2026-07-22,cursor,34-36m,34-36m,cat_picture_story_books,Picture story books with questions,"Questions, stories and bigger chats",product_category,pick,4,4,4,Best for predicting plans,Shh! We Have a Plan (board book),Chris Haughton,Amazon UK,https://www.amazon.co.uk/dp/1406361658,https://www.waterstones.com/book/shh-we-have-a-plan/chris-haughton/9781406361650 | https://www.walker.co.uk/9781406361650/shh-we-have-a-plan/,,2026-07-22,in_stock,6.99,£6.99,GBP,2026-07-22,Walker board edition: Ages 1-5,format: Board book | pages: 32 | materials: Board pages,"Four friends creep through the woods with a hushed plan to catch a bird, while one friend keeps getting it wrong.","Your child has to work out whether the plan will actually work, and explain what went wrong when it doesn't. Quieter than Pigeon or George, so it's a better fit for a calmer chat rather than a giggly one.","#4 over #5: Shh's silent-plan suspense still asks the child to predict and explain, which sits closer to the cluster's talk-back objective than Shark in the Park's simpler spot-the-shark refrain.",,"The hushed, repeated plan-then-mishap structure asks the child to predict outcomes and explain what went wrong — talk-back without the noise of Pigeon or George.",Board edition review count is modest — comfortably above the review bar but thinner than the household-name picks.,borrow,true,Works well as part of a small Chris Haughton set gift.,Lower duplication risk than You Choose or Pigeon.,,4.6,180,Amazon UK / Goodreads aggregate,Consistent 4.6-4.8 across UK retailers for a mid-list board title.,good,https://www.waterstones.com/book/shh-we-have-a-plan/chris-haughton/9781406361650 | https://www.walker.co.uk/9781406361650/shh-we-have-a-plan/,good,Board editions hold up well second-hand.,A Bit Lost (board),check_price,,"Primary switched from Waterstones to Amazon UK after Waterstones' bot-protection returned intermittent 403/429 responses on repeat automated checks; Amazon UK page confirmed genuine (matching title, no captcha) and live-checked 200 on 2026-07-22. 'Interest age' field on Waterstones not used for the same reason as the other Haughton board editions — Walker's board-book age mark used instead.",
ember_picks_research_v3,2026-07-22,cursor,34-36m,34-36m,cat_picture_story_books,Picture story books with questions,"Questions, stories and bigger chats",product_category,pick,5,5,5,Best for is-it-a-shark guesses,Shark in the Park,Nick Sharratt,Penguin UK,https://www.penguin.co.uk/books/327168/shark-in-the-park-by-sharratt-nick/9780552549776,https://www.nicksharratt.com/books/shark-in-the-park,,2026-07-22,in_stock,6.99,£6.99,GBP,2026-07-22,Publisher shelf mark: Ages 2-5,format: Picture book (paperback) | pages: 32 | materials: Paper,Timmy looks through his telescope in the park and repeatedly wonders 'is it a shark?' — the reader answers each time.,"The lightest, most repeatable pick on this list — perfect for a tired evening when the other four feel too talky. Your child answers the same question in a new way each time, which is a gentle entry point into talk-back rather than the deepest one.","#5: Included as the lightest, most repeatable option — a good entry point for what-do-you-see chat when the other four feel too talky for a tired bedtime, even though it asks less explanation than ranks 1-4.",,"The repeated is-it-a-shark question is simpler than the Top 4's choice or plan-led formats, but still asks the child to look, guess and explain what they see.","Less explanation-heavy than the rest of the Top 5 — a good warm-up, not the main event, for a chatty nearly-three.",borrow,true,Good small gift alongside a bigger present — check the shelf for other Sharratt titles first.,Popular Sharratt classic — borrow first if the family already owns other titles by the same illustrator.,,4.8,2100,Amazon UK,Very high review volume; consistently 4.7-4.9 across editions.,strong,https://www.penguin.co.uk/books/327168/shark-in-the-park-by-sharratt-nick/9780552549776 | https://www.nicksharratt.com/books/shark-in-the-park,good,Picture books hold up well second-hand.,Oi Frog!,check_price,,"Penguin ISBN 9780552549776 live-checked 2026-07-22 (HTTP 200). No structured age mark found in the Penguin page HTML on check date; 'Ages 2-5' reflects the publisher's long-standing shelf classification for this Sharratt title, flagged for a founder spot-check.",
ember_picks_research_v3,2026-07-22,cursor,34-36m,34-36m,cat_picture_story_books,Picture story books with questions,"Questions, stories and bigger chats",product_category,pick,,1,1,Best for open choices,You Choose,Pippa Goodhart & Nick Sharratt,Penguin UK,https://www.penguin.co.uk/books/305040/you-choose-by-goodhart-pippa/9780141379319,,,2026-07-22,in_stock,,£7.99,GBP,2026-07-22,BookTrust interest age 3-7 years,,,,"#1 over #2: asks the child to pick and explain on every spread, a more open-ended prompt than Pigeon's single repeated question.",,Choice-led pages are the category benchmark for nearly-three talk-back — borrow first if already owned.,Very widely owned — check the shelf first.,borrow,true,,,,4.8,4300,,,strong,,,,,,,,
ember_picks_research_v3,2026-07-22,cursor,34-36m,34-36m,cat_picture_story_books,Picture story books with questions,"Questions, stories and bigger chats",product_category,pick,,2,2,Best for saying no,Don't Let the Pigeon Drive the Bus! (board book),Mo Willems,Amazon UK,https://www.amazon.co.uk/dp/1406386073,,,2026-07-22,in_stock,,£6.99,GBP,2026-07-22,Walker board edition: Ages 1-5,,,,"#2 over #3: a stronger nightly talk-back trigger than Oh No George's gentler what-next question, with deeper UK review history.",,Comic call-and-response gives the child a repeated job: say no and explain why.,High-energy — not the calmest bedtime pick.,borrow,true,,,,4.8,3200,,,strong,,,,,,,,
ember_picks_research_v3,2026-07-22,cursor,34-36m,34-36m,cat_picture_story_books,Picture story books with questions,"Questions, stories and bigger chats",product_category,pick,,3,3,Best for guessing what's next,"Oh No, George! (board book)",Chris Haughton,Amazon UK,https://www.amazon.co.uk/dp/140635791X,,,2026-07-22,in_stock,,£6.99,GBP,2026-07-22,Walker board edition: Ages 1-5,,,,"#3 over #4: keeps talk-back going page after page, edging out Shh's quieter suspense which leans more on prediction than explanation.",,Repeated will-he-won't-he beat keeps prediction and explanation going page after page.,"Thinner review base than the mega-sellers, still well above the bar.",borrow,true,,,,4.6,210,,,good,,,,,,,,
ember_picks_research_v3,2026-07-22,cursor,34-36m,34-36m,cat_picture_story_books,Picture story books with questions,"Questions, stories and bigger chats",product_category,pick,,4,4,Best for predicting plans,Shh! We Have a Plan (board book),Chris Haughton,Amazon UK,https://www.amazon.co.uk/dp/1406361658,,,2026-07-22,in_stock,,£6.99,GBP,2026-07-22,Walker board edition: Ages 1-5,,,,#4 over #5: closer to the cluster's talk-back objective than Shark in the Park's simpler spot-the-shark refrain.,,Hushed plan-then-mishap structure asks the child to predict and explain without the noise of Pigeon or George.,Modest review count — comfortably above the bar.,borrow,true,,,,4.6,180,,,good,,,,,,,,
ember_picks_research_v3,2026-07-22,cursor,34-36m,34-36m,cat_picture_story_books,Picture story books with questions,"Questions, stories and bigger chats",product_category,pick,,5,5,Best for is-it-a-shark guesses,Shark in the Park,Nick Sharratt,Penguin UK,https://www.penguin.co.uk/books/327168/shark-in-the-park-by-sharratt-nick/9780552549776,,,2026-07-22,in_stock,,£6.99,GBP,2026-07-22,Publisher shelf mark: Ages 2-5,,,,"#5: lightest, most repeatable option — good for tired evenings when the other four feel too talky, but asks less explanation than ranks 1-4.",,"Repeated is-it-a-shark question is a gentle, high-repeat entry point into talk-back.",Simpler format than the choice/plan-led picks above it.,borrow,true,,,,4.8,2100,,,strong,,,,,,,,
