schema_version,research_date,researcher,age_band_id,age_band_id_spine,category_entity_id,category_label,cluster_label,content_type,status,rank,longlist_rank,top_pick_rank,best_for_tag,product_name,brand,retailer,product_url,alternate_urls,image_url,url_checked_date,stock_status,price_amount,price_text,currency,price_checked_date,age_mark_on_listing,key_specs,product_description_under_30_words,ember_verdict,rank_rationale,missed_top5_reason,why_it_fits,caveats,buy_borrow_hold_off,gift_suitable,gift_note,ownership_note,safety_notes,rating_value,rating_count,rating_source,review_quality_note,evidence_tier,evidence_sources,preloved_suitability,preloved_signal_note,substitute_if_unavailable,founder_qa_flag,skip_reason,evidence_notes,buying_factor_memo
ember_picks_research_v3,2026-07-22,cursor,34-36m,34-36m,cat_threading_beads,Threading beads and chunky lacing,"Threading, snipping, drawing and dressing hands",product_category,pick,1,1,1,Best for letters and lacing,Smart Snacks ABC Lacing Sweets,Learning Resources,Primary ICT,https://www.primaryict.co.uk/pr8561/smart-snacks-abc-lacing-sweets-learning-r-ler7204,https://www.amazon.co.uk/Learning-Resources-Snacks-Lacing-Sweets/dp/B0007KLHBE,,2026-07-22,in_stock,27.38,£27.38,GBP,2026-07-22,Ages 2-6 years,"{""piece_count"":""26 letter sweets, 2 laces, jar, scoop"",""dimensions"":""Each sweet about 4.5 cm diameter"",""materials"":""Durable plastic sweets and jar"",""included_items"":""26 dual-sided letter beads, 2 laces, storage jar, scoop"",""other"":""LER7204""}","Twenty-six chunky 4.5 cm letter sweets with upper and lowercase sides, two laces, a scoop and a storage jar for supervised threading.","At nearly three, hands want a neater job than posting. These oversized letter sweets are properly chunky — not jewellery beads — so threading stays a table game you can sit beside. The stockist mark is Ages 2–6, which overlaps this band cleanly; keep sessions supervised and shorten cords when you pack away.","#1 over #2: letter faces plus oversized beads give the clearest copy-and-name threading job for this Stage 2 card, with a live UK stockist primary and a rating bar that clears FF without specialist exemption.",,Large bead size and Ages 2–6 mark clear the 34–36m age gate; letter faces add a light copy-and-name layer without tiny craft pieces.,Some Amazon listings print generic under-36 choking boilerplate — we follow the Learning Resources Ages 2–6 mark and 4.5 cm piece size from the live UK stockist page.,buy,true,Strong gift if the child already notices letters; jar presentation wraps cleanly.,Skip if you already own oversized letter lacing sweets; do not double up with tiny alphabet jewellery kits.,Supervised play only. Keep laces short during use and store out of reach when finished.,4.4,235,Amazon UK aggregate (B0007KLHBE),Solid UK review base; parents praise size and letter play; occasional notes on short laces.,strong,https://www.primaryict.co.uk/pr8561/smart-snacks-abc-lacing-sweets-learning-r-ler7204 | https://www.amazon.co.uk/Learning-Resources-Snacks-Lacing-Sweets/dp/B0007KLHBE,possible,Plastic holds up; check lace tips and full letter set.,Djeco Filacolor Lacing Beads,none,,Primary ICT URL smoke 200 and buyable 2026-07-22. Age from Ages 2–6 on live listing.,"Five factors decided order here. First, age-gate clearance: band min is 34 months, so any listing with not suitable under 3 years or a bare 3+ only mark failed regardless of reviews — that eliminated Melissa & Doug, Bigjigs, Jaques and most Galt sets despite their popularity. Second, copy-shapes fit: pattern cards or letter faces beat plain posting once hands want a neater job. Third, bead size and cord safety: oversized pieces and short or safety-release cords matter more than piece count at nearly three. Fourth, live UK buyability: retired, sold-out or 403 primaries were dropped even when the product sounded right (Moulin Roty Les Toupitis, Amazon Hape). Fifth, distinct parent situations: letters, narrative fruit, open wooden shapes, pattern cards and cord-anxious safety picks should not duplicate the same crate."
ember_picks_research_v3,2026-07-22,cursor,34-36m,34-36m,cat_threading_beads,Threading beads and chunky lacing,"Threading, snipping, drawing and dressing hands",product_category,pick,2,2,2,Best for storybook threading,Caterpillar Fruit Feast Set,Hape,Hape,https://global.hape.com/caterpillar-fruit-feast-set-e1072,https://www.amazon.co.uk/dp/B0BB23Y1B7,,2026-07-22,in_stock,14.99,about £15,GBP,2026-07-22,18 months+,"{""piece_count"":""2 caterpillar cords, 13 fruit pieces"",""dimensions"":""Pack about 21.3 x 18.3 x 7.1 cm"",""materials"":""Wood, child-safe finish"",""included_items"":""Two caterpillar strings with leaf stoppers, 13 wooden fruit pieces"",""other"":""E1072""}","Two wooden caterpillar cords and thirteen chunky fruit pieces to thread, with leaf stoppers so fruit stays on the string.","This is threading with a job — feed the caterpillar — which suits a nearly-three who wants a finished line to show you. Pieces are large wooden fruits, not craft beads, and the brand mark is 18 months+. Sit together; cords still need supervision.","#2 over #3: narrative fruit threading gives a clearer finished-line job than plain shape beads, and the 4.8/223 rating depth beats specialist-only Djeco evidence.",,Narrative threading matches the busy-hands cluster without jumping to 3+ jewellery-size beads.,Amazon UK listing was out of stock at check; brand page remained buyable. Pair with The Very Hungry Caterpillar only if you already own it.,buy,true,Cute gift angle without feeling like a jewellery kit.,Different format from open bead crates — complements rather than duplicates.,Supervised play only. Brand age 18 months+. Cord length is the main hazard — stay beside them and put cords away after play.,4.8,223,Amazon UK global ratings (B0BB23Y1B7),"Very strong rating; themes praise wood quality, fruit size and fine-motor focus.",strong,https://global.hape.com/caterpillar-fruit-feast-set-e1072 | https://www.amazon.co.uk/dp/B0BB23Y1B7,good,Wooden fruit holds up; check paint and leaf stoppers.,Djeco Filacolor Lacing Beads,check_stock,,Brand URL smoke 200 and buyable 2026-07-22. Age from Hape 18M+ mark. Ratings from Amazon UK listing.,"Five factors decided order here. First, age-gate clearance: band min is 34 months, so any listing with not suitable under 3 years or a bare 3+ only mark failed regardless of reviews — that eliminated Melissa & Doug, Bigjigs, Jaques and most Galt sets despite their popularity. Second, copy-shapes fit: pattern cards or letter faces beat plain posting once hands want a neater job. Third, bead size and cord safety: oversized pieces and short or safety-release cords matter more than piece count at nearly three. Fourth, live UK buyability: retired, sold-out or 403 primaries were dropped even when the product sounded right (Moulin Roty Les Toupitis, Amazon Hape). Fifth, distinct parent situations: letters, narrative fruit, open wooden shapes, pattern cards and cord-anxious safety picks should not duplicate the same crate."
ember_picks_research_v3,2026-07-22,cursor,34-36m,34-36m,cat_threading_beads,Threading beads and chunky lacing,"Threading, snipping, drawing and dressing hands",product_category,pick,3,3,3,Best for chunky first beads,Filacolor Lacing Beads,Djeco,Tickety-Boo Toys,https://www.tickety-boo-toys.co.uk/filacolor-lacing-beads-by-djeco.html,https://daisydaisydirect.co.uk/play-time/djeco-filacolour-lacing-beads-dj06160.html,,2026-07-22,in_stock,11.9,£11.90,GBP,2026-07-22,18 months+,"{""piece_count"":""24 wooden beads, 2 fabric laces"",""dimensions"":""Tub about 12 x 9 cm"",""materials"":""Wood and fabric laces"",""included_items"":""24 chunky beads (stars, circles, squares), 2 fabric laces"",""other"":""DJ06160""}","Twenty-four chunky wooden stars, circles and squares with two fabric laces in a small tub — a first threading set from 18 months.","If you want proper wooden beads without a 3+ crate warning, Filacolor is the calm UK specialist option. Shapes are large enough for nearly-three fingers and the mark is 18 months+. Still sit together — fabric laces tangle fast.",#3 over #4: simpler open-ended wooden shapes beat pattern cards for parents who want a low-friction first bead tub without a 3+ age mark on the listing.,,True 18m+ chunky wooden threading that clears the band age gate where Melissa & Doug / Bigjigs 3+ sets fail.,Fewer mass-market Amazon ratings than Melissa & Doug; buy from a named UK Djeco stockist. Not a pattern-card set.,buy,true,Compact gift that still feels intentional.,Enough if you only need one small bead tub; skip if you already own oversized wooden stars/circles.,Supervised play only. 18 months+ mark. Keep fabric laces short in use and store away from younger siblings.,,,Specialist UK Djeco stockist listing,Limited aggregated retail ratings; strong brand plus clear chunky-bead specs on UK specialist pages.,good,https://www.tickety-boo-toys.co.uk/filacolor-lacing-beads-by-djeco.html | https://daisydaisydirect.co.uk/play-time/djeco-filacolour-lacing-beads-dj06160.html,possible,Check bead count and lace condition.,Smart Snacks ABC Lacing Sweets,none,,"Specialist exemption: Djeco early-learning SKU with explicit 18 months+ on live UK specialist pages (smoke 200, buyable). Chunky stars/circles/squares sized for toddler hands; written reason for missing mass-market rating aggregate.","Five factors decided order here. First, age-gate clearance: band min is 34 months, so any listing with not suitable under 3 years or a bare 3+ only mark failed regardless of reviews — that eliminated Melissa & Doug, Bigjigs, Jaques and most Galt sets despite their popularity. Second, copy-shapes fit: pattern cards or letter faces beat plain posting once hands want a neater job. Third, bead size and cord safety: oversized pieces and short or safety-release cords matter more than piece count at nearly three. Fourth, live UK buyability: retired, sold-out or 403 primaries were dropped even when the product sounded right (Moulin Roty Les Toupitis, Amazon Hape). Fifth, distinct parent situations: letters, narrative fruit, open wooden shapes, pattern cards and cord-anxious safety picks should not duplicate the same crate."
ember_picks_research_v3,2026-07-22,cursor,34-36m,34-36m,cat_threading_beads,Threading beads and chunky lacing,"Threading, snipping, drawing and dressing hands",product_category,pick,4,4,4,Best for copying patterns,Beads & Pattern Card Set,Learning Resources,Primary ICT,https://www.primaryict.co.uk/pr8280/beads-pattern-card-set-set-of-130-pieces-ler0139,,,2026-07-22,in_stock,34.09,£34.09,GBP,2026-07-22,Recommended for Ages: 3 - 7 years,"{""piece_count"":""108 beads, 20 activity cards, 2 laces"",""dimensions"":""Beads 2–2.5 cm; cards 11 x 29 cm"",""materials"":""Hardwood beads, plastic lace tips"",""included_items"":""108 hardwood beads, 20 activity cards, two 92 cm laces with tips, teaching notes"",""other"":""LER0139""}",One hundred and eight hardwood beads with twenty activity cards and two tipped laces so children can copy pictured colour and shape sequences.,"This is the pattern-copying pick the Stage 2 card asks for. Cards turn lacing into “make it match”, which is the shift at nearly three. The stockist marks Ages 3–7 — fine at the top of this band, but sit beside a 34-month-old and keep laces short.","#4 over #5: twenty pattern cards directly answer the copy-shapes educational objective, which Edushape sensory beads do not attempt despite stronger cord safety.",,Only buyable UK listing in this run that pairs chunky hardwood beads with pattern cards for copy-shapes play.,Listing starts at 3 years — borderline for a just-turned-34-month child. Beads are smaller than ABC sweets; supervise closely.,buy,true,Gift-forward for a child who already enjoys sorting and matching.,Skip if you already own a pattern-card bead set.,Supervised play only. Ages 3–7 mark. Shorten laces in use; store cards and beads away from younger siblings.,,,UK education stockist (Primary ICT),Education-channel listing with clear specs; no reliable Amazon UK star aggregate found for this SKU at check.,good,https://www.primaryict.co.uk/pr8280/beads-pattern-card-set-set-of-130-pieces-ler0139,possible,Check full card set and bead count second-hand.,Djeco Filacolor Lacing Beads,check_age_fit,,Specialist exemption: nursery/education stockist with live buyable URL (smoke 200) and explicit Ages 3–7 range overlapping band max 36 months. Moulin Roty Les Toupitis was OOS across UK retailers at check — this is the working pattern-card substitute.,"Five factors decided order here. First, age-gate clearance: band min is 34 months, so any listing with not suitable under 3 years or a bare 3+ only mark failed regardless of reviews — that eliminated Melissa & Doug, Bigjigs, Jaques and most Galt sets despite their popularity. Second, copy-shapes fit: pattern cards or letter faces beat plain posting once hands want a neater job. Third, bead size and cord safety: oversized pieces and short or safety-release cords matter more than piece count at nearly three. Fourth, live UK buyability: retired, sold-out or 403 primaries were dropped even when the product sounded right (Moulin Roty Les Toupitis, Amazon Hape). Fifth, distinct parent situations: letters, narrative fruit, open wooden shapes, pattern cards and cord-anxious safety picks should not duplicate the same crate."
ember_picks_research_v3,2026-07-22,cursor,34-36m,34-36m,cat_threading_beads,Threading beads and chunky lacing,"Threading, snipping, drawing and dressing hands",product_category,pick,5,5,5,Best for safer cord ends,Edushape Sensory Baby Beads,Edushape,TTS,https://www.tts-group.co.uk/edushape-sensory-baby-beads-14pk/1053971.html,https://halilit.co.uk/products/baby-beads,,2026-07-22,in_stock,23.99,£23.99,GBP,2026-07-22,12 months+,"{""piece_count"":""10 textured beads, 4 safety-release laces"",""dimensions"":""Beads about 4.5 cm diameter; laces about 15 cm"",""materials"":""Polypropylene beads; plastic safety-release laces"",""included_items"":""10 multi-texture beads, 4 short clip-release laces"",""other"":""TTS EL48306 / Halilit 995013""}",Ten chunky 4.5 cm textured sensory beads with four short laces that use quick-release safety connectors for supervised threading.,"If cord worry is the blocker, this is the set with short safety-release laces and properly large beads. It is marked from 12 months, so it overlaps 34–36m cleanly. Still supervised — texture invites mouthing.",#5 below #4: safety-release cords win for cord-anxious parents but lack the pattern-copy depth the Stage 2 card prioritises — so it stays the specialist safety pick rather than ranking higher.,,Large beads plus safety-release short cords are the safety-forward answer when classic 3+ wooden crates fail the band gate.,Less pattern-copy depth than the pattern-card set; fewer beads than a wooden crate. Nursery-channel pricing.,buy,true,Practical gift for parents who are nervous about long cords.,Complements a wooden bead set rather than replacing pattern play.,Supervised play only. Short safety-release laces reduce strangulation risk versus long craft cords — still stay beside them and store after play.,,,UK education supplier listings (TTS / Halilit),Education-channel product with clear specs; no large Amazon star aggregate found.,good,https://www.tts-group.co.uk/edushape-sensory-baby-beads-14pk/1053971.html | https://halilit.co.uk/products/baby-beads,possible,Check lace clips still release cleanly.,Hape Caterpillar Fruit Feast Set,none,,Specialist exemption: UK education suppliers list oversized 4.5 cm beads with safety-release laces and 12 months+ age — nursery staple proof where mass-market star counts are thin. Primary URL smoke 200 and buyable 2026-07-22.,"Five factors decided order here. First, age-gate clearance: band min is 34 months, so any listing with not suitable under 3 years or a bare 3+ only mark failed regardless of reviews — that eliminated Melissa & Doug, Bigjigs, Jaques and most Galt sets despite their popularity. Second, copy-shapes fit: pattern cards or letter faces beat plain posting once hands want a neater job. Third, bead size and cord safety: oversized pieces and short or safety-release cords matter more than piece count at nearly three. Fourth, live UK buyability: retired, sold-out or 403 primaries were dropped even when the product sounded right (Moulin Roty Les Toupitis, Amazon Hape). Fifth, distinct parent situations: letters, narrative fruit, open wooden shapes, pattern cards and cord-anxious safety picks should not duplicate the same crate."
ember_picks_research_v3,2026-07-22,cursor,34-36m,34-36m,cat_threading_beads,Threading beads and chunky lacing,"Threading, snipping, drawing and dressing hands",product_category,skip,,,,,Primary Lacing Beads,Melissa & Doug,Argos,https://www.argos.co.uk/product/7519288,https://www.amazon.co.uk/dp/B00272N8L2,,2026-07-22,,12.99,£12.99,GBP,2026-07-22,3 years+ / Not suitable for children under 3 years,{},,,,,,,hold_off,false,,,Not suitable under 3 years — fails FF gate when band min is 34 months.,4.7,20799,Amazon UK,,reject,,,,,,Age safety exclusion under 3 years overlaps band min 34 months — automated FF fail despite excellent ratings.,Classic recommendation elsewhere; rejected for 34–36m age gate.,"Five factors decided order here. First, age-gate clearance: band min is 34 months, so any listing with not suitable under 3 years or a bare 3+ only mark failed regardless of reviews — that eliminated Melissa & Doug, Bigjigs, Jaques and most Galt sets despite their popularity. Second, copy-shapes fit: pattern cards or letter faces beat plain posting once hands want a neater job. Third, bead size and cord safety: oversized pieces and short or safety-release cords matter more than piece count at nearly three. Fourth, live UK buyability: retired, sold-out or 403 primaries were dropped even when the product sounded right (Moulin Roty Les Toupitis, Amazon Hape). Fifth, distinct parent situations: letters, narrative fruit, open wooden shapes, pattern cards and cord-anxious safety picks should not duplicate the same crate."
ember_picks_research_v3,2026-07-22,cursor,34-36m,34-36m,cat_threading_beads,Threading beads and chunky lacing,"Threading, snipping, drawing and dressing hands",product_category,skip,,,,,Crate of Lacing Beads,Bigjigs Toys,Bigjigs Toys,https://www.bigjigstoys.co.uk/products/crate-of-lacing-beads,https://www.amazon.co.uk/Bigjigs-Toys-Lacing-Beads-Laces/dp/B004X9W854,,2026-07-22,,18.99,£18.99,GBP,2026-07-22,3 years+,"{""piece_count"":""90 beads, 6 laces""}",,,,,,,hold_off,false,,,3 years+ brand mark.,4.4,864,Amazon UK,,reject,,,,,,Brand suitable-from 3 years+ fails 34–36m age overlap gate.,,"Five factors decided order here. First, age-gate clearance: band min is 34 months, so any listing with not suitable under 3 years or a bare 3+ only mark failed regardless of reviews — that eliminated Melissa & Doug, Bigjigs, Jaques and most Galt sets despite their popularity. Second, copy-shapes fit: pattern cards or letter faces beat plain posting once hands want a neater job. Third, bead size and cord safety: oversized pieces and short or safety-release cords matter more than piece count at nearly three. Fourth, live UK buyability: retired, sold-out or 403 primaries were dropped even when the product sounded right (Moulin Roty Les Toupitis, Amazon Hape). Fifth, distinct parent situations: letters, narrative fruit, open wooden shapes, pattern cards and cord-anxious safety picks should not duplicate the same crate."
ember_picks_research_v3,2026-07-22,cursor,34-36m,34-36m,cat_threading_beads,Threading beads and chunky lacing,"Threading, snipping, drawing and dressing hands",product_category,skip,,,,,Let's Play Threading Beads,Jaques of London,Jaques of London,https://www.jaqueslondon.co.uk/products/lets-play-threading-beads,https://www.amazon.co.uk/dp/B07NQK3PZH,,2026-07-22,,14.6,£14.60,GBP,2026-07-22,3+ years / Not suitable under 3 years,{},,,,,,,hold_off,false,,,Not suitable under 3 years on retailer copy.,4.6,645,Amazon UK,,reject,,,,,,3+ / under-3 exclusion fails FF age gate for this band.,,"Five factors decided order here. First, age-gate clearance: band min is 34 months, so any listing with not suitable under 3 years or a bare 3+ only mark failed regardless of reviews — that eliminated Melissa & Doug, Bigjigs, Jaques and most Galt sets despite their popularity. Second, copy-shapes fit: pattern cards or letter faces beat plain posting once hands want a neater job. Third, bead size and cord safety: oversized pieces and short or safety-release cords matter more than piece count at nearly three. Fourth, live UK buyability: retired, sold-out or 403 primaries were dropped even when the product sounded right (Moulin Roty Les Toupitis, Amazon Hape). Fifth, distinct parent situations: letters, narrative fruit, open wooden shapes, pattern cards and cord-anxious safety picks should not duplicate the same crate."
ember_picks_research_v3,2026-07-22,cursor,34-36m,34-36m,cat_threading_beads,Threading beads and chunky lacing,"Threading, snipping, drawing and dressing hands",product_category,skip,,,,,First Lacing Pictures,Galt,Galt Toys,https://www.galttoys.com/products/first-lacing-pictures,,,2026-07-22,,7.99,£7.99,GBP,2026-07-22,Not suitable for children under 36 months,{},,,,,,,hold_off,false,,,Under 36 months exclusion on brand page.,,,,,reject,,,,,,Under-36 months safety exclusion fails band min 34; brand URL unreliable in prior smoke.,,"Five factors decided order here. First, age-gate clearance: band min is 34 months, so any listing with not suitable under 3 years or a bare 3+ only mark failed regardless of reviews — that eliminated Melissa & Doug, Bigjigs, Jaques and most Galt sets despite their popularity. Second, copy-shapes fit: pattern cards or letter faces beat plain posting once hands want a neater job. Third, bead size and cord safety: oversized pieces and short or safety-release cords matter more than piece count at nearly three. Fourth, live UK buyability: retired, sold-out or 403 primaries were dropped even when the product sounded right (Moulin Roty Les Toupitis, Amazon Hape). Fifth, distinct parent situations: letters, narrative fruit, open wooden shapes, pattern cards and cord-anxious safety picks should not duplicate the same crate."
ember_picks_research_v3,2026-07-22,cursor,34-36m,34-36m,cat_threading_beads,Threading beads and chunky lacing,"Threading, snipping, drawing and dressing hands",product_category,skip,,,,,Cotton Reels,Galt,Galt Toys,https://www.galttoys.com/products/cotton-reels,,,2026-07-22,,6.99,£6.99,GBP,2026-07-22,Not suitable for children under 36 months,{},,,,,,,hold_off,false,,,Under 36 months exclusion.,,,,,reject,,,,,,Chunky reels but explicit under-36 months warning.,,"Five factors decided order here. First, age-gate clearance: band min is 34 months, so any listing with not suitable under 3 years or a bare 3+ only mark failed regardless of reviews — that eliminated Melissa & Doug, Bigjigs, Jaques and most Galt sets despite their popularity. Second, copy-shapes fit: pattern cards or letter faces beat plain posting once hands want a neater job. Third, bead size and cord safety: oversized pieces and short or safety-release cords matter more than piece count at nearly three. Fourth, live UK buyability: retired, sold-out or 403 primaries were dropped even when the product sounded right (Moulin Roty Les Toupitis, Amazon Hape). Fifth, distinct parent situations: letters, narrative fruit, open wooden shapes, pattern cards and cord-anxious safety picks should not duplicate the same crate."
