schema_version,research_date,researcher,age_band_id,age_band_id_spine,category_entity_id,category_label,cluster_label,content_type,status,rank,longlist_rank,top_pick_rank,best_for_tag,product_name,brand,retailer,product_url,alternate_urls,image_url,url_checked_date,stock_status,price_amount,price_text,currency,price_checked_date,age_mark_on_listing,key_specs,product_description_under_30_words,ember_verdict,rank_rationale,missed_top5_reason,why_it_fits,caveats,buy_borrow_hold_off,gift_suitable,gift_note,ownership_note,safety_notes,rating_value,rating_count,rating_source,review_quality_note,evidence_tier,evidence_sources,preloved_suitability,preloved_signal_note,substitute_if_unavailable,founder_qa_flag,skip_reason,evidence_notes,buying_factor_memo
ember_picks_research_v3,2026-07-22,cursor,34-36m,34-36m,cat_feelings_faces_books,Feelings and friendship books,"Feelings, friends and turn-taking",product_category,pick,1,1,1,Best for jealous moments,Pip and Posy: The New Friend,Camilla Reid & Axel Scheffler,Amazon UK,https://www.amazon.co.uk/dp/0857638742,https://nosycrow.com/book/pip-and-posy-the-new-friend/,,2026-07-22,in_stock,7.99,£7.99,GBP,2026-07-22,Nosy Crow series shelf: Ages 2-5,"{""format"":""Picture book"",""pages"":""32"",""materials"":""Paper"",""included_items"":"""",""other"":""""}","At the beach, Posy wakes to find Pip playing with new friend Zac — jealousy, then a small kind act reunites them.","Not another feelings chart — this is the moment your child watches their best friend laugh with someone else. Posy fixes it herself, which gives you language for real playgroup wobbles without you stepping in as referee.","#1 over #2: third-friend jealousy is the sharpest 34–36m social wobble and Posy’s self-repair beats Little Whale’s sharing lesson on specificity, even though both clear the friendship brief.",,"Shows jealousy, inclusion and repair in peer play without adult rescue — the core 34–36m shift beyond emotion labelling.",Paperback is the value pick; board book ISBN differs. Pip & Posy titles are widely owned — borrow first.,borrow,true,Warm story gift after a messy playdate — check they do not already own Pip & Posy titles.,Borrow or bring back out if nursery already has the Pip & Posy set.,,4.9,457,Amazon UK paperback ISBN 9780857638748,Consistent 4.8–4.9 across UK retailers for this Nosy Crow paperback.,strong,https://nosycrow.com/book/pip-and-posy-the-new-friend/ | https://www.motherandbaby.com/reviews/toddler-toys/the-best-books-for-teaching-children-to-share/,good,Picture books hold up well second-hand — check for scribbles on well-loved copies.,Will You Be My Friend?,none,,Amazon UK primary smoke- and availability-checked buyable 2026-07-22. Nosy Crow age band 2–5 captured from publisher series page.,"Five factors decided order. First, social-repair fit: stories where two or three children negotiate sharing, jealousy or sorry beat solo feelings charts. Second, age overlap: every Top Pick needed a listing age mark spanning 34–36 months — bare “from 5 years” interest ages were rejected. Third, scene specificity: Pip & Posy’s third-friend jealousy and Little Whale’s snack-sharing row map closer to real playdates than abstract kindness metaphors. Fourth, review depth: newer titles (Little Whale) stay in only where editorial comparables and 15+ UK reviews clear the bar. Fifth, buyability: primaries must be purchasable today — On Sudden Hill moved to longlist backup after availability check flagged out of stock on the only stable UK primary."
ember_picks_research_v3,2026-07-22,cursor,34-36m,34-36m,cat_feelings_faces_books,Feelings and friendship books,"Feelings, friends and turn-taking",product_category,pick,2,2,2,Best for sharing rows,"Can You Share, Little Whale?",Jonny Lambert,Little Tiger,https://littletiger.co.uk/product/can-you-share-little-whale-2,https://www.lovereading4kids.co.uk/book/9781801044073/isbn/Can-You-Share-Little-Whale-by-Jonny-Lambert.html,,2026-07-22,in_stock,7.99,£7.99,GBP,2026-07-22,Preschool picture book; publisher compares to ages 3-5 sharing titles,"{""format"":""Picture book"",""pages"":""32"",""materials"":""Paper"",""included_items"":"""",""other"":""""}","Little Whale hates sharing the pod, snacks and Mum's attention until friend Blue models what sharing looks like.",Fresh 2024 pick for the tug-of-war over the good toy or the front of the queue. Less abstract than colour jars — a concrete story about turn-taking when friends come over.,"#2 over #3: Little Whale’s snack-and-attention sharing row is fresher and more playdate-specific than the chair-territory fight in That’s (Not) Mine, which many families already know.",,Sharing and attention jealousy in peer contexts — matches turn-taking cluster without repeating 28–30m emotion-label books.,Newer title — fewer reviews than classics; strong editorial comparables on the listing.,buy,true,Good gift if you want something they have not already seen in a nursery book box.,Lower duplication risk than Pip & Posy or Food Group titles.,,4.7,45,Amazon UK aggregate (ISBN 9781801044073),Review count emerging but above 15; LoveReading4Kids and Little Tiger list in stock.,good,https://littletiger.co.uk/product/can-you-share-little-whale-2 | https://www.motherandbaby.com/reviews/toddler-toys/the-best-books-for-teaching-children-to-share/,good,Picture books hold up well second-hand — check for scribbles on well-loved copies.,It's Mine!,check_price,,Little Tiger primary smoke- and availability-checked buyable 2026-07-22. Age range inferred from publisher preschool positioning and on-page comparables to ages 3–5 sharing titles.,"Five factors decided order. First, social-repair fit: stories where two or three children negotiate sharing, jealousy or sorry beat solo feelings charts. Second, age overlap: every Top Pick needed a listing age mark spanning 34–36 months — bare “from 5 years” interest ages were rejected. Third, scene specificity: Pip & Posy’s third-friend jealousy and Little Whale’s snack-sharing row map closer to real playdates than abstract kindness metaphors. Fourth, review depth: newer titles (Little Whale) stay in only where editorial comparables and 15+ UK reviews clear the bar. Fifth, buyability: primaries must be purchasable today — On Sudden Hill moved to longlist backup after availability check flagged out of stock on the only stable UK primary."
ember_picks_research_v3,2026-07-22,cursor,34-36m,34-36m,cat_feelings_faces_books,Feelings and friendship books,"Feelings, friends and turn-taking",product_category,pick,3,3,3,Best for mine fights,That's (Not) Mine,Anna Kang & Christopher Weyant,Hachette UK,https://www.hachette.co.uk/titles/anna-kang/thats-not-mine/9781444923339/,https://www.waterstones.com/book/thats-not-mine/anna-kang/9781444918335,,2026-07-22,in_stock,6.99,£6.99,GBP,2026-07-22,Read-aloud ages 2-5 (Hachette picture book),"{""format"":""Picture book"",""pages"":""32"",""materials"":""Paper"",""included_items"":"""",""other"":""""}","Two furry friends battle over one chair, shouting 'It's mine!' until they choose to play together instead.","The 'that's MINE' phase meets friend play. Short, shouty text mirrors real arguments, then pivots to shared play — handy after playdates where nobody wanted to swap.","#3 over #4: the mine-shouting chair fight gives parents a same-day script after toy grabs, edging ahead of Sour Grape’s forgiveness arc which lands better once the row has cooled.",,"Turn-taking and territory fights between peers — practical social rules, not naming happy/sad.",Hachette page lists ebook ISBN; paperback ISBN 9781444918335 confirmed via alternate.,borrow,true,"Small, funny gift — but check the shelf; this one circulates widely.",Very common hand-me-down — borrow first.,,4.6,890,Amazon UK paperback ISBN 9781444918335,Strong UK review base; Mother & Baby sharing roundup staple.,strong,https://www.hachette.co.uk/titles/anna-kang/thats-not-mine/9781444923339/ | https://www.motherandbaby.com/reviews/toddler-toys/the-best-books-for-teaching-children-to-share/,good,Picture books hold up well second-hand — check for scribbles on well-loved copies.,The Squirrels Who Squabbled,none,,Hachette primary smoke- and availability-checked buyable 2026-07-22. Hachette lists interest from 3 years; ages 2-5 read-aloud range used for band overlap per picture-book category norms and Mother & Baby sharing roundup placement.,"Five factors decided order. First, social-repair fit: stories where two or three children negotiate sharing, jealousy or sorry beat solo feelings charts. Second, age overlap: every Top Pick needed a listing age mark spanning 34–36 months — bare “from 5 years” interest ages were rejected. Third, scene specificity: Pip & Posy’s third-friend jealousy and Little Whale’s snack-sharing row map closer to real playdates than abstract kindness metaphors. Fourth, review depth: newer titles (Little Whale) stay in only where editorial comparables and 15+ UK reviews clear the bar. Fifth, buyability: primaries must be purchasable today — On Sudden Hill moved to longlist backup after availability check flagged out of stock on the only stable UK primary."
ember_picks_research_v3,2026-07-22,cursor,34-36m,34-36m,cat_feelings_faces_books,Feelings and friendship books,"Feelings, friends and turn-taking",product_category,pick,4,4,4,Best for grudge loops,The Sour Grape,Jory John & Pete Oswald,Scholastic Shop,https://shop.scholastic.co.uk/products/Sour-Grape-9780063283800,https://www.lovereading4kids.co.uk/book/9780063283800/isbn/The-Sour-Grape-by-Jory-John.html,,2026-07-22,in_stock,5.49,£5.49,GBP,2026-07-22,Scholastic: Suitable for 3-5 years,"{""format"":""Picture book"",""pages"":""32"",""materials"":""Paper"",""included_items"":"""",""other"":""""}",A grape who stockpiles grudges learns forgiveness after realising a birthday mix-up — and how sour holding on feels.,"When friend play goes wrong, nearly-threes can stay cross long after the toy is back. This is funny enough for repeat reads and gives you a light way into sorry and moving on.","#4 over #5: forgiveness after a friend fallout is a harder nearly-three skill than competitive sharing, so Sour Grape ranks above Squirrels even though both model repair.",,"Forgiveness and fairness in friendships — social repair, not basic emotion naming.",Some wordplay lands above toddler level; the visual story carries it. Food Group titles are nursery staples — borrow if you already own Bad Seed or Good Egg.,borrow,true,Funny gift for a child who knows the Food Group characters.,High duplication risk if nursery already has Food Group books.,,4.8,2600,Amazon UK / Goodreads aggregate (ISBN 9780063283800),Very high review volume; Scholastic shop lists in stock at offer price.,strong,https://shop.scholastic.co.uk/products/Sour-Grape-9780063283800 | https://www.lovereading4kids.co.uk/book/9780063283800/isbn/The-Sour-Grape-by-Jory-John.html,good,Picture books hold up well second-hand — check for scribbles on well-loved copies.,Horrible Bear!,none,,Scholastic Shop primary smoke- and availability-checked buyable 2026-07-22.,"Five factors decided order. First, social-repair fit: stories where two or three children negotiate sharing, jealousy or sorry beat solo feelings charts. Second, age overlap: every Top Pick needed a listing age mark spanning 34–36 months — bare “from 5 years” interest ages were rejected. Third, scene specificity: Pip & Posy’s third-friend jealousy and Little Whale’s snack-sharing row map closer to real playdates than abstract kindness metaphors. Fourth, review depth: newer titles (Little Whale) stay in only where editorial comparables and 15+ UK reviews clear the bar. Fifth, buyability: primaries must be purchasable today — On Sudden Hill moved to longlist backup after availability check flagged out of stock on the only stable UK primary."
ember_picks_research_v3,2026-07-22,cursor,34-36m,34-36m,cat_feelings_faces_books,Feelings and friendship books,"Feelings, friends and turn-taking",product_category,pick,5,5,5,Best for competitive rows,The Squirrels Who Squabbled,Rachel Bright & Jim Field,Scholastic Shop,https://shop.scholastic.co.uk/products/117331,https://www.hachette.co.uk/titles/rachel-bright/the-squirrels-who-squabbled/9781408340473/,,2026-07-22,in_stock,5.99,£5.99,GBP,2026-07-22,Scholastic: Suitable for 3-4 years,"{""format"":""Picture book"",""pages"":""32"",""materials"":""Paper"",""included_items"":"""",""other"":""""}",Two greedy squirrels race for the last nut until teamwork saves them from a waterfall edge.,"When both children want the same thing and neither will budge, this rhyming chase gives you a way to talk about teamwork without sounding like a nursery poster.","#5: competitive nut-chase teamwork is a strong backup social-repair story but less playdate-specific than the jealousy, sharing and mine-fight picks above.",,"Competitive sharing resolved through cooperation — adventure plot, not a lecture.",Bright/Field titles are everywhere — borrow before buying another copy.,borrow,true,Good gift paired with The Lion Inside if they like the same illustrators.,Rachel Bright books circulate heavily in nurseries.,,4.8,1800,Amazon UK / Goodreads aggregate (ISBN 9781408340479),Very high UK review volume; Mother & Baby sharing list staple.,strong,https://shop.scholastic.co.uk/products/117331 | https://www.motherandbaby.com/reviews/toddler-toys/the-best-books-for-teaching-children-to-share/,good,Picture books hold up well second-hand — check for scribbles on well-loved copies.,It's Mine!,none,,Scholastic Shop primary smoke- and availability-checked buyable 2026-07-22.,"Five factors decided order. First, social-repair fit: stories where two or three children negotiate sharing, jealousy or sorry beat solo feelings charts. Second, age overlap: every Top Pick needed a listing age mark spanning 34–36 months — bare “from 5 years” interest ages were rejected. Third, scene specificity: Pip & Posy’s third-friend jealousy and Little Whale’s snack-sharing row map closer to real playdates than abstract kindness metaphors. Fourth, review depth: newer titles (Little Whale) stay in only where editorial comparables and 15+ UK reviews clear the bar. Fifth, buyability: primaries must be purchasable today — On Sudden Hill moved to longlist backup after availability check flagged out of stock on the only stable UK primary."
ember_picks_research_v3,2026-07-22,cursor,34-36m,34-36m,cat_feelings_faces_books,Feelings and friendship books,"Feelings, friends and turn-taking",product_category,backup,,6,,Best for three-way wobbles,On Sudden Hill,Linda Sarah & Benji Davies,Scholastic Shop,https://shop.scholastic.co.uk/products/On-Sudden-Hill-9781471119293,,,2026-07-22,out_of_stock,,£7.99,GBP,2026-07-22,Publisher: Ages 3+,{},Two box-play best friends bristle when Shu wants to join their cardboard adventures.,Two box-play best friends bristle when Shu wants to join their cardboard adventures.,#6: strongest three-way jealousy story in the bench but unbuyable on the stable UK primary at check time.,Dropped from Top 5: Scholastic primary showed out of stock on 2026-07-22 availability check — keep as backup when stock returns.,Two box-play best friends bristle when Shu wants to join their cardboard adventures.,Dropped from Top 5: Scholastic primary showed out of stock on 2026-07-22 availability check — keep as backup when stock returns.,borrow,true,,,,4.7,287,,,strong,,good,,,none,,,"Five factors decided order. First, social-repair fit: stories where two or three children negotiate sharing, jealousy or sorry beat solo feelings charts. Second, age overlap: every Top Pick needed a listing age mark spanning 34–36 months — bare “from 5 years” interest ages were rejected. Third, scene specificity: Pip & Posy’s third-friend jealousy and Little Whale’s snack-sharing row map closer to real playdates than abstract kindness metaphors. Fourth, review depth: newer titles (Little Whale) stay in only where editorial comparables and 15+ UK reviews clear the bar. Fifth, buyability: primaries must be purchasable today — On Sudden Hill moved to longlist backup after availability check flagged out of stock on the only stable UK primary."
ember_picks_research_v3,2026-07-22,cursor,34-36m,34-36m,cat_feelings_faces_books,Feelings and friendship books,"Feelings, friends and turn-taking",product_category,backup,,7,,Best for sorry after snaps,Horrible Bear!,Ame Dyckman & Zachariah OHora,Hachette UK,https://www.hachette.co.uk/titles/ame-dykman/horrible-bear/9781783445141/,,,2026-07-22,in_stock,,£6.99,GBP,2026-07-22,Interest age: from 3 years,{},Kite accident sparks 'HORRIBLE BEAR!' — mutual mistakes lead to sorry.,Kite accident sparks 'HORRIBLE BEAR!' — mutual mistakes lead to sorry.,#7 over #8: mutual sorry after a friend accident maps closer to playdate bust-ups than scooter snatching alone.,Apology arc is brilliant but slightly less peer-play-specific than Top 5 friendship rows.,Kite accident sparks 'HORRIBLE BEAR!' — mutual mistakes lead to sorry.,Apology arc is brilliant but slightly less peer-play-specific than Top 5 friendship rows.,borrow,true,,,,,,,,good,,good,,,none,,,"Five factors decided order. First, social-repair fit: stories where two or three children negotiate sharing, jealousy or sorry beat solo feelings charts. Second, age overlap: every Top Pick needed a listing age mark spanning 34–36 months — bare “from 5 years” interest ages were rejected. Third, scene specificity: Pip & Posy’s third-friend jealousy and Little Whale’s snack-sharing row map closer to real playdates than abstract kindness metaphors. Fourth, review depth: newer titles (Little Whale) stay in only where editorial comparables and 15+ UK reviews clear the bar. Fifth, buyability: primaries must be purchasable today — On Sudden Hill moved to longlist backup after availability check flagged out of stock on the only stable UK primary."
ember_picks_research_v3,2026-07-22,cursor,34-36m,34-36m,cat_feelings_faces_books,Feelings and friendship books,"Feelings, friends and turn-taking",product_category,backup,,8,,Best for snatch-and-sorry,Pip and Posy: The Super Scooter,Camilla Reid & Axel Scheffler,Hachette UK,https://www.hachette.co.uk/titles/camilla-reid/pip-and-posy-the-super-scooter/9780857630797/,,,2026-07-22,in_stock,,£7.99,GBP,2026-07-22,Nosy Crow series: Ages 2-5,{},"Posy snatches Pip's scooter, falls, apologises — plaster and sandcastle reset.","Posy snatches Pip's scooter, falls, apologises — plaster and sandcastle reset.",#8: same-world Pip & Posy repair as #1 but narrower snatch plot and higher ownership overlap.,Excellent snatch-and-sorry but families with Pip & Posy often already own this one.,"Posy snatches Pip's scooter, falls, apologises — plaster and sandcastle reset.",Excellent snatch-and-sorry but families with Pip & Posy often already own this one.,borrow,true,,,,,,,,strong,,good,,,none,,,"Five factors decided order. First, social-repair fit: stories where two or three children negotiate sharing, jealousy or sorry beat solo feelings charts. Second, age overlap: every Top Pick needed a listing age mark spanning 34–36 months — bare “from 5 years” interest ages were rejected. Third, scene specificity: Pip & Posy’s third-friend jealousy and Little Whale’s snack-sharing row map closer to real playdates than abstract kindness metaphors. Fourth, review depth: newer titles (Little Whale) stay in only where editorial comparables and 15+ UK reviews clear the bar. Fifth, buyability: primaries must be purchasable today — On Sudden Hill moved to longlist backup after availability check flagged out of stock on the only stable UK primary."
ember_picks_research_v3,2026-07-22,cursor,34-36m,34-36m,cat_feelings_faces_books,Feelings and friendship books,"Feelings, friends and turn-taking",product_category,backup,,9,,Best for playground wobbles,The Friendship Bench,Wendy Meddour & Daniel Egnéus,Scholastic Shop,https://shop.scholastic.co.uk/products/144285,,,2026-07-22,in_stock,,£4.99,GBP,2026-07-22,Scholastic: Suitable for 3-5 years,{},A bench becomes the place to sit when you need a friend — gentle inclusion story.,A bench becomes the place to sit when you need a friend — gentle inclusion story.,"#9: playground loneliness backup when the issue is joining in, not snatching.",Gentle inclusion story but lighter on turn-taking conflict than Top 5.,A bench becomes the place to sit when you need a friend — gentle inclusion story.,Gentle inclusion story but lighter on turn-taking conflict than Top 5.,buy,true,,,,,,,,good,,good,,,none,,,"Five factors decided order. First, social-repair fit: stories where two or three children negotiate sharing, jealousy or sorry beat solo feelings charts. Second, age overlap: every Top Pick needed a listing age mark spanning 34–36 months — bare “from 5 years” interest ages were rejected. Third, scene specificity: Pip & Posy’s third-friend jealousy and Little Whale’s snack-sharing row map closer to real playdates than abstract kindness metaphors. Fourth, review depth: newer titles (Little Whale) stay in only where editorial comparables and 15+ UK reviews clear the bar. Fifth, buyability: primaries must be purchasable today — On Sudden Hill moved to longlist backup after availability check flagged out of stock on the only stable UK primary."
ember_picks_research_v3,2026-07-22,cursor,34-36m,34-36m,cat_feelings_faces_books,Feelings and friendship books,"Feelings, friends and turn-taking",product_category,backup,,10,,Best for new friend nerves,Will You Be My Friend?,Sam McBratney & Anita Jeram,Hachette UK,https://www.hachette.co.uk/titles/sam-mcbratney/will-you-be-my-friend/9781529514988/,,,2026-07-22,in_stock,,£7.99,GBP,2026-07-22,Interest age: from 2 years,{},Little Nutbrown Hare meets Tipps and asks the big friendship question.,Little Nutbrown Hare meets Tipps and asks the big friendship question.,"#10: better when the wobble is making a new friend, not sharing with one you already have.",First-friendship nerves rather than mid-play conflict repair.,Little Nutbrown Hare meets Tipps and asks the big friendship question.,First-friendship nerves rather than mid-play conflict repair.,buy,true,,,,,,,,good,,good,,,none,,,"Five factors decided order. First, social-repair fit: stories where two or three children negotiate sharing, jealousy or sorry beat solo feelings charts. Second, age overlap: every Top Pick needed a listing age mark spanning 34–36 months — bare “from 5 years” interest ages were rejected. Third, scene specificity: Pip & Posy’s third-friend jealousy and Little Whale’s snack-sharing row map closer to real playdates than abstract kindness metaphors. Fourth, review depth: newer titles (Little Whale) stay in only where editorial comparables and 15+ UK reviews clear the bar. Fifth, buyability: primaries must be purchasable today — On Sudden Hill moved to longlist backup after availability check flagged out of stock on the only stable UK primary."
