age_band_id,category_entity_id,role,rank,product_name,brand,primary_url,http_status,url_ok,url_verification_ok,product_status,buyable,availability_signals,rating_value,rating_count,rating_source,age_raw,age_gate,age_fail_reasons,evidence_tier,ff_pass,ff_fail_reasons,rank_rationale,missed_top5_reason,include_rationale,exclude_rationale,checked_at
34-36m,cat_feelings_faces_books,top_pick,1,Pip and Posy: The New Friend,Camilla Reid & Axel Scheffler,https://www.amazon.co.uk/dp/0857638742,,false,true,,,,4.9,457,Amazon UK paperback ISBN 9780857638748,Nosy Crow series shelf: Ages 2-5,pass,,strong,true,,"#1 over #2: third-friend jealousy is the sharpest 34, 36m social wobble and Posy’s self-repair beats Little Whale’s sharing lesson on specificity, even though both clear the friendship brief.",,"Best-friend feelings run deep at nearly three, and so do the wobbles when someone new joins in. This story keeps the evening light while naming that sting and the soft way back. That gentle recovery is why it suits jealous wobbles without turning bedtime into a behaviour chat.",,2026-07-23
34-36m,cat_feelings_faces_books,top_pick,2,"Can You Share, Little Whale?",Jonny Lambert,https://littletiger.co.uk/product/can-you-share-little-whale-2,,false,true,,,,4.7,45,Amazon UK aggregate (ISBN 9781801044073),Preschool picture book; publisher compares to ages 3-5 sharing titles,pass,,good,true,,"#2 over #3: Little Whale’s snack-and-attention sharing row is fresher and more playdate-specific than the chair-territory fight in That’s (Not) Mine, which many families already know.",,"Sharing is a skill to grow into after sticky playdates, not a warning to sit through. A sunny short read lets them practise the idea with you when the house feels settled again. That warm rehearsal is why this book suits sharing rows when you want kindness more than a scolding.",,2026-07-23
34-36m,cat_feelings_faces_books,top_pick,3,That's (Not) Mine,Anna Kang & Christopher Weyant,https://www.hachette.co.uk/titles/anna-kang/thats-not-mine/9781444923339/,,false,true,,,,4.6,890,Amazon UK paperback ISBN 9781444918335,Read-aloud ages 2-5 (Hachette picture book),pass,,strong,true,,"#3 over #4: the mine-shouting chair fight gives parents a same-day read after toy grabs, edging ahead of Sour Grape’s forgiveness arc which lands better once the row has cooled.",,Mine fights need humour after a sticky playdate more than a talking-to. A funny short book gives you a shared joke to reset the evening without replaying the row. That light reset is why it suits mine fight nights you may want to open more than once.,,2026-07-23
34-36m,cat_feelings_faces_books,top_pick,4,The Sour Grape,Jory John & Pete Oswald,https://shop.scholastic.co.uk/products/Sour-Grape-9780063283800,,false,true,,,,4.8,2600,Amazon UK / Goodreads aggregate (ISBN 9780063283800),Scholastic: Suitable for 3-5 years,pass,,strong,true,,"#4 over #5: forgiveness after a friend fallout is a harder nearly-three skill than competitive sharing, so Sour Grape ranks above Squirrels even though both model repair.",,"Holding a grudge is new at nearly three, and so is starting again. A Food Group story brings enough humour for repeat reads when the cross feeling has stuck. That kind reset is why it suits stuck cross nights without turning feelings into homework.",,2026-07-23
34-36m,cat_feelings_faces_books,top_pick,5,The Squirrels Who Squabbled,Rachel Bright & Jim Field,https://shop.scholastic.co.uk/products/117331,,false,true,,,,4.8,1800,Amazon UK / Goodreads aggregate (ISBN 9781408340479),Scholastic: Suitable for 3-4 years,pass,,strong,true,,"#5: competitive nut-chase teamwork is a strong backup social-repair story but less playdate-specific than the jealousy, sharing and mine-fight picks above.",,Competitive rows need a team ending once both children want the same prize. A lively rhyme keeps the chase fun while landing on joining in rather than who won. That joining in finish is why it suits competitive rows without dampening the fun of the race.,,2026-07-23
34-36m,cat_feelings_faces_books,longlist,1,Pip and Posy: The New Friend,Camilla Reid & Axel Scheffler,https://www.amazon.co.uk/dp/0857638742,,,,,,,4.9,457,,Nosy Crow series shelf: Ages 2-5,,,strong,,,"#1 over #2: third-friend jealousy is the sharpest 34–36m social wobble and Posy’s self-repair beats Little Whale’s sharing lesson on specificity, even though both clear the friendship brief.",,"Shows jealousy, inclusion and repair in peer play without adult rescue — the core 34–36m shift beyond emotion labelling.",Paperback is the value pick; board book ISBN differs. Pip & Posy titles are widely owned — borrow first.,2026-07-23
34-36m,cat_feelings_faces_books,longlist,2,"Can You Share, Little Whale?",Jonny Lambert,https://littletiger.co.uk/product/can-you-share-little-whale-2,,,,,,,4.7,45,,Preschool picture book; publisher compares to ages 3-5 sharing titles,,,good,,,"#2 over #3: Little Whale’s snack-and-attention sharing row is fresher and more playdate-specific than the chair-territory fight in That’s (Not) Mine, which many families already know.",,Sharing and attention jealousy in peer contexts — matches turn-taking cluster without repeating 28–30m emotion-label books.,Newer title — fewer reviews than classics; strong editorial comparables on the listing.,2026-07-23
34-36m,cat_feelings_faces_books,longlist,3,That's (Not) Mine,Anna Kang & Christopher Weyant,https://www.hachette.co.uk/titles/anna-kang/thats-not-mine/9781444923339/,,,,,,,4.6,890,,Read-aloud ages 2-5 (Hachette picture book),,,strong,,,"#3 over #4: the mine-shouting chair fight gives parents a same-day read after toy grabs, edging ahead of Sour Grape’s forgiveness arc which lands better once the row has cooled.",,"Turn-taking and territory fights between peers — practical social rules, not naming happy/sad.",Hachette page lists ebook ISBN; paperback ISBN 9781444918335 confirmed via alternate.,2026-07-23
34-36m,cat_feelings_faces_books,longlist,4,The Sour Grape,Jory John & Pete Oswald,https://shop.scholastic.co.uk/products/Sour-Grape-9780063283800,,,,,,,4.8,2600,,Scholastic: Suitable for 3-5 years,,,strong,,,"#4 over #5: forgiveness after a friend fallout is a harder nearly-three skill than competitive sharing, so Sour Grape ranks above Squirrels even though both model repair.",,"Forgiveness and fairness in friendships — social repair, not basic emotion naming.",Some wordplay lands above toddler level; the visual story carries it. Food Group titles are nursery staples — borrow if you already own Bad Seed or Good Egg.,2026-07-23
34-36m,cat_feelings_faces_books,longlist,5,The Squirrels Who Squabbled,Rachel Bright & Jim Field,https://shop.scholastic.co.uk/products/117331,,,,,,,4.8,1800,,Scholastic: Suitable for 3-4 years,,,strong,,,"#5: competitive nut-chase teamwork is a strong backup social-repair story but less playdate-specific than the jealousy, sharing and mine-fight picks above.",,"Competitive sharing resolved through cooperation — adventure plot, not a lecture.",Bright/Field titles are everywhere — borrow before buying another copy.,2026-07-23
