age_band_id,category_entity_id,role,rank,product_name,brand,primary_url,http_status,url_ok,url_verification_ok,product_status,buyable,availability_signals,rating_value,rating_count,rating_source,age_raw,age_gate,age_fail_reasons,evidence_tier,ff_pass,ff_fail_reasons,rank_rationale,missed_top5_reason,include_rationale,exclude_rationale,checked_at
34-36m,cat_picture_story_books,top_pick,1,You Choose,Pippa Goodhart & Nick Sharratt,https://www.penguin.co.uk/books/305040/you-choose-by-goodhart-pippa/9780141379319,200,true,true,buyable,true,,4.8,4300,Amazon UK (aggregate across current paperback and board editions),BookTrust interest age 3-7 years,pass,,strong,true,,#1 over #2: You Choose asks the child to pick and explain on every spread — a more open-ended prompt than Pigeon's single repeated question — so it edges ahead on educational fit despite carrying higher ownership risk.,,"This is still the cleanest fit when your nearly-three wants to pick and explain on every page. If a nursery or grandparent copy is already doing the rounds, borrow it first — buy only once you know it isn't already on the shelf.",,2026-07-22
34-36m,cat_picture_story_books,top_pick,2,Don't Let the Pigeon Drive the Bus! (board book),Mo Willems,https://www.amazon.co.uk/dp/1406386073,200,true,true,buyable,true,,4.8,3200,Amazon UK / Goodreads aggregate,Walker board edition: Ages 1-5,pass,,strong,true,,"#2 over #3: Pigeon's comic call-and-response (say no, explain why) is a stronger nightly talk-back trigger than Oh No George's gentler what-next question, and it has deeper UK review history.",,"Every spread gives your child a job: say no, explain why, and hold their ground when the pigeon argues back. It's less choice-led than You Choose, but brilliant when they want to talk back with confidence rather than just pick an option.",,2026-07-22
34-36m,cat_picture_story_books,top_pick,3,"Oh No, George! (board book)",Chris Haughton,https://www.amazon.co.uk/dp/140635791X,200,true,true,buyable,true,,4.6,210,Amazon UK / Goodreads aggregate,Walker board edition: Ages 1-5,pass,,good,true,,"#3 over #4: George's repeated what-will-he-do-next beat keeps talk-back going page after page, edging out Shh's quieter suspense which leans more on prediction than explanation.",,"George keeps asking your child what he should do next, and whether he'll get it wrong again — a proper prediction loop, not a one-off question. Good for a child who likes calling out the answer before you turn the page.",,2026-07-22
34-36m,cat_picture_story_books,top_pick,4,Shh! We Have a Plan (board book),Chris Haughton,https://www.amazon.co.uk/dp/1406361658,200,true,true,buyable,true,,4.6,180,Amazon UK / Goodreads aggregate,Walker board edition: Ages 1-5,pass,,good,true,,"#4 over #5: Shh's silent-plan suspense still asks the child to predict and explain, which sits closer to the cluster's talk-back objective than Shark in the Park's simpler spot-the-shark refrain.",,"Your child has to work out whether the plan will actually work, and explain what went wrong when it doesn't. Quieter than Pigeon or George, so it's a better fit for a calmer chat rather than a giggly one.",,2026-07-22
34-36m,cat_picture_story_books,top_pick,5,Shark in the Park,Nick Sharratt,https://www.penguin.co.uk/books/327168/shark-in-the-park-by-sharratt-nick/9780552549776,200,true,true,buyable,true,,4.8,2100,Amazon UK,Publisher shelf mark: Ages 2-5,pass,,strong,true,,"#5: Included as the lightest, most repeatable option — a good entry point for what-do-you-see chat when the other four feel too talky for a tired bedtime, even though it asks less explanation than ranks 1-4.",,"The lightest, most repeatable pick on this list — perfect for a tired evening when the other four feel too talky. Your child answers the same question in a new way each time, which is a gentle entry point into talk-back rather than the deepest one.",,2026-07-22
34-36m,cat_picture_story_books,longlist,1,You Choose,Pippa Goodhart & Nick Sharratt,https://www.penguin.co.uk/books/305040/you-choose-by-goodhart-pippa/9780141379319,200,true,,,,,4.8,4300,,BookTrust interest age 3-7 years,,,strong,,,"#1 over #2: asks the child to pick and explain on every spread, a more open-ended prompt than Pigeon's single repeated question.",,Choice-led pages are the category benchmark for nearly-three talk-back — borrow first if already owned.,Very widely owned — check the shelf first.,2026-07-22
34-36m,cat_picture_story_books,longlist,2,Don't Let the Pigeon Drive the Bus! (board book),Mo Willems,https://www.amazon.co.uk/dp/1406386073,200,true,,,,,4.8,3200,,Walker board edition: Ages 1-5,,,strong,,,"#2 over #3: a stronger nightly talk-back trigger than Oh No George's gentler what-next question, with deeper UK review history.",,Comic call-and-response gives the child a repeated job: say no and explain why.,High-energy — not the calmest bedtime pick.,2026-07-22
34-36m,cat_picture_story_books,longlist,3,"Oh No, George! (board book)",Chris Haughton,https://www.amazon.co.uk/dp/140635791X,200,true,,,,,4.6,210,,Walker board edition: Ages 1-5,,,good,,,"#3 over #4: keeps talk-back going page after page, edging out Shh's quieter suspense which leans more on prediction than explanation.",,Repeated will-he-won't-he beat keeps prediction and explanation going page after page.,"Thinner review base than the mega-sellers, still well above the bar.",2026-07-22
34-36m,cat_picture_story_books,longlist,4,Shh! We Have a Plan (board book),Chris Haughton,https://www.amazon.co.uk/dp/1406361658,200,true,,,,,4.6,180,,Walker board edition: Ages 1-5,,,good,,,#4 over #5: closer to the cluster's talk-back objective than Shark in the Park's simpler spot-the-shark refrain.,,Hushed plan-then-mishap structure asks the child to predict and explain without the noise of Pigeon or George.,Modest review count — comfortably above the bar.,2026-07-22
34-36m,cat_picture_story_books,longlist,5,Shark in the Park,Nick Sharratt,https://www.penguin.co.uk/books/327168/shark-in-the-park-by-sharratt-nick/9780552549776,200,true,,,,,4.8,2100,,Publisher shelf mark: Ages 2-5,,,strong,,,"#5: lightest, most repeatable option — good for tired evenings when the other four feel too talky, but asks less explanation than ranks 1-4.",,"Repeated is-it-a-shark question is a gentle, high-repeat entry point into talk-back.",Simpler format than the choice/plan-led picks above it.,2026-07-22
