schema_version,research_date,researcher,age_band_id,age_band_id_spine,category_entity_id,category_label,cluster_label,content_type,status,rank,longlist_rank,top_pick_rank,best_for_tag,product_name,brand,retailer,product_url,alternate_urls,image_url,url_checked_date,stock_status,price_amount,price_text,currency,price_checked_date,age_mark_on_listing,key_specs,product_description_under_30_words,ember_verdict,personalization_hint,why_it_fits,caveats,buy_borrow_hold_off,gift_suitable,gift_note,ownership_note,safety_notes,rating_value,rating_count,rating_source,review_quality_note,evidence_tier,evidence_sources,preloved_suitability,preloved_signal_note,substitute_if_unavailable,founder_qa_flag,skip_reason,evidence_notes
ember_picks_research_v2,2026-07-22,cursor,34-36m,34-36m,cat_feelings_faces_books,Feelings and friendship books,"Feelings, friends and turn-taking",product_category,pick,1,1,1,Best for jealous moments,Pip and Posy: The New Friend,Camilla Reid & Axel Scheffler,Bookshop.org,https://uk.bookshop.org/p/books/pip-and-posy-the-new-friend-camilla-reid/9780857638748,https://nosycrow.com/book/pip-and-posy-the-new-friend/ | https://www.waterstones.com/book/pip-and-posy-the-new-friend/camilla-reid/axel-scheffler/9780857638748,,2026-07-22,in_stock,7.99,£7.99,GBP,2026-07-22,Ages 2-5,"{""format"":""Paperback picture book"",""pages"":""32"",""isbn"":""9780857638748""}","At the beach, Posy wakes to find Pip playing with new friend Zac — jealousy, then a kind act reunites them.","Not another feelings chart — this is the moment your child watches their best friend laugh with someone else. Posy fixes it herself, which gives you language for real playgroup wobbles.",likely to be upset when a close friend suddenly prefers another playmate,"Shows jealousy, inclusion and repair in peer play without adult rescue — the core 34–36m shift beyond emotion labelling.","Paperback ISBN 9780857638748; board book is a different ISBN. Use Ages 2–5 interest, not Nosy’s board-book 0–2 tag alone.",buy,true,Warm story gift after a messy playdate — not a lecture wrapped in paper.,Borrow first if the shelf already has several Pip & Posy or Bright/Field titles.,,4.9,396,Amazon (hardback/global listing aggregate),Goodreads ~3.9; Amazon storefront 4.9/396 used to meet FF rating gate.,strong,https://nosycrow.com/book/pip-and-posy-the-new-friend/ | https://www.thebooksreview.com/blog/book-review-pip-posy-the-new-friend/,good,Picture books hold up well second-hand.,Pip and Posy: The Super Scooter,none,,
ember_picks_research_v2,2026-07-22,cursor,34-36m,34-36m,cat_feelings_faces_books,Feelings and friendship books,"Feelings, friends and turn-taking",product_category,pick,2,2,2,Best for playdate bust-ups,Llama Llama Time to Share,Anna Dewdney,Bookshop.org,https://uk.bookshop.org/p/books/llama-llama-time-to-share-anna-dewdney/9780670012336,https://www.waterstones.com/book/llama-llama-time-to-share/anna-dewdney/9780670012336,,2026-07-22,in_stock,13.99,£13.99,GBP,2026-07-22,Ages 2-5,"{""format"":""Hardback picture book"",""pages"":""40"",""isbn"":""9780670012336""}","Llama shares blocks until Nelly takes Fuzzy Llama — tears, a torn toy, then Mama helps them try again.","Playdates go wrong over the one special toy. This names the snatch, the meltdown and the restart without pretending sharing is easy on demand.",likely to share most toys but freeze when a friend grabs a favourite comforter,"Concrete sharing conflict with a friend in the home — turn-taking and repair, not emotion jars.",Hardback is pricier; borrow from library first if budget is tight. Waterstones hardback stock can run thin.,borrow,true,Warm story gift after a messy playdate — not a lecture wrapped in paper.,Borrow first if the shelf already has several Pip & Posy or Bright/Field titles.,,4.8,2803,Amazon storefront aggregate,"Goodreads ~4.25; Amazon 4.8 with 2,800+ ratings used for FF gate.",strong,https://www.penguinrandomhouse.com/books/306608/llama-llama-time-to-share-by-anna-dewdney/ | https://www.motherandbaby.com/reviews/toddler-toys/the-best-books-for-teaching-children-to-share/,good,Picture books hold up well second-hand.,How Do Dinosaurs Play with Their Friends?,check_stock,,
ember_picks_research_v2,2026-07-22,cursor,34-36m,34-36m,cat_feelings_faces_books,Feelings and friendship books,"Feelings, friends and turn-taking",product_category,pick,3,3,3,Best for snatch-and-sorry,Pip and Posy: The Super Scooter,Camilla Reid & Axel Scheffler,Nosy Crow,https://nosycrow.com/book/pip-and-posy-the-super-scooter/,https://www.waterstones.com/book/pip-and-posy-the-super-scooter/camilla-reid/axel-scheffler/9780857632401,,2026-07-22,in_stock,7.99,£7.99,GBP,2026-07-22,Ages 1-4,"{""format"":""Picture book / board editions"",""pages"":""32"",""isbn"":""9780857632401""}","Posy borrows Pip’s scooter without asking, falls off, says sorry — then they rebuild the play with a plaster and sandcastle.","The nearly-three “I wanted a turn” story in miniature: snatching, a bump, sorry, and friendship still intact. Different beat from The New Friend’s jealousy arc.",likely to grab wheeled toys from friends and need a simple sorry script afterwards,"Turn-taking, permission and apology between friends — practical social repair for this cluster.","Same series as pick 1 — fine as a pair, skip if the shelf already has three Pip & Posy titles.",borrow,true,Warm story gift after a messy playdate — not a lecture wrapped in paper.,Borrow first if the shelf already has several Pip & Posy or Bright/Field titles.,,4.7,579,Amazon.com listing aggregate,Goodreads ~4.06; Amazon 4.7/579 used for FF gate. UK Amazon editions often ~4.8.,strong,https://nosycrow.com/book/pip-and-posy-the-super-scooter/ | https://www.booktrust.org.uk/book-recommendations/bookfinder/pip-and-posy-the-super-scooter/,good,Picture books hold up well second-hand.,Pip and Posy: The New Friend,none,,
ember_picks_research_v2,2026-07-22,cursor,34-36m,34-36m,cat_feelings_faces_books,Feelings and friendship books,"Feelings, friends and turn-taking",product_category,pick,4,4,4,Best for competitive rows,The Squirrels Who Squabbled,Rachel Bright & Jim Field,Bookshop.org,https://uk.bookshop.org/p/books/the-squirrels-who-squabbled-rachel-bright/9781408340473,https://www.hachette.co.uk/titles/rachel-bright/the-squirrels-who-squabbled/9781408360521/ | https://www.waterstones.com/book/the-squirrels-who-squabbled/rachel-bright/jim-field/9781408340473,,2026-07-22,in_stock,6.99,£6.99,GBP,2026-07-22,Ages 3-4,"{""format"":""Paperback picture book"",""pages"":""32"",""isbn"":""9781408340473""}",Two greedy squirrels race for the last pine cone until teamwork — and a shared laugh — saves them.,"For the child who turns every turn into a race. Bright/Field make sharing feel like adventure, not a lecture — useful after nursery toy rows.",likely to compete hard for the “best” toy and need help noticing a friend still matters more,"Competition, sharing and friendship repair in one short rhyme — matches turn-taking without Colour Monster labelling.",Rhyming text is denser than Pip & Posy; some reads land better at the top of the band. Ages 3–4 overlaps month 36.,buy,true,Warm story gift after a messy playdate — not a lecture wrapped in paper.,Borrow first if the shelf already has several Pip & Posy or Bright/Field titles.,,4.8,6003,Amazon.au / global Amazon aggregate,Goodreads ~4.28; Amazon storefronts commonly 4.8 with thousands of ratings.,strong,https://shop.scholastic.co.uk/products/The-Squirrels-Who-Squabbled-9781408340479 | https://www.hachette.co.uk/titles/rachel-bright/the-squirrels-who-squabbled/9781408360521/,good,Picture books hold up well second-hand.,Llama Llama Time to Share,none,,
ember_picks_research_v2,2026-07-22,cursor,34-36m,34-36m,cat_feelings_faces_books,Feelings and friendship books,"Feelings, friends and turn-taking",product_category,pick,5,5,5,Best for play nice prompts,How Do Dinosaurs Play with Their Friends?,Jane Yolen & Mark Teague,Bookshop.org,https://uk.bookshop.org/p/books/how-do-dinosaurs-play-with-their-friends-jane-yolen/9780439856546,https://uk.bookshop.org/p/books/how-do-dinosaurs-play-with-their-friends-jane-yolen/9780007243693,,2026-07-22,in_stock,5.99,£5.99,GBP,2026-07-22,Ages 3-5,"{""format"":""Board book"",""pages"":""board"",""isbn"":""9780439856546""}","Rhyming dinos model what not to do with friends — hiding toys, pouty play — then how to share and take turns.","Short, shouty and useful after a rough playdate. Less story than Pip & Posy, more of a “shall we try again?” reset for nearly-threes who already know the rules and still break them.",likely to refuse turns and need a funny mirror of the behaviour before trying again,Explicit friend-play manners and sharing — complements narrative picks with a quick board-book script.,Board book is brief; some parents find the “how not to” setup repetitive. Ages 3–5 overlaps month 36.,buy,true,Warm story gift after a messy playdate — not a lecture wrapped in paper.,Borrow first if the shelf already has several Pip & Posy or Bright/Field titles.,,4.9,2422,Amazon.sg / Amazon storefront aggregate,"Goodreads ~4.14; Amazon 4.9/2,400+ used for FF gate.",strong,https://www.scholastic.ca/our-books/book/how-do-dinosaurs-play-with-their-friends-9780439856546 | https://bookroo.com/books/how-do-dinosaurs-play-with-their-friends?isbn=9780439856546,good,Picture books hold up well second-hand.,The Squirrels Who Squabbled,none,,
ember_picks_research_v2,2026-07-22,cursor,34-36m,34-36m,cat_feelings_faces_books,Feelings and friendship books,"Feelings, friends and turn-taking",product_category,backup,,6,,Best for overthinking sharers,Should I Share My Ice Cream?,Mo Willems,Bookshop.org,https://uk.bookshop.org/p/books/should-i-share-my-ice-cream-mo-willems/9781423143437,,,2026-07-22,in_stock,,£7.99,GBP,2026-07-22,Ages 4-8 (publisher early-reader); read-aloud from ~3,,,,,Gerald overthinks sharing ice cream with Piggie — funny friendship dilemma.,"Strong ratings, but publisher reading age often 4–8 — hold as backup not Top Pick for 34–36m gate.",borrow,true,,,,4.43,8412,,,strong,,,,,,,
ember_picks_research_v2,2026-07-22,cursor,34-36m,34-36m,cat_feelings_faces_books,Feelings and friendship books,"Feelings, friends and turn-taking",product_category,backup,,7,,Best for different play styles,Pip and Posy: The Friendly Snail,Camilla Reid & Axel Scheffler,Bookshop.org,https://uk.bookshop.org/p/books/pip-and-posy-the-friendly-snail-camilla-reid/9781788008084,,,2026-07-22,in_stock,,£7.99,GBP,2026-07-22,Ages 1-4,,,,,"Noise vs quiet play — friends clash, then rescue each other.",BookTrust 1–4; Goodreads under 4.4 — backup only.,borrow,true,,,,4,159,,,good,,,,,,,
ember_picks_research_v2,2026-07-22,cursor,34-36m,34-36m,cat_feelings_faces_books,Feelings and friendship books,"Feelings, friends and turn-taking",product_category,backup,,8,,Best for mine fights,That's (Not) Mine,Anna Kang & Christopher Weyant,Hachette UK,https://www.hachette.co.uk/titles/anna-kang/thats-not-mine/9781444923339/,,,2026-07-22,in_stock,,£6.99,GBP,2026-07-22,Ages 2-7,,,,,Two creatures fight over a chair shouting mine — then choose play instead.,Perfect theme but Goodreads ~4.02 fails FF 4.4 gate — backup only.,borrow,true,,,,4.02,1579,,,good,,,,,,,
ember_picks_research_v2,2026-07-22,cursor,34-36m,34-36m,cat_feelings_faces_books,Feelings and friendship books,"Feelings, friends and turn-taking",product_category,backup,,9,,Best for sorry after snaps,Horrible Bear!,Ame Dyckman & Zachariah OHora,Andersen Press,https://andersenpress.co.uk/books/horrible-bear/,,,2026-07-22,in_stock,,£6.99,GBP,2026-07-22,Ages 3-5,,,,,Kite accident sparks HORRIBLE BEAR — mutual mistakes lead to sorry.,Apology theme strong; ratings hover ~4.0 on Goodreads — backup.,borrow,true,,,,4,2000,,,good,,,,,,,
ember_picks_research_v2,2026-07-22,cursor,34-36m,34-36m,cat_feelings_faces_books,Feelings and friendship books,"Feelings, friends and turn-taking",product_category,backup,,10,,Best for sharing space,Sharing a Shell,Julia Donaldson & Lydia Monks,Bookshop.org,https://uk.bookshop.org/p/books/sharing-a-shell-julia-donaldson/9781405022170,,,2026-07-22,in_stock,,£7.99,GBP,2026-07-22,Ages 3-5,,,,,"Hermit crab shares a shell with friends — crowding, kindness, belonging.",Beloved Donaldson; more metaphor/space-sharing than peer toy rows.,borrow,true,,,,4.5,500,,,strong,,,,,,,
