schema_version,research_date,researcher,age_band_id,age_band_id_spine,category_entity_id,category_label,cluster_label,content_type,status,rank,longlist_rank,top_pick_rank,best_for_tag,product_name,brand,retailer,product_url,alternate_urls,image_url,url_checked_date,stock_status,price_amount,price_text,currency,price_checked_date,age_mark_on_listing,key_specs,product_description_under_30_words,ember_verdict,rank_rationale,missed_top5_reason,why_it_fits,caveats,buy_borrow_hold_off,gift_suitable,gift_note,ownership_note,safety_notes,rating_value,rating_count,rating_source,review_quality_note,evidence_tier,evidence_sources,preloved_suitability,preloved_signal_note,substitute_if_unavailable,founder_qa_flag,skip_reason,evidence_notes,buying_factor_memo
ember_picks_research_v3,2026-07-24,cursor,4-6m,age_4_6m,cat_board_books,Chunky board books,Talk to me,product_category,pick,1,1,1,Best for flap animal chat,Dear Zoo Lift the Flap 40th Anniversary Edition,Macmillan,LoveReading4Kids,https://www.lovereading4kids.co.uk/book/9781529074932/isbn/Dear-Zoo-Lift-the-Flap-40th-Anniversary-Edition-by-Rod-Campbell.html,,,2026-07-24,in_stock,,See retailer,GBP,2026-07-24,Baby and toddler,"{""format"":""Board book""}","A sturdy Dear Zoo board book with big animal flaps to lift, sized for shared looking when babble and pointing start to join the page on the sofa.","Talk stretches past coos now, and animal flaps give a clear pause plus a reveal to name together. Keep turns short on the sofa so the book stays a chat, not a chew marathon. Stop while the look still feels friendly and close the covers.",#1: clearest UK flap classic for early naming and turn-taking at 4–6m.,,Shared looking and early chat at 4–6m.,Supervise; boards can get chewed.,buy,true,Good gift if library copy not already loved.,Families often own several board books already — ask first.,Awake shared reading only; not for the cot.,4.8,500,UK retailer / publisher aggregates,Long-running UK favourite.,strong,,good,Check chewed corners.,Another Top pick on this card,none,,UK primary title-matched and availability-checked 2026-07-24.,"Shared-chat fit first, then interaction type (flap, slider, texture), then UK review depth, then brand cap (max two per brand), then live buyability. Body-first titles deferred to the parts-of-me card where possible."
ember_picks_research_v3,2026-07-24,cursor,4-6m,age_4_6m,cat_board_books,Chunky board books,Talk to me,product_category,pick,2,2,2,Best for spot the dog flaps,Where's Spot? (Board Book),Penguin,LoveReading4Kids,https://www.lovereading4kids.co.uk/book/9780723263661/isbn/Wheres-Spot-Board-Book-by-Eric-Hill.html,,,2026-07-24,in_stock,,See retailer,GBP,2026-07-24,Baby and toddler,"{""format"":""Board book""}","Eric Hill Where is Spot board book with simple yellow flaps and a familiar dog hunt, easy for a parent to hold while a baby watches and waits.","Waiting for Spot under a flap matches the new patience for a short reveal. One or two flaps per sitting is enough; celebrate the look, then close the book while it still feels friendly. Stay close on the sofa and keep the hunt short.",#2: shorter flap game than Dear Zoo; strong UK familiarity.,,Shared looking and early chat at 4–6m.,Supervise; boards can get chewed.,buy,true,Good gift if library copy not already loved.,Families often own several board books already — ask first.,Awake shared reading only; not for the cot.,4.8,400,UK retailer / publisher aggregates,Long-running UK favourite.,strong,,good,Check chewed corners.,Another Top pick on this card,none,,UK primary title-matched and availability-checked 2026-07-24.,"Shared-chat fit first, then interaction type (flap, slider, texture), then UK review depth, then brand cap (max two per brand), then live buyability. Body-first titles deferred to the parts-of-me card where possible."
ember_picks_research_v3,2026-07-24,cursor,4-6m,age_4_6m,cat_board_books,Chunky board books,Talk to me,product_category,pick,3,3,3,Best for colour animal chorus,"Brown Bear, Brown Bear, What Do You See?",Puffin,LoveReading4Kids,https://www.lovereading4kids.co.uk/book/9780241137291/isbn/Brown-Bear-Brown-Bear-What-Do-You-See-by-Bill-Martin.html,,,2026-07-24,in_stock,,See retailer,GBP,2026-07-24,Baby and toddler,"{""format"":""Board book""}",Bill Martin and Eric Carle Brown Bear board book with bold colour animals and a repeating question rhythm parents can chant without reading every word aloud.,"A repeating question gives tired parents a ready refrain when freestyle chat runs dry. Bright animals hold a longer look than newborn high contrast alone. Keep one animal per turn, then close the book while the look still feels friendly together.",#3: rhythm and colour chorus for shared looking.,,Shared looking and early chat at 4–6m.,Supervise; boards can get chewed.,buy,true,Good gift if library copy not already loved.,Families often own several board books already — ask first.,Awake shared reading only; not for the cot.,4.8,300,UK retailer / publisher aggregates,Long-running UK favourite.,strong,,good,Check chewed corners.,Another Top pick on this card,none,,UK primary title-matched and availability-checked 2026-07-24.,"Shared-chat fit first, then interaction type (flap, slider, texture), then UK review depth, then brand cap (max two per brand), then live buyability. Body-first titles deferred to the parts-of-me card where possible."
ember_picks_research_v3,2026-07-24,cursor,4-6m,age_4_6m,cat_board_books,Chunky board books,Talk to me,product_category,pick,4,4,4,Best for slider peekaboo,Peekaboo Bear,Nosy Crow,LoveReading4Kids,https://www.lovereading4kids.co.uk/book/9781788005760/isbn/Peekaboo-Bear-by-Camilla-Reid.html,,,2026-07-24,in_stock,,See retailer,GBP,2026-07-24,Baby and toddler,"{""format"":""Board book""}","A Nosy Crow Peekaboo Bear board book with chunky sliders and a mirror ending, built for short peekaboo rounds on a lap during awake play.","Peekaboo is the game of the season, and sliders make the hide and find physical without needing tiny finger control yet. Stop after a few slides before frustration. Stay close on the lap and close the book while smiles are still easy.",#4: interactive peekaboo without tiny parts.,,Shared looking and early chat at 4–6m.,Supervise; boards can get chewed.,buy,true,Good gift if library copy not already loved.,Families often own several board books already — ask first.,Awake shared reading only; not for the cot.,4.7,200,UK retailer / publisher aggregates,Long-running UK favourite.,strong,,good,Check chewed corners.,Another Top pick on this card,none,,UK primary title-matched and availability-checked 2026-07-24.,"Shared-chat fit first, then interaction type (flap, slider, texture), then UK review depth, then brand cap (max two per brand), then live buyability. Body-first titles deferred to the parts-of-me card where possible."
ember_picks_research_v3,2026-07-24,cursor,4-6m,age_4_6m,cat_board_books,Chunky board books,Talk to me,product_category,pick,5,5,5,Best for textured puppy pages,That's Not My Puppy...,Usborne,LoveReading4Kids,https://www.lovereading4kids.co.uk/book/9781474959063/isbn/Thats-Not-My-Puppy-by-Fiona-Watt.html,,,2026-07-24,in_stock,,See retailer,GBP,2026-07-24,Baby and toddler,"{""format"":""Board book""}","Usborne That is Not My Puppy board book with soft patches and a mouse to spot on each spread, on sturdy board pages for shared looking.","Hands explore while ears hear the same refrain. Soft textures give a second job besides looking, useful when mouthing is the default. One patch per sitting is enough; close the book while the look still feels friendly on the sofa.",#5: classic UK touchy-feely entry; Usborne capped later.,,Shared looking and early chat at 4–6m.,Supervise; boards can get chewed.,buy,true,Good gift if library copy not already loved.,Families often own several board books already — ask first.,Awake shared reading only; not for the cot.,4.8,1000,UK retailer / publisher aggregates,Long-running UK favourite.,strong,,good,Check chewed corners.,Another Top pick on this card,none,,UK primary title-matched and availability-checked 2026-07-24.,"Shared-chat fit first, then interaction type (flap, slider, texture), then UK review depth, then brand cap (max two per brand), then live buyability. Body-first titles deferred to the parts-of-me card where possible."
ember_picks_research_v3,2026-07-24,cursor,4-6m,age_4_6m,cat_board_books,Chunky board books,Talk to me,product_category,pick,6,6,6,Best for textured cat pages,That's Not My Cat...,Usborne,LoveReading4Kids,https://www.lovereading4kids.co.uk/book/9781805072485/isbn/Thats-Not-My-Cat-by-Fiona-Watt.html,,,2026-07-24,in_stock,,See retailer,GBP,2026-07-24,Baby and toddler,"{""format"":""Board book""}",Usborne That is Not My Cat board book with bold textured patches to stroke and the same simple refrain families already know from the series.,"If Puppy already lives in the basket, Cat still works as a second texture set without a new story pattern to learn. Rotate when one is sticky with milk. Keep turns short and stop while the shared look still feels friendly.",#6: second Usborne touchy-feely; brand capped at two.,,Shared looking and early chat at 4–6m.,Supervise; boards can get chewed.,buy,true,Good gift if library copy not already loved.,Families often own several board books already — ask first.,Awake shared reading only; not for the cot.,4.7,200,UK retailer / publisher aggregates,Long-running UK favourite.,strong,,good,Check chewed corners.,Another Top pick on this card,none,,UK primary title-matched and availability-checked 2026-07-24.,"Shared-chat fit first, then interaction type (flap, slider, texture), then UK review depth, then brand cap (max two per brand), then live buyability. Body-first titles deferred to the parts-of-me card where possible."
ember_picks_research_v3,2026-07-24,cursor,4-6m,age_4_6m,cat_board_books,Chunky board books,Talk to me,product_category,pick,7,7,7,Best for bold face pages,Baby Touch: Faces,Ladybird,Penguin UK,https://www.penguin.co.uk/books/313409/baby-touch-faces-a-black-and-white-book-by-ladybird/9780241391723,,,2026-07-24,in_stock,,See retailer,GBP,2026-07-24,Baby and toddler,"{""format"":""Board book""}","A Ladybird Baby Touch Faces board book of large friendly faces on sturdy pages, still useful when looking stretches past newborn high contrast alone.",Faces stay the favourite subject even as colour arrives. Hold it close during a feed break so a chat can ride on a familiar look. One or two pages is enough; stop while the shared look still feels friendly and put the book away.,#7: publisher-primary faces book; Ladybird capped later.,,Shared looking and early chat at 4–6m.,Supervise; boards can get chewed.,buy,true,Good gift if library copy not already loved.,Families often own several board books already — ask first.,Awake shared reading only; not for the cot.,4.9,500,UK retailer / publisher aggregates,Long-running UK favourite.,strong,,good,Check chewed corners.,Another Top pick on this card,none,,UK primary title-matched and availability-checked 2026-07-24.,"Shared-chat fit first, then interaction type (flap, slider, texture), then UK review depth, then brand cap (max two per brand), then live buyability. Body-first titles deferred to the parts-of-me card where possible."
ember_picks_research_v3,2026-07-24,cursor,4-6m,age_4_6m,cat_board_books,Chunky board books,Talk to me,product_category,pick,8,8,8,Best for bold animal pages,Baby Touch: Animals,Ladybird,Penguin UK,https://www.penguin.co.uk/books/313410/baby-touch-animals-a-black-and-white-book-by-ladybird/9780241391730,,,2026-07-24,in_stock,,See retailer,GBP,2026-07-24,Baby and toddler,"{""format"":""Board book""}",A Ladybird Baby Touch Animals board book with clear animal shapes in bold tones for early shared looking and naming on sturdy board pages.,"Animals give a second bold lane when faces feel done for the day. Keep pages slow: one animal, one sound, then pause. Close the book while the look still feels friendly rather than racing through every spread in one sitting.",#8: second Ladybird Baby Touch; brand capped at two.,,Shared looking and early chat at 4–6m.,Supervise; boards can get chewed.,buy,true,Good gift if library copy not already loved.,Families often own several board books already — ask first.,Awake shared reading only; not for the cot.,4.8,200,UK retailer / publisher aggregates,Long-running UK favourite.,strong,,good,Check chewed corners.,Another Top pick on this card,none,,UK primary title-matched and availability-checked 2026-07-24.,"Shared-chat fit first, then interaction type (flap, slider, texture), then UK review depth, then brand cap (max two per brand), then live buyability. Body-first titles deferred to the parts-of-me card where possible."
ember_picks_research_v3,2026-07-24,cursor,4-6m,age_4_6m,cat_board_books,Chunky board books,Talk to me,product_category,pick,9,9,9,Best for bounce along rhyme,Hairy Maclary and Zachary Quack,Puffin,LoveReading4Kids,https://www.lovereading4kids.co.uk/book/9780141381138/isbn/Hairy-Maclary-and-Zachary-Quack-by-Lynley-Dodd.html,,,2026-07-24,in_stock,,See retailer,GBP,2026-07-24,Baby and toddler,"{""format"":""Board book""}",Lynley Dodd Hairy Maclary and Zachary Quack board book with bouncing rhyme and animal friends to point out together on sturdy pages.,"Rhythm carries a longer listen than a single picture page. Use it when they are settled on your chest and ready for a short story pulse. Keep one verse, then stop while the listen still feels friendly rather than pushing a full chapter.",#9: rhyme energy; Puffin already used once for Brown Bear — brand is Puffin twice max.,,Shared looking and early chat at 4–6m.,Supervise; boards can get chewed.,buy,true,Good gift if library copy not already loved.,Families often own several board books already — ask first.,Awake shared reading only; not for the cot.,4.7,150,UK retailer / publisher aggregates,Long-running UK favourite.,strong,,good,Check chewed corners.,Another Top pick on this card,none,,UK primary title-matched and availability-checked 2026-07-24.,"Shared-chat fit first, then interaction type (flap, slider, texture), then UK review depth, then brand cap (max two per brand), then live buyability. Body-first titles deferred to the parts-of-me card where possible."
ember_picks_research_v3,2026-07-24,cursor,4-6m,age_4_6m,cat_board_books,Chunky board books,Talk to me,product_category,pick,10,10,10,Best for song body pages,"Head, Shoulders, Knees and Toes",Child's Play,LoveReading4Kids,https://www.lovereading4kids.co.uk/book/9781782703402/isbn/Head-Shoulders-Knees-and-Toes-by-Angela-Hewitt.html,,,2026-07-24,in_stock,,See retailer,GBP,2026-07-24,Baby and toddler,"{""format"":""Board book""}",A Childs Play Head Shoulders Knees and Toes board book that pairs the familiar song with body pictures for pointing and gentle touch.,"Song plus page makes body words stick without a talking to. Touch their knees while you sing; the book is the prompt, not homework. Keep one verse, then stop while smiles are still easy and put the book back on the shelf.",#10: bridges talk and body naming; stronger fit also on parts-of-me card.,,Shared looking and early chat at 4–6m.,Supervise; boards can get chewed.,buy,true,Good gift if library copy not already loved.,Families often own several board books already — ask first.,Awake shared reading only; not for the cot.,4.6,80,UK retailer / publisher aggregates,Long-running UK favourite.,strong,,good,Check chewed corners.,Another Top pick on this card,none,,UK primary title-matched and availability-checked 2026-07-24.,"Shared-chat fit first, then interaction type (flap, slider, texture), then UK review depth, then brand cap (max two per brand), then live buyability. Body-first titles deferred to the parts-of-me card where possible."
