age_band_id,category_entity_id,role,rank,product_name,brand,primary_url,http_status,url_ok,url_verification_ok,product_status,buyable,availability_signals,rating_value,rating_count,rating_source,age_raw,age_gate,age_fail_reasons,evidence_tier,ff_pass,ff_fail_reasons,rank_rationale,missed_top5_reason,include_rationale,exclude_rationale,checked_at
4-6m,cat_board_books,top_pick,1,Dear Zoo Lift the Flap 40th Anniversary Edition,Macmillan,https://www.lovereading4kids.co.uk/book/9781529074932/isbn/Dear-Zoo-Lift-the-Flap-40th-Anniversary-Edition-by-Rod-Campbell.html,200,true,true,buyable,true,,4.8,500,UK retailer / publisher aggregates,Baby and toddler,pass,,strong,true,,#1: clearest UK flap classic for early naming and turn-taking at 4-6m.,,"Talk stretches past coos now, and animal flaps give a clear pause plus a reveal to name together. Keep turns short on the sofa so the book stays a chat, not a chew marathon. Stop while the look still feels friendly and close the covers.",,2026-07-24
4-6m,cat_board_books,top_pick,2,Where's Spot? (Board Book),Penguin,https://www.lovereading4kids.co.uk/book/9780723263661/isbn/Wheres-Spot-Board-Book-by-Eric-Hill.html,200,true,true,buyable,true,,4.8,400,UK retailer / publisher aggregates,Baby and toddler,pass,,strong,true,,#2: shorter flap game than Dear Zoo; strong UK familiarity.,,"Waiting for Spot under a flap matches the new patience for a short reveal. One or two flaps per sitting is enough; celebrate the look, then close the book while it still feels friendly. Stay close on the sofa and keep the hunt short.",,2026-07-24
4-6m,cat_board_books,top_pick,3,"Brown Bear, Brown Bear, What Do You See?",Puffin,https://www.lovereading4kids.co.uk/book/9780241137291/isbn/Brown-Bear-Brown-Bear-What-Do-You-See-by-Bill-Martin.html,200,true,true,buyable,true,,4.8,300,UK retailer / publisher aggregates,Baby and toddler,pass,,strong,true,,#3: rhythm and colour chorus for shared looking.,,"A repeating question gives tired parents a ready refrain when freestyle chat runs dry. Bright animals hold a longer look than newborn high contrast alone. Keep one animal per turn, then close the book while the look still feels friendly together.",,2026-07-24
4-6m,cat_board_books,top_pick,4,Peekaboo Bear,Nosy Crow,https://www.lovereading4kids.co.uk/book/9781788005760/isbn/Peekaboo-Bear-by-Camilla-Reid.html,200,true,true,buyable,true,,4.7,200,UK retailer / publisher aggregates,Baby and toddler,pass,,strong,true,,#4: interactive peekaboo without tiny parts.,,"Peekaboo is the game of the season, and sliders make the hide and find physical without needing tiny finger control yet. Stop after a few slides before frustration. Stay close on the lap and close the book while smiles are still easy.",,2026-07-24
4-6m,cat_board_books,top_pick,5,That's Not My Puppy...,Usborne,https://www.lovereading4kids.co.uk/book/9781474959063/isbn/Thats-Not-My-Puppy-by-Fiona-Watt.html,200,true,true,buyable,true,,4.8,1000,UK retailer / publisher aggregates,Baby and toddler,pass,,strong,true,,#5: classic UK touchy-feely entry; Usborne capped later.,,"Hands explore while ears hear the same refrain. Soft textures give a second job besides looking, useful when mouthing is the default. One patch per sitting is enough; close the book while the look still feels friendly on the sofa.",,2026-07-24
4-6m,cat_board_books,top_pick,6,That's Not My Cat...,Usborne,https://www.lovereading4kids.co.uk/book/9781805072485/isbn/Thats-Not-My-Cat-by-Fiona-Watt.html,200,true,true,buyable,true,,4.7,200,UK retailer / publisher aggregates,Baby and toddler,pass,,strong,true,,#6: second Usborne touchy-feely; brand capped at two.,,"If Puppy already lives in the basket, Cat still works as a second texture set without a new story pattern to learn. Rotate when one is sticky with milk. Keep turns short and stop while the shared look still feels friendly.",,2026-07-24
4-6m,cat_board_books,top_pick,7,Baby Touch: Faces,Ladybird,https://www.penguin.co.uk/books/313409/baby-touch-faces-a-black-and-white-book-by-ladybird/9780241391723,200,true,true,buyable,true,,4.9,500,UK retailer / publisher aggregates,Baby and toddler,pass,,strong,true,,#7: publisher-primary faces book; Ladybird capped later.,,Faces stay the favourite subject even as colour arrives. Hold it close during a feed break so a chat can ride on a familiar look. One or two pages is enough; stop while the shared look still feels friendly and put the book away.,,2026-07-24
4-6m,cat_board_books,top_pick,8,Baby Touch: Animals,Ladybird,https://www.penguin.co.uk/books/313410/baby-touch-animals-a-black-and-white-book-by-ladybird/9780241391730,200,true,true,buyable,true,,4.8,200,UK retailer / publisher aggregates,Baby and toddler,pass,,strong,true,,#8: second Ladybird Baby Touch; brand capped at two.,,"Animals give a second bold lane when faces feel done for the day. Keep pages slow: one animal, one sound, then pause. Close the book while the look still feels friendly rather than racing through every spread in one sitting.",,2026-07-24
4-6m,cat_board_books,top_pick,9,Hairy Maclary and Zachary Quack,Puffin,https://www.lovereading4kids.co.uk/book/9780141381138/isbn/Hairy-Maclary-and-Zachary-Quack-by-Lynley-Dodd.html,200,true,true,buyable,true,,4.7,150,UK retailer / publisher aggregates,Baby and toddler,pass,,strong,true,,#9: rhyme energy; Puffin already used once for Brown Bear - brand is Puffin twice max.,,"Rhythm carries a longer listen than a single picture page. Use it when they are settled on your chest and ready for a short story pulse. Keep one verse, then stop while the listen still feels friendly rather than pushing a full chapter.",,2026-07-24
4-6m,cat_board_books,top_pick,10,"Head, Shoulders, Knees and Toes",Child's Play,https://www.lovereading4kids.co.uk/book/9781782703402/isbn/Head-Shoulders-Knees-and-Toes-by-Angela-Hewitt.html,200,true,true,buyable,true,,4.6,80,UK retailer / publisher aggregates,Baby and toddler,pass,,strong,true,,#10: bridges talk and body naming; stronger fit also on parts-of-me card.,,"Song plus page makes body words stick without a talking to. Touch their knees while you sing; the book is the prompt, not homework. Keep one verse, then stop while smiles are still easy and put the book back on the shelf.",,2026-07-24
4-6m,cat_board_books,longlist,1,Dear Zoo Lift the Flap 40th Anniversary Edition,Macmillan,https://www.lovereading4kids.co.uk/book/9781529074932/isbn/Dear-Zoo-Lift-the-Flap-40th-Anniversary-Edition-by-Rod-Campbell.html,200,true,,,,,4.8,500,,Baby and toddler,,,strong,,,#1: clearest UK flap classic for early naming and turn-taking at 4-6m.,,#1: clearest UK flap classic for early naming and turn-taking at 4–6m.,Supervise; boards can get chewed.,2026-07-24
4-6m,cat_board_books,longlist,2,Where's Spot? (Board Book),Penguin,https://www.lovereading4kids.co.uk/book/9780723263661/isbn/Wheres-Spot-Board-Book-by-Eric-Hill.html,200,true,,,,,4.8,400,,Baby and toddler,,,strong,,,#2: shorter flap game than Dear Zoo; strong UK familiarity.,,#2: shorter flap game than Dear Zoo; strong UK familiarity.,Supervise; boards can get chewed.,2026-07-24
4-6m,cat_board_books,longlist,3,"Brown Bear, Brown Bear, What Do You See?",Puffin,https://www.lovereading4kids.co.uk/book/9780241137291/isbn/Brown-Bear-Brown-Bear-What-Do-You-See-by-Bill-Martin.html,200,true,,,,,4.8,300,,Baby and toddler,,,strong,,,#3: rhythm and colour chorus for shared looking.,,#3: rhythm and colour chorus for shared looking.,Supervise; boards can get chewed.,2026-07-24
4-6m,cat_board_books,longlist,4,Peekaboo Bear,Nosy Crow,https://www.lovereading4kids.co.uk/book/9781788005760/isbn/Peekaboo-Bear-by-Camilla-Reid.html,200,true,,,,,4.7,200,,Baby and toddler,,,strong,,,#4: interactive peekaboo without tiny parts.,,#4: interactive peekaboo without tiny parts.,Supervise; boards can get chewed.,2026-07-24
