age_band_id,category_entity_id,role,rank,product_name,brand,primary_url,http_status,url_ok,url_verification_ok,product_status,buyable,availability_signals,rating_value,rating_count,rating_source,age_raw,age_gate,age_fail_reasons,evidence_tier,ff_pass,ff_fail_reasons,rank_rationale,missed_top5_reason,include_rationale,exclude_rationale,checked_at
4-6m,cat_parts_of_me_books,top_pick,1,Where Is Baby's Belly Button?,Karen Katz,https://www.lovereading4kids.co.uk/book/9780689835605/isbn/Where-Is-Babys-Belly-Button-by-Karen-Katz.html,200,true,true,buyable,true,,4.8,400,UK retailer / publisher aggregates,Baby and toddler,pass,,strong,true,,#1: clearest flap body map for 4-6m shared touch-and-name.,,"Body words land best when you touch the real tummy while the flap lifts. Keep it a giggle game on the changing mat, not a quiz. One or two flaps is enough; stop while smiles are still easy and put the book aside.",,2026-07-24
4-6m,cat_parts_of_me_books,top_pick,2,"Head, Shoulders, Knees and Toes",Child's Play,https://www.lovereading4kids.co.uk/book/9781782703402/isbn/Head-Shoulders-Knees-and-Toes-by-Angela-Hewitt.html,200,true,true,buyable,true,,4.6,80,UK retailer / publisher aggregates,Baby and toddler,pass,,strong,true,,#2: song scaffold for body naming.,,"Song plus touch makes knees and toes stick without sounding like a lesson. Sing once, touch once, then stop while they still smile. Keep the book as a prompt on the mat rather than a full workout through every verse.",,2026-07-24
4-6m,cat_parts_of_me_books,top_pick,3,Ten Little Fingers and Ten Little Toes,Walker Books,https://www.lovereading4kids.co.uk/book/9781406331264/isbn/Ten-Little-Fingers-and-Ten-Little-Toes-by-Mem-Fox.html,200,true,true,buyable,true,,4.7,150,UK retailer / publisher aggregates,Baby and toddler,pass,,strong,true,,#3: hand-and-foot focus matches this age’s discovery.,,"Fingers and toes are the body parts they can finally see and grab. Count aloud while they hold a foot; the book is the refrain. Keep one short count, then stop while the shared look still feels friendly on the sofa.",,2026-07-24
4-6m,cat_parts_of_me_books,top_pick,4,From Head to Toe,Eric Carle,https://www.lovereading4kids.co.uk/book/9780140563788/isbn/From-Head-to-Toe-by-Eric-Carle.html,200,true,true,buyable,true,,4.7,200,UK retailer / publisher aggregates,Baby and toddler,pass,,strong,true,,#4: movement-plus-naming ladder.,,"Body awareness grows when movement joins the name. Do one animal action on the mat, then close the book before it becomes a workout. Stay close, keep it playful, and stop while smiles are still easy after that single action.",,2026-07-24
4-6m,cat_parts_of_me_books,top_pick,5,"The Nose, Toes and Tummy Book",Andersen Press,https://www.lovereading4kids.co.uk/book/9781839135897/isbn/The-Nose-Toes-and-Tummy-Book-by-Sally-Nicholls.html,200,true,true,buyable,true,,4.6,40,UK retailer / publisher aggregates,Baby and toddler,pass,,strong,true,,#5: interactive body play with UK stock.,,"Playful prompts beat dry labels. Beep a nose, then kiss a tummy; the page is permission to be silly together during nose toes play on the mat. Keep one prompt per sitting and stop while giggles are still easy rather than racing every page.",,2026-07-24
4-6m,cat_parts_of_me_books,top_pick,6,Baby Touch: Faces,Ladybird,https://www.penguin.co.uk/books/313409/baby-touch-faces-a-black-and-white-book-by-ladybird/9780241391723,200,true,true,buyable,true,,4.9,500,UK retailer / publisher aggregates,Baby and toddler,pass,,strong,true,,#6: face-first body entry; Ladybird capped later.,,"Faces are still the strongest body cue. Point to eyes and mouth on the page, then on your own face, then stop. Keep turns short on the sofa and put the book away while the shared look still feels friendly.",,2026-07-24
4-6m,cat_parts_of_me_books,top_pick,7,Baby Touch: Animals,Ladybird,https://www.penguin.co.uk/books/313410/baby-touch-animals-a-black-and-white-book-by-ladybird/9780241391730,200,true,true,buyable,true,,4.8,200,UK retailer / publisher aggregates,Baby and toddler,pass,,strong,true,,#7: second Ladybird; brand capped at two.,,"Animals give a second route into body words when face books feel finished. Name one part per page, then close the covers. Stay close on the sofa and stop while the shared look still feels friendly rather than finishing every animal shape tonight.",,2026-07-24
4-6m,cat_parts_of_me_books,top_pick,8,That's Not My Puppy...,Usborne,https://www.lovereading4kids.co.uk/book/9781474959063/isbn/Thats-Not-My-Puppy-by-Fiona-Watt.html,200,true,true,buyable,true,,4.8,1000,UK retailer / publisher aggregates,Baby and toddler,pass,,strong,true,,#8: touchy-feely body vocabulary via animal parts.,,Texture plus naming keeps hands busy while mouths want everything on the puppy body pages. One patch per sitting is enough. Close the book while the shared look still feels friendly and save the rest of the patches for another awake spell.,,2026-07-24
4-6m,cat_parts_of_me_books,top_pick,9,That's Not My Cat...,Usborne,https://www.lovereading4kids.co.uk/book/9781805072485/isbn/Thats-Not-My-Cat-by-Fiona-Watt.html,200,true,true,buyable,true,,4.7,200,UK retailer / publisher aggregates,Baby and toddler,pass,,strong,true,,#9: second Usborne touchy-feely; brand capped.,,"If Puppy is sticky with milk, Cat keeps the same refrain with new textured patches on the body pages. Cap Usborne at two on this card so the shelf does not fill with the same pattern. Stop while the shared look still feels friendly.",,2026-07-24
4-6m,cat_parts_of_me_books,top_pick,10,"Brown Bear, Brown Bear, What Do You See?",Puffin,https://www.lovereading4kids.co.uk/book/9780241137291/isbn/Brown-Bear-Brown-Bear-What-Do-You-See-by-Bill-Martin.html,200,true,true,buyable,true,,4.8,300,UK retailer / publisher aggregates,Baby and toddler,pass,,strong,true,,#10: naming practice via animals; body-first titles ranked higher.,,"Not a pure body book, but pointing at animal faces and feet still trains the look and name habit with a colour animal chorus. Use when dedicated body titles are all sticky. Keep one animal, then stop while the shared look still feels friendly.",,2026-07-24
4-6m,cat_parts_of_me_books,longlist,1,Where Is Baby's Belly Button?,Karen Katz,https://www.lovereading4kids.co.uk/book/9780689835605/isbn/Where-Is-Babys-Belly-Button-by-Karen-Katz.html,200,true,,,,,4.8,400,,Baby and toddler,,,strong,,,#1: clearest flap body map for 4-6m shared touch-and-name.,,#1: clearest flap body map for 4–6m shared touch-and-name.,Supervise; boards can get chewed.,2026-07-24
4-6m,cat_parts_of_me_books,longlist,2,"Head, Shoulders, Knees and Toes",Child's Play,https://www.lovereading4kids.co.uk/book/9781782703402/isbn/Head-Shoulders-Knees-and-Toes-by-Angela-Hewitt.html,200,true,,,,,4.6,80,,Baby and toddler,,,strong,,,#2: song scaffold for body naming.,,#2: song scaffold for body naming.,Supervise; boards can get chewed.,2026-07-24
4-6m,cat_parts_of_me_books,longlist,3,Ten Little Fingers and Ten Little Toes,Walker Books,https://www.lovereading4kids.co.uk/book/9781406331264/isbn/Ten-Little-Fingers-and-Ten-Little-Toes-by-Mem-Fox.html,200,true,,,,,4.7,150,,Baby and toddler,,,strong,,,#3: hand-and-foot focus matches this age’s discovery.,,#3: hand-and-foot focus matches this age’s discovery.,Supervise; boards can get chewed.,2026-07-24
4-6m,cat_parts_of_me_books,longlist,4,From Head to Toe,Eric Carle,https://www.lovereading4kids.co.uk/book/9780140563788/isbn/From-Head-to-Toe-by-Eric-Carle.html,200,true,,,,,4.7,200,,Baby and toddler,,,strong,,,#4: movement-plus-naming ladder.,,#4: movement-plus-naming ladder.,Supervise; boards can get chewed.,2026-07-24
4-6m,cat_parts_of_me_books,longlist,5,"The Nose, Toes and Tummy Book",Andersen Press,https://www.lovereading4kids.co.uk/book/9781839135897/isbn/The-Nose-Toes-and-Tummy-Book-by-Sally-Nicholls.html,200,true,,,,,4.6,40,,Baby and toddler,,,strong,,,#5: interactive body play with UK stock.,,#5: interactive body play with UK stock.,Supervise; boards can get chewed.,2026-07-24
4-6m,cat_parts_of_me_books,longlist,6,Baby Touch: Faces,Ladybird,https://www.penguin.co.uk/books/313409/baby-touch-faces-a-black-and-white-book-by-ladybird/9780241391723,200,true,,,,,4.9,500,,Baby and toddler,,,strong,,,#6: face-first body entry; Ladybird capped later.,Strong backup; Top set already covers the main Body-part board books situations.,#6: face-first body entry; Ladybird capped later.,Supervise; boards can get chewed.,2026-07-24
4-6m,cat_parts_of_me_books,longlist,7,Baby Touch: Animals,Ladybird,https://www.penguin.co.uk/books/313410/baby-touch-animals-a-black-and-white-book-by-ladybird/9780241391730,200,true,,,,,4.8,200,,Baby and toddler,,,strong,,,#7: second Ladybird; brand capped at two.,Strong backup; Top set already covers the main Body-part board books situations.,#7: second Ladybird; brand capped at two.,Supervise; boards can get chewed.,2026-07-24
