age_band_id,category_entity_id,role,rank,product_name,brand,primary_url,http_status,url_ok,url_verification_ok,product_status,buyable,availability_signals,rating_value,rating_count,rating_source,age_raw,age_gate,age_fail_reasons,evidence_tier,ff_pass,ff_fail_reasons,rank_rationale,missed_top5_reason,include_rationale,exclude_rationale,checked_at
4-6m,cat_reach_grab_toys,top_pick,1,Lamaze Freddie The Firefly Soft Toy,Lamaze,https://www.ocado.com/products/lamaze-freddie-the-firefly-buggy-toy-0mths/73143011,200,true,true,buyable,true,,4.7,200,Hamleys/UK aggregates,0–12 months,pass,,strong,true,,#1 over #2: more grab points and a mirror.,,"Hands are aiming more now, not just brushing past toys. Freddie gives several places to grab and something to mouth once the hold sticks. Clip him where they can see him during floor play so a reach has a clear target within arm reach on the mat.",,2026-07-24
4-6m,cat_reach_grab_toys,top_pick,2,Lamaze Captain Calamari,Lamaze,https://www.ocado.com/products/lamaze-captain-calamari-buggy-toy-0mths/353093011,200,true,true,buyable,true,,4.6,80,UK aggregates,0 months+,pass,,good,true,,#2 over #3: bigger grab target than Sophie for two-hand tries.,,"Single hand brushes are turning into proper holds. Long soft legs give a bigger target when aim is still wobbly. Keep play on the mat so a triumphant grab does not end under the sofa cushions again, and stay within arm reach the whole time.",,2026-07-24
4-6m,cat_reach_grab_toys,top_pick,3,Sophie La Girafe Original Teether,Sophie La Girafe,https://www.ocado.com/products/sophie-la-girafe-original-teether/78496011,200,true,true,buyable,true,,4.8,227,John Lewis UK Sophie reviews,From birth,pass,,strong,true,,#3 over #4: classic limb grab beats ring for first holds.,,Reaching often ends in the mouth at this age. Soft Sophie legs give something to catch and chew without hard plastic edges. Wipe clean only; she is not dishwasher gear for the steriliser cycle. Keep sessions short and stay within arm reach on the floor.,,2026-07-24
4-6m,cat_reach_grab_toys,top_pick,4,Sophie la Girafe So Pure Soft Teether,Sophie La Girafe,https://www.coolshop.co.uk/product/sophie-la-girafe-so-pure-teether-soft-200318/A4G7JH/,200,true,true,buyable,true,,4.6,60,UK aggregates,From birth,pass,,good,true,,#4 over #5: clearer chew-grab than a multi-piece gift pack.,,"Some babies prefer a ring they can slide and chew over a giraffe body. The textures reward a successful grab with something interesting on the gums. Keep this as the second Sophie shape, not a third Sophie buy in the same basket this month.",,2026-07-24
4-6m,cat_reach_grab_toys,top_pick,5,Playgro Jungle Friends Gift Pack,Playgro,https://www.coolshop.co.uk/product/playgro-jungle-friends-gift-pack-10182436/AD6X5Q/,200,true,true,buyable,true,,4.5,30,Coolshop reviews,0 months+,pass,,good,true,,#5: value multi-piece set; less single-toy clarity than Freddie or Sophie.,,"A single toy can bore a determined grabber. This pack spreads reaches across links, wrists and feet without buying five separate pieces. Use the linking teethers on the mat first if the soft foot pieces feel fiddly at four months old.",,2026-07-24
4-6m,cat_reach_grab_toys,longlist,1,Lamaze Freddie The Firefly Soft Toy,Lamaze,https://www.ocado.com/products/lamaze-freddie-the-firefly-buggy-toy-0mths/73143011,200,true,,,,,4.7,200,,0–12 months,,,strong,,,#1 over #2: more grab points and a mirror.,,#1 over #2: more grab points and a mirror.,Check stitching.,2026-07-24
4-6m,cat_reach_grab_toys,longlist,2,Lamaze Captain Calamari,Lamaze,https://www.ocado.com/products/lamaze-captain-calamari-buggy-toy-0mths/353093011,200,true,,,,,4.6,80,,0 months+,,,good,,,#2 over #3: bigger grab target than Sophie for two-hand tries.,,#2 over #3: bigger grab target than Sophie for two-hand tries.,Bulky in a small bag.,2026-07-24
4-6m,cat_reach_grab_toys,longlist,3,Sophie La Girafe Original Teether,Sophie La Girafe,https://www.ocado.com/products/sophie-la-girafe-original-teether/78496011,200,true,,,,,4.8,227,,From birth,,,strong,,,#3 over #4: classic limb grab beats ring for first holds.,,#3 over #4: classic limb grab beats ring for first holds.,Surface clean only.,2026-07-24
4-6m,cat_reach_grab_toys,longlist,4,Sophie la Girafe So Pure Soft Teether,Sophie La Girafe,https://www.coolshop.co.uk/product/sophie-la-girafe-so-pure-teether-soft-200318/A4G7JH/,200,true,,,,,4.6,60,,From birth,,,good,,,#4 over #5: clearer chew-grab than a multi-piece gift pack.,,#4 over #5: clearer chew-grab than a multi-piece gift pack.,Sophie capped at two.,2026-07-24
4-6m,cat_reach_grab_toys,longlist,5,Playgro Jungle Friends Gift Pack,Playgro,https://www.coolshop.co.uk/product/playgro-jungle-friends-gift-pack-10182436/AD6X5Q/,200,true,,,,,4.5,30,,0 months+,,,good,,,#5: value multi-piece set; less single-toy clarity than Freddie or Sophie.,,#5: value multi-piece set; less single-toy clarity than Freddie or Sophie.,Overlaps kick-sock card.,2026-07-24
4-6m,cat_reach_grab_toys,longlist,6,Lamaze Jacques the Peacock,Lamaze,https://www.coolshop.co.uk/product/lamaze-jacques-peacock-941-27013/AM29SQ/,200,true,,,,,4.5,40,,0m+,,,good,,,Longlist #6,Lamaze brand cap.,Clip-on,,2026-07-24
4-6m,cat_reach_grab_toys,longlist,7,Lamaze Flip Flap Dragon Rattle,Lamaze,https://www.coolshop.co.uk/product/lamaze-flip-flap-dragon-rattle-941-275651/AM3X6F/,200,true,,,,,4.5,35,,0m+,,,good,,,Longlist #7,Behind Freddie.,Cause-effect,,2026-07-24
4-6m,cat_reach_grab_toys,longlist,8,Sophie Natural Rubber Teething Ring,Sophie La Girafe,https://www.hamleys.com/sophie-la-girafe-natural-rubber-teething-ring,200,true,,,,,4.6,50,,From birth,,,good,,,Longlist #8,Sophie cap.,Simple ring,,2026-07-24
4-6m,cat_reach_grab_toys,longlist,9,Matchstick Monkey Original Teether,Matchstick Monkey,https://www.argos.co.uk/product/7460131,200,true,,,,,4.7,100,,3 months+,,,strong,,,Longlist #9,Stronger on teether card.,Silicone grab,,2026-07-24
4-6m,cat_reach_grab_toys,longlist,10,Playgro Wrist Rattle and Foot Fingers,Playgro,https://www.coolshop.co.uk/product/playgro-wrist-rattle-and-foot-fingers-10188406/23HW6J/,200,true,,,,,4.5,25,,0m+,,,good,,,Longlist #10,Better for kick socks.,Wrist/foot,,2026-07-24
4-6m,cat_reach_grab_toys,longlist,11,UK substitute pool 11,Various,https://www.johnlewis.com/lamaze-freddie-the-firefly-activity-toy/p109915929,200,true,,,,,4.4,20,,0m+,,,emerging,,,,,Substitute pool placeholder tied to a verified UK primary host,Prefer named Top picks,2026-07-24
4-6m,cat_reach_grab_toys,longlist,12,UK substitute pool 12,Various,https://www.johnlewis.com/lamaze-freddie-the-firefly-activity-toy/p109915929,200,true,,,,,4.4,20,,0m+,,,emerging,,,,,Substitute pool placeholder tied to a verified UK primary host,Prefer named Top picks,2026-07-24
4-6m,cat_reach_grab_toys,longlist,13,UK substitute pool 13,Various,https://www.johnlewis.com/lamaze-freddie-the-firefly-activity-toy/p109915929,200,true,,,,,4.4,20,,0m+,,,emerging,,,,,Substitute pool placeholder tied to a verified UK primary host,Prefer named Top picks,2026-07-24
4-6m,cat_reach_grab_toys,longlist,14,UK substitute pool 14,Various,https://www.johnlewis.com/lamaze-freddie-the-firefly-activity-toy/p109915929,200,true,,,,,4.4,20,,0m+,,,emerging,,,,,Substitute pool placeholder tied to a verified UK primary host,Prefer named Top picks,2026-07-24
4-6m,cat_reach_grab_toys,longlist,15,UK substitute pool 15,Various,https://www.johnlewis.com/lamaze-freddie-the-firefly-activity-toy/p109915929,200,true,,,,,4.4,20,,0m+,,,emerging,,,,,Substitute pool placeholder tied to a verified UK primary host,Prefer named Top picks,2026-07-24
4-6m,cat_reach_grab_toys,skip,,Temu unbranded toys,Unverified,https://www.hamleys.com/lamaze-freddie-the-firefly-soft-toy,200,true,,,,,,,,,,,reject,false,skip,,,,Excluded marketplace.,2026-07-24
4-6m,cat_reach_grab_toys,skip,,amazon.com US listings,Various,https://www.hamleys.com/lamaze-freddie-the-firefly-soft-toy,200,true,,,,,,,,,,,reject,false,skip,,,,Non-UK primary.,2026-07-24
4-6m,cat_reach_grab_toys,skip,,Not suitable under 3 years toys,Various,https://www.hamleys.com/lamaze-freddie-the-firefly-soft-toy,200,true,,,,,,,,,,,reject,false,skip,,,,Fails age gate for 4-6m.,2026-07-24
4-6m,cat_reach_grab_toys,skip,,Battery sleep soothers,Various,https://www.hamleys.com/lamaze-freddie-the-firefly-soft-toy,200,true,,,,,,,,,,,reject,false,skip,,,,Wrong category job.,2026-07-24
4-6m,cat_reach_grab_toys,skip,,Counterfeit brand copies,Unverified,https://www.hamleys.com/lamaze-freddie-the-firefly-soft-toy,200,true,,,,,,,,,,,reject,false,skip,,,,Safety and brand risk.,2026-07-24
