age_band_id,age_band_label,min_months,max_months,age_band_is_active,stage1_wrapper_ux_slug,stage1_wrapper_ux_label,stage1_wrapper_rank_in_band,stage1_mapping_is_active,development_need_slug,development_need_canonical_name,stage1_why_it_matters_ux_description,stage2_category_type_slug,stage2_category_type_label,stage2_category_type_name,stage2_play_ideas_rank,stage2_play_idea_mapping_rationale,stage3_product_name,stage3_product_brand,stage3_product_rank_in_category,stage3_product_mapping_rationale,optional_need_meta_stage_anchor_month,optional_need_meta_stage_phase,optional_need_meta_stage_reason,optional_category_image_url,optional_category_safety_notes,ref_ux_wrapper_uuid,ref_development_need_uuid,ref_category_type_uuid,ref_product_uuid
25-27m,25–27 months,25,27,true,gross-motor-skills-and-physical-confidence,Burn energy,4,true,gross-motor-skills-and-physical-confidence,Gross motor skills and physical confidence,"Running, jumping, kicking balls, climbing stairs, and moving with increasing coordination and control.",ride-on-cars-push-cars,Ride-on cars and push cars,Ride-on cars and push cars,1,Ride-on toys highly recommended for 2-year-olds as they master running and directional movement.,Dolu Foot To Floor Ride-On Car - White,Dolu,1,"Ride-on toys highly recommended for 2-year-olds as they master running and directional movement. | Product note: Suitable for 1 year and over, foot-to-floor, push-along with storage. | Suitable for 1 year and over, foot-to-floor, push-along with storage.",26,consolidating,"Children at 24 months can run and kick balls; by 30 months most can jump with both feet, showing steady progression.",,,02fe028e-6ca2-4795-9f34-54cbd5d4fb1e,624b44c0-8c09-4b4f-8a42-3f8d7eebedd1,00524b95-fd21-4fd9-9d1a-e2fa3f62a0f8,3f1728c1-eabf-4d12-b2e1-4948f64de87f
25-27m,25–27 months,25,27,true,gross-motor-skills-and-physical-confidence,Burn energy,4,true,gross-motor-skills-and-physical-confidence,Gross motor skills and physical confidence,"Running, jumping, kicking balls, climbing stairs, and moving with increasing coordination and control.",ride-on-cars-push-cars,Ride-on cars and push cars,Ride-on cars and push cars,1,Ride-on toys highly recommended for 2-year-olds as they master running and directional movement.,Kids Disney Princess 6v Electric Ride-on Horse & Carriage,Unbranded (Disney Licensed),2,"Ride-on toys highly recommended for 2-year-olds as they master running and directional movement. | Product note: Suitable for 2-4 years, 6V electric ride-on. | Suitable for 2-4 years, 6V electric ride-on.",26,consolidating,"Children at 24 months can run and kick balls; by 30 months most can jump with both feet, showing steady progression.",,,02fe028e-6ca2-4795-9f34-54cbd5d4fb1e,624b44c0-8c09-4b4f-8a42-3f8d7eebedd1,00524b95-fd21-4fd9-9d1a-e2fa3f62a0f8,14c14d18-7a6a-4c6d-8466-a2c85f6ef7c1
25-27m,25–27 months,25,27,true,gross-motor-skills-and-physical-confidence,Burn energy,4,true,gross-motor-skills-and-physical-confidence,Gross motor skills and physical confidence,"Running, jumping, kicking balls, climbing stairs, and moving with increasing coordination and control.",ride-on-cars-push-cars,Ride-on cars and push cars,Ride-on cars and push cars,1,Ride-on toys highly recommended for 2-year-olds as they master running and directional movement.,Kids Fiat 500 Pink 12v Electric Ride-on Car,Fiat,3,"Ride-on toys highly recommended for 2-year-olds as they master running and directional movement. | Product note: Suitable for 2-5 years, 12V electric ride-on. | Suitable for 2-5 years, 12V electric ride-on.",26,consolidating,"Children at 24 months can run and kick balls; by 30 months most can jump with both feet, showing steady progression.",,,02fe028e-6ca2-4795-9f34-54cbd5d4fb1e,624b44c0-8c09-4b4f-8a42-3f8d7eebedd1,00524b95-fd21-4fd9-9d1a-e2fa3f62a0f8,8d78b0b6-eba4-40ef-b7e2-192584cd6edf
25-27m,25–27 months,25,27,true,gross-motor-skills-and-physical-confidence,Burn energy,4,true,gross-motor-skills-and-physical-confidence,Gross motor skills and physical confidence,"Running, jumping, kicking balls, climbing stairs, and moving with increasing coordination and control.",ride-on-cars-push-cars,Ride-on cars and push cars,Ride-on cars and push cars,1,Ride-on toys highly recommended for 2-year-olds as they master running and directional movement.,Kids Red VW 12V Volkswagen Camper Van Ride On,Volkswagen,4,"Ride-on toys highly recommended for 2-year-olds as they master running and directional movement. | Product note: Suitable for 2-6 years, 12V electric ride-on. | Suitable for 2-6 years, 12V electric ride-on.",26,consolidating,"Children at 24 months can run and kick balls; by 30 months most can jump with both feet, showing steady progression.",,,02fe028e-6ca2-4795-9f34-54cbd5d4fb1e,624b44c0-8c09-4b4f-8a42-3f8d7eebedd1,00524b95-fd21-4fd9-9d1a-e2fa3f62a0f8,ce4ab7fa-90d9-4b88-8818-8f9179df042a
25-27m,25–27 months,25,27,true,gross-motor-skills-and-physical-confidence,Burn energy,4,true,gross-motor-skills-and-physical-confidence,Gross motor skills and physical confidence,"Running, jumping, kicking balls, climbing stairs, and moving with increasing coordination and control.",ride-on-cars-push-cars,Ride-on cars and push cars,Ride-on cars and push cars,1,Ride-on toys highly recommended for 2-year-olds as they master running and directional movement.,Little Tikes Cozy Coupe Classic Ride On Car,Little Tikes,5,"Ride-on toys highly recommended for 2-year-olds as they master running and directional movement. | Product note: Suitable for 18 months and over, foot-to-floor, encourages active play. | Suitable for 18 months and over, foot-to-floor, encourages active play.",26,consolidating,"Children at 24 months can run and kick balls; by 30 months most can jump with both feet, showing steady progression.",,,02fe028e-6ca2-4795-9f34-54cbd5d4fb1e,624b44c0-8c09-4b4f-8a42-3f8d7eebedd1,00524b95-fd21-4fd9-9d1a-e2fa3f62a0f8,d94840d5-a0a9-487c-a024-0c94e9ba2adc
25-27m,25–27 months,25,27,true,gross-motor-skills-and-physical-confidence,Burn energy,4,true,gross-motor-skills-and-physical-confidence,Gross motor skills and physical confidence,"Running, jumping, kicking balls, climbing stairs, and moving with increasing coordination and control.",ride-on-cars-push-cars,Ride-on cars and push cars,Ride-on cars and push cars,1,Ride-on toys highly recommended for 2-year-olds as they master running and directional movement.,MoVe Bumper Car 6V Ride-on,MoVe,6,"Ride-on toys highly recommended for 2-year-olds as they master running and directional movement. | Product note: Suitable for 3 years and over, provides 360 rotation and joystick control. | Suitable for 3 years and over, provides 360 rotation and joystick control.",26,consolidating,"Children at 24 months can run and kick balls; by 30 months most can jump with both feet, showing steady progression.",,,02fe028e-6ca2-4795-9f34-54cbd5d4fb1e,624b44c0-8c09-4b4f-8a42-3f8d7eebedd1,00524b95-fd21-4fd9-9d1a-e2fa3f62a0f8,ca0287dd-b456-4e09-8050-b52bbb8323da
25-27m,25–27 months,25,27,true,fine-motor-control-and-hand-coordination,Little hands,3,true,fine-motor-control-and-hand-coordination,Fine motor control and hand coordination,"Using both hands together for tasks, manipulating small objects, turning pages, and operating buttons and switches.",wooden-train-sets,Wooden train sets,Wooden train sets,3,Train sets combine construction of tracks with pretend play scenarios around age 2.,Happyland Magic Motion Train Playset,Happyland,1,Train sets combine construction of tracks with pretend play scenarios around age 2. | Product note: Promotes imaginative play and fine motor skills. | Promotes imaginative play and fine motor skills.,26,consolidating,At 24 months children hold containers while removing lids; by 30 months they twist doorknobs and turn pages individually.,,,f14e4f09-7208-4594-a98c-ab70978e8bbb,77ad1203-7b23-41fe-825f-e4ca5eb53396,08de8354-610a-44b7-ba27-bd8c015e41d7,c9672580-b785-4451-8321-f202c3444682
25-27m,25–27 months,25,27,true,fine-motor-control-and-hand-coordination,Little hands,3,true,fine-motor-control-and-hand-coordination,Fine motor control and hand coordination,"Using both hands together for tasks, manipulating small objects, turning pages, and operating buttons and switches.",wooden-train-sets,Wooden train sets,Wooden train sets,3,Train sets combine construction of tracks with pretend play scenarios around age 2.,My First Train Set,Bigjigs Rail,2,"Train sets combine construction of tracks with pretend play scenarios around age 2. | Product note: Simple and chunky pieces, ideal for small hands and early motor skill development. | Simple and chunky pieces, ideal for small hands and early motor skill development.",26,consolidating,At 24 months children hold containers while removing lids; by 30 months they twist doorknobs and turn pages individually.,,,f14e4f09-7208-4594-a98c-ab70978e8bbb,77ad1203-7b23-41fe-825f-e4ca5eb53396,08de8354-610a-44b7-ba27-bd8c015e41d7,2a6d0a29-6d42-4f1a-a5bb-49b49ddefcc3
25-27m,25–27 months,25,27,true,fine-motor-control-and-hand-coordination,Little hands,3,true,fine-motor-control-and-hand-coordination,Fine motor control and hand coordination,"Using both hands together for tasks, manipulating small objects, turning pages, and operating buttons and switches.",wooden-train-sets,Wooden train sets,Wooden train sets,3,Train sets combine construction of tracks with pretend play scenarios around age 2.,Peppa Pig Clickety Clack Train Track Playset Whizz Around,Peppa Pig,3,Train sets combine construction of tracks with pretend play scenarios around age 2. | Product note: Encourages imaginative play and hand-eye coordination. | Encourages imaginative play and hand-eye coordination.,26,consolidating,At 24 months children hold containers while removing lids; by 30 months they twist doorknobs and turn pages individually.,,,f14e4f09-7208-4594-a98c-ab70978e8bbb,77ad1203-7b23-41fe-825f-e4ca5eb53396,08de8354-610a-44b7-ba27-bd8c015e41d7,dd98e2ff-8c79-411c-9190-a46d85249c98
25-27m,25–27 months,25,27,true,fine-motor-control-and-hand-coordination,Little hands,3,true,fine-motor-control-and-hand-coordination,Fine motor control and hand coordination,"Using both hands together for tasks, manipulating small objects, turning pages, and operating buttons and switches.",wooden-train-sets,Wooden train sets,Wooden train sets,3,Train sets combine construction of tracks with pretend play scenarios around age 2.,Woodlets Stacking Trains,Woodlets,4,Train sets combine construction of tracks with pretend play scenarios around age 2. | Product note: Develops fine motor skills and problem-solving. | Develops fine motor skills and problem-solving.,26,consolidating,At 24 months children hold containers while removing lids; by 30 months they twist doorknobs and turn pages individually.,,,f14e4f09-7208-4594-a98c-ab70978e8bbb,77ad1203-7b23-41fe-825f-e4ca5eb53396,08de8354-610a-44b7-ba27-bd8c015e41d7,b9b11525-f72c-4f6e-b357-6a810726737f
